joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.617523,-0.017921,0.278559	1.607676,-0.007689,0.180930	0.000000,0.000000,0.000000	1.603712,-0.006078,0.113428	1.592302,-0.001440,-0.080908	1.561090,0.000412,-0.238278	1.596235,-0.144800,0.098707	1.571290,-0.367195,0.080268	1.490806,-0.406485,0.309379	1.610038,0.133930,0.105899	1.612659,0.357991,0.091321	1.538301,0.380840,0.324694	12
1.617374,-0.017712,0.278627	1.607676,-0.007709,0.180958	0.000000,0.000000,0.000000	1.603694,-0.006110,0.113457	1.592254,-0.001517,-0.080517	1.561126,0.000361,-0.238072	1.596785,-0.144604,0.099021	1.571183,-0.366897,0.080254	1.491002,-0.406645,0.309392	1.610023,0.133653,0.106230	1.612656,0.357683,0.091199	1.537996,0.381197,0.324408	12
1.617032,-0.017301,0.277993	1.607676,-0.007715,0.181002	0.000000,0.000000,0.000000	1.603677,-0.006124,0.113502	1.592206,-0.001558,-0.080118	1.561155,0.000334,-0.237899	1.597350,-0.144475,0.099323	1.571073,-0.366662,0.080226	1.491215,-0.406766,0.309415	1.610007,0.133487,0.106584	1.612654,0.357485,0.091077	1.537891,0.381369,0.324216	12
1.616654,-0.016857,0.277510	1.607676,-0.007715,0.181055	0.000000,0.000000,0.000000	1.603656,-0.006129,0.113555	1.592144,-0.001589,-0.079739	1.561176,0.000318,-0.237760	1.597863,-0.144408,0.099613	1.570971,-0.366493,0.080185	1.491433,-0.406845,0.309441	1.609993,0.133387,0.106900	1.612650,0.357361,0.091042	1.537882,0.381427,0.324159	12
1.616316,-0.016458,0.277559	1.607675,-0.007711,0.181112	0.000000,0.000000,0.000000	1.603629,-0.006130,0.113614	1.592059,-0.001609,-0.079400	1.561184,0.000309,-0.237650	1.597963,-0.144374,0.099883	1.570966,-0.366419,0.080132	1.491628,-0.406853,0.309443	1.609976,0.133360,0.107200	1.612646,0.357311,0.091044	1.537904,0.381423,0.324165	12
1.616109,-0.016212,0.278023	1.607675,-0.007707,0.181169	0.000000,0.000000,0.000000	1.603601,-0.006129,0.113673	1.591965,-0.001622,-0.079110	1.561183,0.000304,-0.237565	1.598028,-0.144387,0.100116	1.570962,-0.366399,0.080087	1.491831,-0.406852,0.309466	1.609961,0.133380,0.107458	1.612639,0.357317,0.091096	1.537980,0.381373,0.324249	12
1.616022,-0.016098,0.278691	1.607675,-0.007703,0.181227	0.000000,0.000000,0.000000	1.603573,-0.006122,0.113732	1.591869,-0.001614,-0.078862	1.561177,0.000302,-0.237498	1.598031,-0.144434,0.100309	1.570968,-0.366425,0.080047	1.492041,-0.406836,0.309503	1.609946,0.133447,0.107689	1.612631,0.357372,0.091173	1.538081,0.381300,0.324373	12
1.616028,-0.016082,0.279323	1.607675,-0.007700,0.181266	0.000000,0.000000,0.000000	1.603541,-0.006119,0.113773	1.591755,-0.001613,-0.078671	1.561161,0.000300,-0.237463	1.597996,-0.144424,0.100367	1.570990,-0.366415,0.080038	1.492251,-0.406844,0.309555	1.609935,0.133436,0.107731	1.612620,0.357368,0.091294	1.538192,0.381239,0.324539	12
1.616075,-0.016117,0.279815	1.607675,-0.007698,0.181288	0.000000,0.000000,0.000000	1.603508,-0.006120,0.113798	1.591634,-0.001621,-0.078528	1.561139,0.000298,-0.237450	1.597955,-0.144378,0.100367	1.571018,-0.366377,0.080041	1.492473,-0.406867,0.309614	1.609928,0.133371,0.107679	1.612607,0.357318,0.091450	1.538403,0.381162,0.324769	12
1.616200,-0.016232,0.279938	1.607675,-0.007698,0.181299	0.000000,0.000000,0.000000	1.603476,-0.006122,0.113810	1.591518,-0.001633,-0.078424	1.561114,0.000295,-0.237450	1.597892,-0.144282,0.100309	1.571055,-0.366301,0.080059	1.492696,-0.406901,0.309675	1.609920,0.133273,0.107593	1.612594,0.357237,0.091608	1.538632,0.381089,0.325003	12
1.616359,-0.016382,0.279609	1.607674,-0.007697,0.181304	0.000000,0.000000,0.000000	1.603450,-0.006124,0.113817	1.591422,-0.001643,-0.078347	1.561091,0.000292,-0.237455	1.597829,-0.144213,0.100286	1.571280,-0.366268,0.080060	1.492885,-0.406906,0.309658	1.609916,0.133224,0.107591	1.612592,0.357193,0.091673	1.538937,0.380976,0.325172	12
1.616534,-0.016546,0.278805	1.607674,-0.007697,0.181307	0.000000,0.000000,0.000000	1.603414,-0.006125,0.113822	1.591288,-0.001649,-0.078288	1.561064,0.000291,-0.237466	1.597738,-0.144169,0.100283	1.571600,-0.366272,0.080049	1.493030,-0.406880,0.309592	1.609913,0.133207,0.107625	1.612597,0.357174,0.091680	1.539034,0.380925,0.325211	12
1.616744,-0.016753,0.277458	1.607674,-0.007698,0.181308	0.000000,0.000000,0.000000	1.603364,-0.006127,0.113826	1.591098,-0.001653,-0.078244	1.561032,0.000291,-0.237485	1.597633,-0.144134,0.100290	1.571977,-0.366291,0.080036	1.493005,-0.406828,0.309454	1.609912,0.133172,0.107621	1.612604,0.357136,0.091639	1.538809,0.380983,0.325087	12
1.616977,-0.016986,0.277028	1.607674,-0.007700,0.181308	0.000000,0.000000,0.000000	1.603307,-0.006129,0.113830	1.590879,-0.001655,-0.078213	1.560999,0.000292,-0.237507	1.597521,-0.144105,0.100302	1.572152,-0.366295,0.080037	1.493005,-0.406696,0.309418	1.609910,0.133143,0.107622	1.612616,0.357101,0.091568	1.538211,0.381204,0.324795	12
1.617222,-0.017234,0.277071	1.607673,-0.007703,0.181308	0.000000,0.000000,0.000000	1.603240,-0.006130,0.113834	1.590622,-0.001656,-0.078192	1.560963,0.000294,-0.237533	1.597410,-0.144080,0.100313	1.572240,-0.366293,0.080045	1.493189,-0.406439,0.309504	1.609909,0.133114,0.107618	1.612632,0.357066,0.091470	1.537197,0.381577,0.324321	12
