joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.696688,0.032067,0.235802	1.684806,0.029291,0.136030	0.000000,0.000000,0.000000	1.677738,0.027981,0.067319	1.658510,0.024418,-0.119591	1.621325,0.022759,-0.273214	1.681377,-0.117171,0.095202	1.585670,-0.210617,0.281499	1.563494,-0.042837,0.478426	1.686202,0.174865,0.091991	1.596860,0.276933,0.276882	1.576234,0.101914,0.467575	12
1.697175,0.032062,0.235287	1.684819,0.029291,0.135678	0.000000,0.000000,0.000000	1.677763,0.027984,0.066965	1.658535,0.024424,-0.120273	1.621289,0.022760,-0.273972	1.681453,-0.114195,0.091739	1.587269,-0.210255,0.277490	1.563020,-0.043326,0.476370	1.686217,0.172782,0.091540	1.596826,0.277544,0.274944	1.575999,0.099811,0.464645	12
1.697654,0.032058,0.234800	1.684832,0.029290,0.135347	0.000000,0.000000,0.000000	1.677733,0.027977,0.066638	1.658387,0.024397,-0.120601	1.621061,0.022753,-0.274567	1.681523,-0.111891,0.089815	1.588435,-0.210101,0.275003	1.563285,-0.041019,0.473202	1.686238,0.170907,0.091046	1.597492,0.277158,0.273933	1.575739,0.098936,0.464391	12
1.698155,0.032056,0.234305	1.684846,0.029291,0.135007	0.000000,0.000000,0.000000	1.677655,0.027961,0.066308	1.657853,0.024298,-0.122835	1.620169,0.022719,-0.277404	1.681589,-0.110025,0.088591	1.589465,-0.209853,0.273405	1.564512,-0.038065,0.470379	1.686261,0.169295,0.090629	1.598533,0.276136,0.273668	1.575399,0.098282,0.465430	12
1.698557,0.032055,0.233819	1.684861,0.029291,0.134664	0.000000,0.000000,0.000000	1.677557,0.027941,0.065977	1.657171,0.024172,-0.125718	1.618978,0.022677,-0.281262	1.681643,-0.108666,0.088346	1.590098,-0.209827,0.272726	1.565131,-0.038846,0.471032	1.686284,0.167891,0.090248	1.599774,0.274732,0.273859	1.574909,0.097269,0.466411	12
1.698761,0.032055,0.233348	1.684875,0.029291,0.134310	0.000000,0.000000,0.000000	1.677462,0.027921,0.065636	1.656493,0.024047,-0.128580	1.617721,0.022637,-0.285366	1.681694,-0.107600,0.088512	1.590515,-0.209765,0.272519	1.565304,-0.039866,0.471825	1.686307,0.166654,0.089891	1.601045,0.273228,0.274232	1.574355,0.096259,0.467096	12
1.698877,0.032055,0.232896	1.684890,0.029291,0.133964	0.000000,0.000000,0.000000	1.677393,0.027906,0.065299	1.655947,0.023947,-0.131117	1.616519,0.022603,-0.289158	1.681741,-0.106712,0.088845	1.590730,-0.209576,0.272544	1.565305,-0.041463,0.473124	1.686331,0.165553,0.089563	1.602166,0.271776,0.274606	1.573906,0.095216,0.467407	12
1.698918,0.032057,0.232527	1.684904,0.029291,0.133709	0.000000,0.000000,0.000000	1.677344,0.027896,0.065051	1.655519,0.023868,-0.133167	1.615434,0.022575,-0.292354	1.681784,-0.105914,0.089204	1.590747,-0.209278,0.272607	1.564892,-0.042336,0.474002	1.686355,0.164648,0.089593	1.602406,0.271303,0.274484	1.573746,0.094347,0.466748	12
1.698917,0.032056,0.232213	1.684918,0.029291,0.133498	0.000000,0.000000,0.000000	1.677320,0.027889,0.064845	1.655223,0.023814,-0.134804	1.614486,0.022552,-0.294895	1.681828,-0.105187,0.089533	1.590269,-0.209348,0.272220	1.564304,-0.042861,0.474303	1.686380,0.163882,0.089801	1.602229,0.271261,0.274178	1.573741,0.092611,0.465226	12
