joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.766399,0.127199,0.213508	1.745770,0.129620,0.108527	0.000000,0.000000,0.000000	1.730095,0.123914,0.043187	1.681268,0.106141,-0.160332	1.611290,0.095086,-0.302252	1.752138,-0.021594,0.047114	1.670702,-0.160109,0.203012	1.770899,0.048874,0.283256	1.716430,0.274695,0.039462	1.651447,0.425567,0.191573	1.742211,0.178934,0.309291	12
1.766399,0.127199,0.213513	1.745772,0.129620,0.108569	0.000000,0.000000,0.000000	1.730100,0.123915,0.043228	1.681282,0.106144,-0.160313	1.611306,0.095088,-0.302220	1.752138,-0.021600,0.047060	1.670764,-0.160083,0.203019	1.771003,0.048874,0.283278	1.716426,0.274716,0.039451	1.651516,0.425574,0.191606	1.741996,0.178829,0.309319	12
1.766400,0.127199,0.213515	1.745773,0.129620,0.108611	0.000000,0.000000,0.000000	1.730105,0.123916,0.043269	1.681298,0.106148,-0.160290	1.611323,0.095090,-0.302187	1.752138,-0.021596,0.046989	1.670808,-0.160041,0.203005	1.771141,0.048854,0.283306	1.716421,0.274734,0.039440	1.651595,0.425580,0.191642	1.742441,0.178911,0.309239	12
1.766400,0.127199,0.213515	1.745774,0.129620,0.108652	0.000000,0.000000,0.000000	1.730110,0.123917,0.043309	1.681311,0.106152,-0.160263	1.611340,0.095093,-0.302153	1.752138,-0.021587,0.046910	1.670844,-0.159991,0.202981	1.771211,0.048869,0.283333	1.716418,0.274750,0.039431	1.651678,0.425596,0.191672	1.743197,0.179131,0.309150	12
1.766401,0.127199,0.213519	1.745775,0.129620,0.108699	0.000000,0.000000,0.000000	1.730114,0.123919,0.043355	1.681324,0.106156,-0.160227	1.611359,0.095095,-0.302114	1.752138,-0.021589,0.046871	1.670859,-0.159964,0.202976	1.771318,0.048815,0.283424	1.716415,0.274763,0.039425	1.651713,0.425603,0.191686	1.742888,0.179046,0.309208	12
1.766402,0.127199,0.213523	1.745776,0.129620,0.108748	0.000000,0.000000,0.000000	1.730119,0.123920,0.043403	1.681336,0.106160,-0.160186	1.611380,0.095099,-0.302073	1.752139,-0.021598,0.046853	1.670872,-0.159936,0.202996	1.771465,0.048739,0.283545	1.716412,0.274774,0.039419	1.651726,0.425606,0.191696	1.742603,0.178947,0.309230	12
1.766403,0.127199,0.213526	1.745777,0.129620,0.108797	0.000000,0.000000,0.000000	1.730122,0.123921,0.043451	1.681348,0.106164,-0.160145	1.611400,0.095102,-0.302032	1.752139,-0.021609,0.046845	1.670884,-0.159911,0.203027	1.771432,0.048804,0.283528	1.716410,0.274784,0.039414	1.651730,0.425606,0.191703	1.742709,0.178942,0.309149	12
1.766404,0.127199,0.213529	1.745778,0.129620,0.108849	0.000000,0.000000,0.000000	1.730127,0.123922,0.043502	1.681360,0.106168,-0.160099	1.611421,0.095105,-0.301988	1.752140,-0.021620,0.046841	1.670899,-0.159882,0.203066	1.771436,0.048843,0.283555	1.716408,0.274791,0.039411	1.651749,0.425609,0.191713	1.742680,0.178924,0.309162	12
1.766405,0.127199,0.213532	1.745780,0.129620,0.108901	0.000000,0.000000,0.000000	1.730131,0.123923,0.043554	1.681372,0.106172,-0.160052	1.611442,0.095109,-0.301944	1.752140,-0.021631,0.046840	1.670900,-0.159877,0.203080	1.771467,0.048830,0.283579	1.716407,0.274798,0.039407	1.651772,0.425611,0.191724	1.742665,0.178901,0.309155	12
