joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.802907,0.044761,0.368392	1.767854,0.048847,0.260680	0.000000,0.000000,0.000000	1.742045,0.044364,0.192249	1.664979,0.030978,-0.012084	1.579602,0.023334,-0.163578	1.759722,-0.103218,0.199601	1.802134,-0.329617,0.276327	1.767576,-0.344977,0.540119	1.768196,0.196580,0.189298	1.808661,0.423251,0.266270	1.815756,0.492904,0.523397	12
1.802608,0.044762,0.368423	1.767854,0.048345,0.260679	0.000000,0.000000,0.000000	1.742042,0.043970,0.192241	1.664969,0.030906,-0.012111	1.579586,0.023328,-0.163523	1.759694,-0.103844,0.199354	1.802408,-0.330524,0.275385	1.767377,-0.345879,0.539116	1.768155,0.196248,0.189172	1.808719,0.422847,0.266611	1.815766,0.492455,0.523753	12
1.802413,0.044764,0.368418	1.767854,0.047855,0.260677	0.000000,0.000000,0.000000	1.742040,0.043583,0.192234	1.664959,0.030828,-0.012136	1.579567,0.023316,-0.163485	1.759720,-0.104483,0.199102	1.802636,-0.331423,0.274489	1.767140,-0.346863,0.538154	1.768147,0.196061,0.189266	1.808825,0.422551,0.267203	1.815796,0.492034,0.524382	12
1.802320,0.044765,0.368386	1.767854,0.047382,0.260675	0.000000,0.000000,0.000000	1.742038,0.043210,0.192227	1.664950,0.030750,-0.012160	1.579545,0.023301,-0.163459	1.759777,-0.105101,0.198857	1.802794,-0.332008,0.274487	1.766738,-0.347458,0.538076	1.768146,0.195930,0.189462	1.808946,0.422250,0.268024	1.815837,0.491700,0.525215	12
1.802284,0.044768,0.368344	1.767853,0.046913,0.260673	0.000000,0.000000,0.000000	1.742035,0.042838,0.192219	1.664942,0.030669,-0.012184	1.579521,0.023284,-0.163442	1.759848,-0.105678,0.198627	1.802883,-0.332371,0.275042	1.766234,-0.347366,0.538577	1.768148,0.195799,0.189745	1.809065,0.421908,0.269002	1.815909,0.491520,0.526152	12
1.802271,0.044769,0.368305	1.767853,0.046442,0.260671	0.000000,0.000000,0.000000	1.742033,0.042465,0.192212	1.664933,0.030589,-0.012207	1.579494,0.023267,-0.163432	1.759916,-0.106206,0.198417	1.802933,-0.332626,0.275770	1.765717,-0.347272,0.539246	1.768151,0.195652,0.190129	1.809185,0.421538,0.270084	1.816000,0.491033,0.527267	12
1.802265,0.044771,0.368270	1.767853,0.045990,0.260670	0.000000,0.000000,0.000000	1.742031,0.042107,0.192205	1.664925,0.030511,-0.012228	1.579463,0.023249,-0.163428	1.759989,-0.106666,0.198233	1.802995,-0.332924,0.276172	1.765372,-0.347063,0.539619	1.768153,0.195484,0.190559	1.809349,0.421352,0.270580	1.816097,0.490468,0.527868	12
1.802260,0.044772,0.368241	1.767853,0.045561,0.260668	0.000000,0.000000,0.000000	1.742028,0.041766,0.192199	1.664917,0.030437,-0.012249	1.579428,0.023233,-0.163429	1.760067,-0.107061,0.198075	1.803064,-0.333238,0.276335	1.765182,-0.346816,0.539775	1.768155,0.195282,0.190987	1.809523,0.421203,0.270850	1.816225,0.489983,0.528231	12
1.802256,0.044772,0.368215	1.767852,0.045288,0.260665	0.000000,0.000000,0.000000	1.742027,0.041551,0.192193	1.664912,0.030390,-0.012263	1.579390,0.023223,-0.163430	1.760152,-0.107294,0.197982	1.803118,-0.333495,0.276259	1.765244,-0.346610,0.539726	1.768156,0.195109,0.191213	1.809690,0.421048,0.271002	1.816371,0.489493,0.528474	12
