joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.839423,0.033343,0.249004	1.799607,0.032634,0.147394	0.000000,0.000000,0.000000	1.766523,0.028746,0.081869	1.667735,0.017135,-0.113787	1.572721,0.011610,-0.258615	1.790511,-0.119640,0.090207	1.849135,-0.348277,0.173564	1.813793,-0.366403,0.437928	1.789765,0.181624,0.082192	1.870863,0.400183,0.173278	1.894238,0.472711,0.429515	12
1.839885,0.033220,0.255999	1.798674,0.032406,0.155390	0.000000,0.000000,0.000000	1.766240,0.028597,0.089538	1.669393,0.017223,-0.107097	1.575514,0.011722,-0.252608	1.790237,-0.119140,0.095969	1.849088,-0.349119,0.177019	1.815228,-0.365136,0.441705	1.789490,0.180238,0.087354	1.869815,0.398341,0.181665	1.893838,0.473910,0.436951	12
1.839640,0.033187,0.262012	1.797663,0.032273,0.162055	0.000000,0.000000,0.000000	1.765722,0.028506,0.095959	1.670346,0.017260,-0.101403	1.577426,0.011795,-0.247600	1.789966,-0.119612,0.102993	1.849298,-0.351189,0.180486	1.815044,-0.363768,0.445299	1.788946,0.179944,0.093248	1.869092,0.398195,0.188681	1.892641,0.475073,0.443634	12
1.839046,0.033214,0.266532	1.796557,0.032205,0.167053	0.000000,0.000000,0.000000	1.764962,0.028451,0.100790	1.670620,0.017242,-0.097072	1.578357,0.011823,-0.243870	1.789652,-0.119589,0.107170	1.849069,-0.352429,0.181763	1.814566,-0.362910,0.446645	1.787388,0.179823,0.097762	1.868130,0.398632,0.192205	1.889442,0.475085,0.447482	12
1.837828,0.033522,0.270196	1.795408,0.032178,0.170900	0.000000,0.000000,0.000000	1.764041,0.028449,0.104527	1.670379,0.017316,-0.093663	1.578121,0.012035,-0.240767	1.788758,-0.119387,0.110034	1.848393,-0.352940,0.182168	1.813931,-0.362444,0.447104	1.786362,0.180225,0.102190	1.866805,0.399808,0.195032	1.883741,0.474520,0.451128	12
1.836079,0.034063,0.273576	1.794253,0.032170,0.174206	0.000000,0.000000,0.000000	1.763086,0.028521,0.107734	1.670024,0.017622,-0.090752	1.577574,0.012641,-0.238061	1.786909,-0.119103,0.112417	1.847362,-0.352631,0.182760	1.813107,-0.362274,0.447720	1.785871,0.180635,0.106061	1.864478,0.401077,0.197490	1.876703,0.473711,0.454445	12
1.834266,0.034593,0.277049	1.793108,0.032171,0.177545	0.000000,0.000000,0.000000	1.762161,0.028592,0.110966	1.669753,0.017906,-0.087836	1.577138,0.013193,-0.235369	1.784952,-0.119035,0.115531	1.845941,-0.352243,0.184657	1.811641,-0.362067,0.446945	1.785458,0.180421,0.108708	1.860570,0.401456,0.200214	1.871804,0.472413,0.454968	12
1.832148,0.035053,0.280888	1.791972,0.032175,0.181102	0.000000,0.000000,0.000000	1.761265,0.028642,0.114410	1.669573,0.018095,-0.084731	1.576987,0.013572,-0.232632	1.782618,-0.119249,0.119836	1.843817,-0.351461,0.190055	1.808947,-0.362069,0.448722	1.785085,0.179803,0.110903	1.855751,0.401223,0.203440	1.867944,0.471450,0.454741	12
1.830420,0.035465,0.284913	1.790853,0.032177,0.184979	0.000000,0.000000,0.000000	1.760351,0.028677,0.118191	1.669274,0.018225,-0.081237	1.576652,0.013815,-0.229395	1.781521,-0.119118,0.123433	1.840389,-0.349177,0.199990	1.803512,-0.363514,0.457340	1.784726,0.179808,0.114746	1.851613,0.401250,0.208426	1.865851,0.471730,0.458677	12
