joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.763994,0.040659,0.253367	1.731284,0.046014,0.145424	0.000000,0.000000,0.000000	1.714395,0.044394,0.076259	1.661202,0.039293,-0.141578	1.571978,0.036444,-0.289204	1.735958,-0.106143,0.085287	1.755957,-0.348302,0.122307	1.698806,-0.579444,0.197917	1.736571,0.196980,0.082406	1.749471,0.439799,0.118245	1.699725,0.678723,0.171635	12
1.763995,0.040659,0.253372	1.731333,0.046014,0.145449	0.000000,0.000000,0.000000	1.714434,0.044394,0.076286	1.661214,0.039293,-0.141530	1.571997,0.036444,-0.289170	1.735931,-0.106126,0.085296	1.755947,-0.348220,0.122127	1.698832,-0.579289,0.197798	1.736571,0.196962,0.082414	1.749474,0.439688,0.118251	1.699689,0.678541,0.171655	12
1.763996,0.040658,0.253376	1.731384,0.046014,0.145474	0.000000,0.000000,0.000000	1.714475,0.044395,0.076314	1.661226,0.039294,-0.141484	1.572016,0.036443,-0.289138	1.735905,-0.106111,0.085303	1.755940,-0.348147,0.121922	1.698866,-0.579118,0.197747	1.736571,0.196946,0.082421	1.749474,0.439585,0.118247	1.699694,0.678385,0.171647	12
1.763998,0.040658,0.253381	1.731435,0.046014,0.145501	0.000000,0.000000,0.000000	1.714517,0.044395,0.076343	1.661239,0.039295,-0.141439	1.572036,0.036443,-0.289104	1.735870,-0.106098,0.085308	1.755937,-0.348085,0.121724	1.698905,-0.578977,0.197731	1.736571,0.196932,0.082427	1.749473,0.439497,0.118238	1.699723,0.678277,0.171621	12
1.763998,0.040658,0.253383	1.731486,0.046014,0.145526	0.000000,0.000000,0.000000	1.714558,0.044395,0.076371	1.661250,0.039296,-0.141397	1.572055,0.036443,-0.289072	1.735833,-0.106085,0.085313	1.755937,-0.348039,0.121508	1.698920,-0.578835,0.197776	1.736572,0.196918,0.082433	1.749471,0.439422,0.118229	1.699738,0.678197,0.171593	12
1.763999,0.040658,0.253386	1.731535,0.046014,0.145553	0.000000,0.000000,0.000000	1.714597,0.044395,0.076400	1.661262,0.039297,-0.141356	1.572074,0.036443,-0.289039	1.735791,-0.106074,0.085318	1.755938,-0.348002,0.121299	1.698943,-0.578716,0.197820	1.736572,0.196906,0.082439	1.749470,0.439358,0.118221	1.699743,0.678135,0.171568	12
1.764000,0.040658,0.253389	1.731589,0.046014,0.145580	0.000000,0.000000,0.000000	1.714641,0.044395,0.076429	1.661274,0.039298,-0.141315	1.572094,0.036444,-0.289006	1.735751,-0.106064,0.085322	1.755938,-0.347972,0.121103	1.698966,-0.578616,0.197858	1.736573,0.196895,0.082444	1.749468,0.439303,0.118215	1.699751,0.678088,0.171542	12
1.764001,0.040658,0.253393	1.731648,0.046014,0.145606	0.000000,0.000000,0.000000	1.714688,0.044396,0.076458	1.661286,0.039299,-0.141274	1.572114,0.036444,-0.288972	1.735711,-0.106055,0.085325	1.755940,-0.347957,0.120849	1.698987,-0.578508,0.197916	1.736574,0.196885,0.082449	1.749467,0.439254,0.118209	1.699758,0.678052,0.171513	12
1.764001,0.040658,0.253394	1.731704,0.046014,0.145631	0.000000,0.000000,0.000000	1.714733,0.044396,0.076486	1.661297,0.039300,-0.141236	1.572133,0.036445,-0.288939	1.735664,-0.106047,0.085328	1.755942,-0.347945,0.120589	1.699001,-0.578402,0.197980	1.736575,0.196876,0.082453	1.749465,0.439209,0.118203	1.699755,0.678025,0.171473	12
1.764007,0.040657,0.253414	1.731772,0.046014,0.145680	0.000000,0.000000,0.000000	1.714789,0.044396,0.076537	1.661315,0.039302,-0.141173	1.572165,0.036446,-0.288886	1.735615,-0.106033,0.085334	1.755942,-0.347918,0.120315	1.699027,-0.578281,0.198023	1.736576,0.196861,0.082460	1.749466,0.439146,0.118201	1.699728,0.677971,0.171431	12
1.764017,0.040656,0.253447	1.731848,0.046014,0.145749	0.000000,0.000000,0.000000	1.714852,0.044397,0.076609	1.661338,0.039304,-0.141090	1.572207,0.036447,-0.288815	1.735559,-0.106014,0.085341	1.755944,-0.347897,0.119973	1.699066,-0.578120,0.198065	1.736577,0.196841,0.082469	1.749465,0.439081,0.118191	1.699691,0.677891,0.171373	12
1.764027,0.040655,0.253480	1.731923,0.046014,0.145826	0.000000,0.000000,0.000000	1.714915,0.044397,0.076690	1.661362,0.039306,-0.141000	1.572253,0.036449,-0.288737	1.735501,-0.105995,0.085349	1.755946,-0.347881,0.119623	1.699126,-0.577868,0.198068	1.736579,0.196820,0.082479	1.749461,0.439021,0.118178	1.699573,0.677679,0.171374	12
1.764033,0.040654,0.253502	1.731974,0.046014,0.145906	0.000000,0.000000,0.000000	1.714959,0.044398,0.076771	1.661385,0.039308,-0.140913	1.572297,0.036450,-0.288662	1.735444,-0.105976,0.085356	1.755948,-0.347865,0.119273	1.699221,-0.577486,0.198016	1.736579,0.196800,0.082489	1.749460,0.438961,0.118166	1.699388,0.677292,0.171412	12
1.764037,0.040654,0.253515	1.732002,0.046014,0.145985	0.000000,0.000000,0.000000	1.714986,0.044398,0.076851	1.661405,0.039310,-0.140833	1.572337,0.036452,-0.288593	1.735388,-0.105959,0.085363	1.755950,-0.347844,0.118916	1.699345,-0.576992,0.197921	1.736579,0.196781,0.082498	1.749459,0.438897,0.118152	1.699208,0.676790,0.171406	12
1.764040,0.040654,0.253525	1.732019,0.046014,0.146068	0.000000,0.000000,0.000000	1.715003,0.044399,0.076933	1.661426,0.039311,-0.140751	1.572379,0.036453,-0.288523	1.735332,-0.105942,0.085370	1.755952,-0.347819,0.118531	1.699469,-0.576498,0.197829	1.736579,0.196762,0.082507	1.749458,0.438825,0.118135	1.699131,0.676342,0.171290	12
1.764042,0.040654,0.253532	1.732033,0.046014,0.146149	0.000000,0.000000,0.000000	1.715019,0.044399,0.077015	1.661445,0.039313,-0.140671	1.572419,0.036454,-0.288455	1.735281,-0.105927,0.085376	1.755952,-0.347783,0.118160	1.699582,-0.576058,0.197740	1.736579,0.196746,0.082515	1.749458,0.438743,0.118119	1.699088,0.675961,0.171134	12
1.764043,0.040654,0.253533	1.732043,0.046014,0.146227	0.000000,0.000000,0.000000	1.715030,0.044399,0.077092	1.661464,0.039315,-0.140596	1.572457,0.036455,-0.288390	1.735226,-0.105915,0.085381	1.755951,-0.347734,0.117814	1.699680,-0.575694,0.197666	1.736578,0.196732,0.082522	1.749457,0.438655,0.118097	1.699077,0.675672,0.170946	12
1.764046,0.040653,0.253544	1.732050,0.046014,0.146318	0.000000,0.000000,0.000000	1.715041,0.044400,0.077182	1.661485,0.039317,-0.140509	1.572501,0.036457,-0.288316	1.735171,-0.105899,0.085387	1.755949,-0.347652,0.117630	1.699756,-0.575441,0.197566	1.736578,0.196715,0.082531	1.749456,0.438554,0.118074	1.699107,0.675464,0.170745	12
1.764049,0.040653,0.253554	1.732055,0.046014,0.146412	0.000000,0.000000,0.000000	1.715050,0.044400,0.077275	1.661506,0.039319,-0.140420	1.572546,0.036458,-0.288240	1.735112,-0.105885,0.085393	1.755945,-0.347540,0.117510	1.699822,-0.575259,0.197454	1.736578,0.196698,0.082540	1.749457,0.438434,0.118041	1.699127,0.675304,0.170544	12
1.764051,0.040653,0.253561	1.732057,0.046014,0.146505	0.000000,0.000000,0.000000	1.715057,0.044401,0.077367	1.661527,0.039321,-0.140332	1.572591,0.036460,-0.288164	1.735049,-0.105872,0.085399	1.755941,-0.347424,0.117265	1.699887,-0.575086,0.197377	1.736577,0.196683,0.082547	1.749458,0.438296,0.117995	1.699147,0.675198,0.170307	12
1.764045,0.040654,0.253540	1.732059,0.046014,0.146563	0.000000,0.000000,0.000000	1.715061,0.044401,0.077424	1.661540,0.039322,-0.140277	1.572619,0.036461,-0.288117	1.734984,-0.105871,0.085399	1.755934,-0.347284,0.116979	1.699950,-0.574959,0.197298	1.736577,0.196681,0.082549	1.749459,0.438133,0.117920	1.699160,0.675146,0.170040	12
1.764036,0.040655,0.253511	1.732059,0.046014,0.146603	0.000000,0.000000,0.000000	1.715064,0.044401,0.077464	1.661549,0.039323,-0.140239	1.572638,0.036462,-0.288085	1.734927,-0.105876,0.085397	1.755924,-0.347126,0.116595	1.700015,-0.574849,0.197228	1.736577,0.196684,0.082549	1.749459,0.437943,0.117820	1.699176,0.675133,0.169762	12
1.764027,0.040657,0.253480	1.732060,0.046014,0.146634	0.000000,0.000000,0.000000	1.715066,0.044401,0.077494	1.661556,0.039324,-0.140211	1.572653,0.036462,-0.288060	1.734860,-0.105883,0.085394	1.755909,-0.346921,0.116376	1.700059,-0.574814,0.197111	1.736578,0.196690,0.082547	1.749456,0.437731,0.117700	1.699185,0.675140,0.169490	12
1.764017,0.040659,0.253445	1.732060,0.046014,0.146650	0.000000,0.000000,0.000000	1.715067,0.044401,0.077510	1.661560,0.039324,-0.140195	1.572662,0.036462,-0.288047	1.734769,-0.105894,0.085390	1.755896,-0.346704,0.116368	1.700071,-0.574850,0.196932	1.736578,0.196699,0.082543	1.749445,0.437538,0.117561	1.699190,0.675152,0.169249	12
1.764006,0.040661,0.253410	1.732060,0.046014,0.146657	0.000000,0.000000,0.000000	1.715067,0.044401,0.077517	1.661562,0.039324,-0.140189	1.572666,0.036462,-0.288040	1.734726,-0.105907,0.085385	1.755882,-0.346520,0.116356	1.700079,-0.574897,0.196741	1.736578,0.196711,0.082538	1.749435,0.437376,0.117415	1.699194,0.675166,0.169026	12
1.763997,0.040662,0.253378	1.732060,0.046014,0.146659	0.000000,0.000000,0.000000	1.715067,0.044401,0.077519	1.661562,0.039324,-0.140188	1.572667,0.036462,-0.288038	1.734708,-0.105919,0.085380	1.755870,-0.346369,0.116352	1.700084,-0.574951,0.196537	1.736578,0.196723,0.082533	1.749427,0.437245,0.117276	1.699244,0.675188,0.168816	12
1.763989,0.040663,0.253351	1.732060,0.046014,0.146659	0.000000,0.000000,0.000000	1.715068,0.044401,0.077519	1.661563,0.039324,-0.140189	1.572668,0.036462,-0.288038	1.734701,-0.105931,0.085375	1.755859,-0.346249,0.116345	1.700084,-0.575010,0.196330	1.736579,0.196734,0.082528	1.749419,0.437144,0.117139	1.699322,0.675193,0.168745	12
1.763982,0.040664,0.253329	1.732060,0.046014,0.146658	0.000000,0.000000,0.000000	1.715068,0.044402,0.077518	1.661563,0.039324,-0.140191	1.572668,0.036462,-0.288038	1.734700,-0.105941,0.085371	1.755852,-0.346155,0.116337	1.700078,-0.575080,0.196110	1.736579,0.196745,0.082523	1.749416,0.437069,0.116994	1.699426,0.675201,0.168717	12
