joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.662482,0.000621,0.236832	1.646419,-0.003643,0.134530	0.000000,0.000000,0.000000	1.639394,-0.004807,0.063834	1.618416,-0.008283,-0.147263	1.563236,-0.011022,-0.297402	1.653469,-0.143126,0.107093	1.642539,-0.240567,0.321640	1.659592,-0.016993,0.450096	1.645288,0.134118,0.098776	1.655959,0.269647,0.291551	1.650551,0.059405,0.441703	12
1.662483,0.000620,0.236832	1.646419,-0.003644,0.134530	0.000000,0.000000,0.000000	1.639387,-0.004808,0.063834	1.618390,-0.008285,-0.147260	1.563135,-0.011014,-0.297025	1.653469,-0.143127,0.107093	1.642493,-0.240530,0.321654	1.659640,-0.017063,0.450288	1.645325,0.134120,0.098776	1.655896,0.269483,0.291673	1.650539,0.059968,0.442845	12
1.662486,0.000620,0.236831	1.646419,-0.003644,0.134529	0.000000,0.000000,0.000000	1.639374,-0.004809,0.063836	1.618338,-0.008290,-0.147255	1.563004,-0.011008,-0.296787	1.653469,-0.143128,0.107093	1.642426,-0.240474,0.321676	1.659596,-0.016679,0.449733	1.645365,0.134121,0.098776	1.655873,0.269346,0.291772	1.650543,0.060084,0.443299	12
1.662489,0.000619,0.236831	1.646419,-0.003644,0.134529	0.000000,0.000000,0.000000	1.639358,-0.004811,0.063837	1.618273,-0.008298,-0.147248	1.562822,-0.011004,-0.296669	1.653470,-0.143129,0.107093	1.642322,-0.240481,0.321667	1.659489,-0.016057,0.448616	1.645401,0.134122,0.098775	1.655863,0.269387,0.291746	1.650545,0.060095,0.443230	12
1.662492,0.000611,0.236830	1.646419,-0.003644,0.134529	0.000000,0.000000,0.000000	1.639340,-0.004814,0.063839	1.618199,-0.008307,-0.147240	1.562586,-0.011001,-0.296654	1.653470,-0.143130,0.107093	1.642128,-0.240523,0.321638	1.659513,-0.015878,0.448168	1.645443,0.134123,0.098775	1.655859,0.269336,0.291785	1.650553,0.059631,0.442696	12
1.662495,0.000599,0.236830	1.646419,-0.003644,0.134529	0.000000,0.000000,0.000000	1.639320,-0.004816,0.063841	1.618119,-0.008316,-0.147232	1.562322,-0.011000,-0.296733	1.653470,-0.143131,0.107093	1.641864,-0.240593,0.321592	1.659657,-0.016049,0.448246	1.645486,0.134124,0.098775	1.655859,0.269235,0.291858	1.650574,0.058871,0.441846	12
1.662500,0.000586,0.236830	1.646419,-0.003644,0.134528	0.000000,0.000000,0.000000	1.639304,-0.004818,0.063842	1.618056,-0.008323,-0.147226	1.562044,-0.011000,-0.296853	1.653470,-0.143132,0.107093	1.641560,-0.240678,0.321537	1.659878,-0.016457,0.448686	1.645531,0.134125,0.098774	1.655859,0.269125,0.291937	1.650570,0.058484,0.441536	12
1.662505,0.000572,0.236827	1.646419,-0.003644,0.134526	0.000000,0.000000,0.000000	1.639292,-0.004819,0.063841	1.618009,-0.008327,-0.147223	1.561823,-0.011001,-0.297001	1.653470,-0.143134,0.107093	1.641239,-0.240788,0.321470	1.660214,-0.017247,0.449710	1.645576,0.134126,0.098774	1.655867,0.268996,0.292029	1.650527,0.058283,0.441526	12
1.662510,0.000554,0.236823	1.646419,-0.003645,0.134522	0.000000,0.000000,0.000000	1.639283,-0.004820,0.063838	1.617972,-0.008328,-0.147223	1.561647,-0.011003,-0.297146	1.653471,-0.143136,0.107093	1.640909,-0.240967,0.321369	1.660650,-0.018451,0.451260	1.645621,0.134128,0.098774	1.655886,0.268956,0.292059	1.650475,0.058190,0.441479	12
1.662516,0.000534,0.236818	1.646419,-0.003645,0.134517	0.000000,0.000000,0.000000	1.639275,-0.004820,0.063834	1.617941,-0.008329,-0.147224	1.561441,-0.011005,-0.297254	1.653471,-0.143138,0.107093	1.640715,-0.241170,0.321266	1.660859,-0.019160,0.451966	1.645669,0.134130,0.098773	1.655924,0.268946,0.292067	1.650407,0.058126,0.441406	12
1.662521,0.000514,0.236814	1.646419,-0.003645,0.134513	0.000000,0.000000,0.000000	1.639267,-0.004820,0.063831	1.617912,-0.008329,-0.147225	1.561319,-0.011007,-0.297363	1.653471,-0.143139,0.107093	1.640553,-0.241394,0.321154	1.660932,-0.019487,0.451996	1.645716,0.134132,0.098773	1.655938,0.268825,0.292154	1.650384,0.057905,0.441349	12
1.662527,0.000492,0.236811	1.646419,-0.003645,0.134511	0.000000,0.000000,0.000000	1.639261,-0.004820,0.063829	1.617886,-0.008330,-0.147225	1.561273,-0.011008,-0.297469	1.653471,-0.143141,0.107093	1.640556,-0.241612,0.321055	1.660870,-0.019577,0.451689	1.645764,0.134133,0.098773	1.655934,0.268504,0.292380	1.650492,0.055859,0.439086	12
