joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.812918,0.032131,0.331866	1.774611,0.027638,0.231111	0.000000,0.000000,0.000000	1.745322,0.024718,0.163259	1.657868,0.015999,-0.039347	1.568857,0.013796,-0.189562	1.761932,-0.123277,0.168337	1.805472,-0.343829,0.247906	1.792754,-0.332071,0.516337	1.774343,0.177369,0.164398	1.820985,0.396998,0.244717	1.842355,0.452203,0.507112	12
1.812923,0.032127,0.331864	1.774609,0.027638,0.231111	0.000000,0.000000,0.000000	1.745323,0.024718,0.163258	1.657874,0.015999,-0.039350	1.568844,0.013817,-0.189588	1.761923,-0.123176,0.168365	1.805355,-0.343495,0.248011	1.792848,-0.331287,0.516432	1.774216,0.177272,0.164409	1.821015,0.396686,0.244625	1.842363,0.452420,0.506910	12
1.812859,0.032138,0.331887	1.774608,0.027639,0.231111	0.000000,0.000000,0.000000	1.745328,0.024716,0.163256	1.657899,0.015990,-0.039360	1.568818,0.013824,-0.189561	1.761954,-0.123120,0.168478	1.805239,-0.343276,0.248223	1.792912,-0.330970,0.516647	1.773627,0.177184,0.164442	1.821037,0.396366,0.244512	1.842353,0.452679,0.506675	12
1.812742,0.032146,0.331931	1.774607,0.027639,0.231111	0.000000,0.000000,0.000000	1.745316,0.024714,0.163260	1.657856,0.015979,-0.039342	1.568701,0.013825,-0.189444	1.762005,-0.123096,0.168653	1.805144,-0.343147,0.248503	1.792938,-0.330862,0.516934	1.772898,0.177098,0.164487	1.821073,0.396069,0.244420	1.842328,0.452920,0.506472	12
1.812597,0.032149,0.331985	1.774605,0.027640,0.231111	0.000000,0.000000,0.000000	1.745297,0.024711,0.163268	1.657784,0.015966,-0.039310	1.568553,0.013819,-0.189272	1.762086,-0.123082,0.168839	1.805057,-0.343041,0.248891	1.792942,-0.330878,0.517331	1.772174,0.177015,0.164537	1.821129,0.395806,0.244351	1.842296,0.453177,0.506297	12
1.812486,0.032146,0.332026	1.774604,0.027640,0.231111	0.000000,0.000000,0.000000	1.745276,0.024708,0.163277	1.657705,0.015952,-0.039276	1.568396,0.013810,-0.189063	1.762189,-0.123089,0.169068	1.804988,-0.343065,0.249105	1.792901,-0.330824,0.517544	1.771496,0.176930,0.164589	1.821196,0.395568,0.244302	1.842263,0.453418,0.506151	12
1.812401,0.032140,0.332058	1.774602,0.027641,0.231111	0.000000,0.000000,0.000000	1.745265,0.024706,0.163281	1.657665,0.015943,-0.039259	1.568305,0.013804,-0.188872	1.762298,-0.123092,0.169285	1.804890,-0.343105,0.249268	1.792910,-0.330795,0.517708	1.771292,0.176857,0.164643	1.821298,0.395426,0.244292	1.842229,0.453636,0.506072	12
1.812354,0.032133,0.332075	1.774601,0.027641,0.231111	0.000000,0.000000,0.000000	1.745267,0.024706,0.163279	1.657678,0.015941,-0.039265	1.568309,0.013801,-0.188731	1.762404,-0.123096,0.169498	1.804915,-0.343937,0.249666	1.792861,-0.330347,0.518039	1.771349,0.176789,0.164695	1.821531,0.396117,0.244584	1.842199,0.453492,0.506567	12
1.812340,0.032126,0.332080	1.774600,0.027642,0.231111	0.000000,0.000000,0.000000	1.745282,0.024706,0.163273	1.657741,0.015941,-0.039293	1.568367,0.013800,-0.188632	1.762510,-0.123103,0.169719	1.805100,-0.345006,0.250193	1.792500,-0.329579,0.518438	1.771537,0.176723,0.164742	1.821799,0.397101,0.244980	1.842177,0.453200,0.507261	12
1.812343,0.032137,0.332078	1.774599,0.027643,0.231111	0.000000,0.000000,0.000000	1.745303,0.024708,0.163263	1.657827,0.015942,-0.039330	1.568449,0.013801,-0.188562	1.762616,-0.123028,0.169712	1.805332,-0.345942,0.250571	1.792124,-0.328888,0.518690	1.771793,0.176652,0.164751	1.822052,0.398087,0.245339	1.842158,0.452864,0.507920	12
1.812346,0.032149,0.332035	1.774598,0.027644,0.231069	0.000000,0.000000,0.000000	1.745324,0.024709,0.163212	1.657911,0.015943,-0.039409	1.568548,0.013803,-0.188583	1.762960,-0.121808,0.166582	1.805176,-0.344812,0.250201	1.792262,-0.328837,0.518400	1.772045,0.176719,0.164663	1.822281,0.399049,0.245637	1.842145,0.452808,0.508448	12
1.812343,0.032160,0.331964	1.774597,0.027645,0.230999	0.000000,0.000000,0.000000	1.745369,0.024712,0.163122	1.658095,0.015951,-0.039559	1.568803,0.013809,-0.188797	1.763295,-0.121258,0.164828	1.805120,-0.344722,0.249667	1.792500,-0.327863,0.517828	1.772123,0.176828,0.164498	1.822482,0.399906,0.245655	1.842139,0.452988,0.508621	12
1.812337,0.032169,0.331873	1.774596,0.027647,0.230906	0.000000,0.000000,0.000000	1.745426,0.024715,0.163004	1.658324,0.015963,-0.039751	1.569108,0.013818,-0.189149	1.763622,-0.121106,0.163939	1.805122,-0.345194,0.249057	1.792571,-0.327044,0.517137	1.772156,0.176948,0.164297	1.822667,0.400698,0.245344	1.842126,0.453200,0.508442	12
1.812302,0.032175,0.331621	1.774595,0.027648,0.230641	0.000000,0.000000,0.000000	1.745496,0.024720,0.162708	1.658605,0.015977,-0.040138	1.569398,0.013826,-0.189715	1.763947,-0.121212,0.163505	1.804987,-0.345131,0.248092	1.792665,-0.326802,0.516173	1.772163,0.176860,0.163492	1.822590,0.400276,0.244251	1.842131,0.453684,0.507158	12
1.812244,0.032179,0.331247	1.774594,0.027650,0.230246	0.000000,0.000000,0.000000	1.745578,0.024724,0.162277	1.658937,0.015989,-0.040675	1.569667,0.013834,-0.190432	1.764242,-0.121427,0.163266	1.804830,-0.344958,0.246718	1.792789,-0.326813,0.514824	1.772165,0.176626,0.162303	1.822433,0.399367,0.242535	1.842146,0.454272,0.505119	12
1.812543,0.032205,0.329751	1.774593,0.027651,0.228863	0.000000,0.000000,0.000000	1.745662,0.024715,0.160860	1.659272,0.015946,-0.042199	1.570182,0.013540,-0.192392	1.764503,-0.121623,0.162057	1.804860,-0.345326,0.245165	1.792796,-0.326630,0.513233	1.772179,0.175724,0.158780	1.822249,0.398168,0.239957	1.842310,0.454463,0.502220	12
1.812915,0.032238,0.326591	1.774592,0.027653,0.225846	0.000000,0.000000,0.000000	1.745665,0.024699,0.157841	1.659290,0.015877,-0.045222	1.570289,0.013117,-0.195841	1.764603,-0.121919,0.159560	1.805031,-0.345982,0.242821	1.792773,-0.326355,0.510812	1.772189,0.175458,0.155050	1.822367,0.398210,0.236499	1.842524,0.454050,0.498853	12
1.813464,0.032286,0.322337	1.774591,0.027655,0.221805	0.000000,0.000000,0.000000	1.745662,0.024687,0.153802	1.659278,0.015826,-0.049256	1.570312,0.012771,-0.200220	1.764634,-0.122259,0.156258	1.805322,-0.347005,0.239071	1.792986,-0.326232,0.506972	1.772205,0.175370,0.150779	1.822621,0.398685,0.232096	1.842887,0.453426,0.494672	12
1.814470,0.032385,0.319142	1.774591,0.027657,0.217773	0.000000,0.000000,0.000000	1.745659,0.024680,0.149771	1.659268,0.015790,-0.053282	1.570190,0.012483,-0.204316	1.764607,-0.123076,0.154378	1.805882,-0.349324,0.234196	1.793198,-0.325808,0.501844	1.772216,0.175780,0.147804	1.822933,0.399374,0.229686	1.843544,0.453152,0.492435	12
1.814803,0.032402,0.316122	1.774590,0.027659,0.214466	0.000000,0.000000,0.000000	1.745608,0.024671,0.146486	1.659067,0.015749,-0.056502	1.569717,0.012249,-0.207235	1.764577,-0.123853,0.153433	1.806324,-0.350898,0.232098	1.793292,-0.325459,0.499559	1.772235,0.176435,0.146330	1.823335,0.400362,0.228366	1.844357,0.453023,0.491309	12
1.814803,0.032379,0.313956	1.774590,0.027660,0.212319	0.000000,0.000000,0.000000	1.745549,0.024663,0.144364	1.658834,0.015712,-0.058548	1.569311,0.011912,-0.208816	1.764567,-0.124325,0.153080	1.806731,-0.351836,0.231295	1.793287,-0.325343,0.498639	1.772262,0.176877,0.145704	1.823783,0.401175,0.227514	1.845432,0.453068,0.490560	12
1.814707,0.032347,0.312590	1.774590,0.027662,0.211125	0.000000,0.000000,0.000000	1.745504,0.024656,0.143190	1.658655,0.015682,-0.059664	1.569070,0.011459,-0.209405	1.764578,-0.124510,0.153036	1.807150,-0.352275,0.231165	1.793252,-0.325469,0.498457	1.772295,0.177075,0.145550	1.824302,0.401821,0.226646	1.846550,0.452984,0.489785	12
1.814626,0.032318,0.311794	1.774590,0.027664,0.210555	0.000000,0.000000,0.000000	1.745476,0.024652,0.142633	1.658540,0.015659,-0.060183	1.568960,0.010954,-0.209377	1.764603,-0.124502,0.153128	1.807567,-0.352413,0.231293	1.793171,-0.325758,0.498574	1.772336,0.177088,0.145608	1.824842,0.402295,0.225746	1.847458,0.452569,0.489025	12
1.814593,0.032295,0.311345	1.774590,0.027666,0.210335	0.000000,0.000000,0.000000	1.745460,0.024649,0.142420	1.658478,0.015642,-0.060375	1.568992,0.010496,-0.209090	1.764636,-0.124388,0.153259	1.807983,-0.352407,0.231420	1.793039,-0.326161,0.498710	1.772378,0.176990,0.145732	1.825282,0.402437,0.225445	1.848463,0.452273,0.488759	12
1.814603,0.032278,0.311061	1.774590,0.027668,0.210257	0.000000,0.000000,0.000000	1.745451,0.024648,0.142345	1.658442,0.015630,-0.060438	1.569084,0.010374,-0.208765	1.764680,-0.124230,0.153357	1.808373,-0.352331,0.231495	1.793036,-0.326729,0.498824	1.772419,0.176849,0.145849	1.825803,0.402431,0.225262	1.849557,0.452028,0.488571	12
1.814605,0.032265,0.310849	1.774590,0.027669,0.210204	0.000000,0.000000,0.000000	1.745445,0.024647,0.142296	1.658417,0.015622,-0.060479	1.569179,0.010375,-0.208494	1.764724,-0.124071,0.153420	1.808821,-0.352223,0.231499	1.793138,-0.327269,0.498869	1.772437,0.176706,0.145939	1.826366,0.402362,0.225091	1.850603,0.451956,0.488356	12
1.814976,0.032259,0.310513	1.774590,0.027672,0.210140	0.000000,0.000000,0.000000	1.745583,0.024647,0.142173	1.658969,0.015614,-0.060778	1.569929,0.010489,-0.208711	1.765922,-0.123437,0.151880	1.809001,-0.351403,0.231291	1.793549,-0.327863,0.498800	1.772886,0.176430,0.145530	1.826760,0.402203,0.224635	1.851659,0.451969,0.487805	12
1.815562,0.032253,0.310090	1.774590,0.027674,0.210049	0.000000,0.000000,0.000000	1.745820,0.024647,0.141982	1.659912,0.015610,-0.061268	1.571078,0.010666,-0.209350	1.768212,-0.122218,0.148486	1.808859,-0.349639,0.230819	1.794267,-0.328986,0.498605	1.773349,0.176148,0.144735	1.827102,0.402013,0.223859	1.852643,0.452023,0.486921	12
1.816203,0.032247,0.309581	1.774590,0.027676,0.209877	0.000000,0.000000,0.000000	1.746003,0.024650,0.141732	1.660641,0.015614,-0.061748	1.572009,0.010860,-0.210183	1.771663,-0.121018,0.144856	1.808655,-0.348087,0.229956	1.795201,-0.329980,0.497987	1.774171,0.175930,0.143652	1.827642,0.402036,0.222435	1.853716,0.452019,0.485451	12
