joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.637660,0.024468,0.365294	1.626383,0.024175,0.270281	0.000000,0.000000,0.000000	1.627768,0.024119,0.200947	1.631653,0.023963,0.006546	1.598082,0.022647,-0.155771	1.629945,-0.103005,0.203062	1.640011,-0.312870,0.297185	1.570104,-0.304868,0.539110	1.633161,0.152644,0.205817	1.637454,0.361402,0.302802	1.605026,0.382698,0.551747	12
1.637673,0.025034,0.365299	1.626198,0.024396,0.270281	0.000000,0.000000,0.000000	1.627583,0.024297,0.200947	1.631467,0.024022,0.006563	1.598088,0.022655,-0.155590	1.629326,-0.102534,0.202831	1.640258,-0.312935,0.295650	1.570462,-0.304894,0.537663	1.633101,0.152862,0.206100	1.637461,0.361787,0.302722	1.605009,0.382551,0.551763	12
1.637727,0.025456,0.365301	1.626023,0.024609,0.270281	0.000000,0.000000,0.000000	1.627406,0.024471,0.200947	1.631282,0.024083,0.006577	1.598091,0.022665,-0.155431	1.628698,-0.102182,0.202822	1.640509,-0.313421,0.293601	1.571078,-0.304638,0.535735	1.633076,0.152998,0.206245	1.637466,0.362003,0.302693	1.604969,0.382488,0.551794	12
1.637805,0.025784,0.365300	1.625850,0.024829,0.270281	0.000000,0.000000,0.000000	1.627232,0.024649,0.200948	1.631106,0.024144,0.006586	1.598090,0.022675,-0.155292	1.628202,-0.101882,0.202897	1.640701,-0.313793,0.292007	1.571547,-0.304436,0.534234	1.633066,0.153122,0.206324	1.637468,0.362171,0.302676	1.604949,0.382434,0.551826	12
1.637893,0.025990,0.365298	1.625674,0.025000,0.270282	0.000000,0.000000,0.000000	1.627055,0.024787,0.200948	1.630926,0.024189,0.006591	1.598084,0.022682,-0.155172	1.627566,-0.101676,0.203009	1.640958,-0.314269,0.290352	1.571847,-0.304148,0.532587	1.633062,0.153197,0.206353	1.637474,0.362385,0.302403	1.604977,0.382332,0.551608	12
1.637981,0.026102,0.365295	1.625479,0.025133,0.270282	0.000000,0.000000,0.000000	1.626862,0.024892,0.200949	1.630739,0.024217,0.006594	1.598073,0.022687,-0.155066	1.626862,-0.101535,0.203124	1.641255,-0.314787,0.288686	1.571877,-0.303800,0.530829	1.633060,0.153251,0.206366	1.637481,0.362609,0.302044	1.605023,0.382214,0.551303	12
1.638071,0.026168,0.365292	1.625286,0.025395,0.270283	0.000000,0.000000,0.000000	1.626672,0.025091,0.200950	1.630558,0.024238,0.006596	1.598061,0.022689,-0.154967	1.626585,-0.101313,0.203273	1.641378,-0.314871,0.288015	1.571914,-0.303737,0.530145	1.633063,0.153439,0.206320	1.637489,0.362920,0.301727	1.605101,0.382044,0.551049	12
1.638160,0.026218,0.365290	1.625100,0.025759,0.270283	0.000000,0.000000,0.000000	1.626489,0.025364,0.200950	1.630383,0.024257,0.006598	1.598046,0.022691,-0.154871	1.626535,-0.101037,0.203440	1.641417,-0.314761,0.287747	1.572031,-0.303817,0.529923	1.633074,0.153743,0.206222	1.637496,0.363196,0.301691	1.605144,0.381910,0.551063	12
1.638223,0.026265,0.365291	1.624922,0.026155,0.270283	0.000000,0.000000,0.000000	1.626307,0.025661,0.200951	1.630189,0.024276,0.006601	1.598032,0.022693,-0.154787	1.626526,-0.100763,0.203598	1.641445,-0.314566,0.287696	1.572153,-0.303992,0.529927	1.633088,0.154104,0.206098	1.637502,0.363435,0.301836	1.605185,0.381793,0.551250	12
1.638261,0.026312,0.365294	1.624748,0.026557,0.270283	0.000000,0.000000,0.000000	1.626140,0.025962,0.200952	1.630043,0.024294,0.006605	1.598022,0.022695,-0.154705	1.626516,-0.100504,0.203732	1.641448,-0.314361,0.287686	1.572340,-0.304212,0.529996	1.633105,0.154497,0.205953	1.637505,0.363656,0.302065	1.605221,0.381685,0.551516	12
