joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.639022,0.020034,0.373001	1.643748,0.016476,0.273234	0.000000,0.000000,0.000000	1.644899,0.019096,0.204403	1.648052,0.026272,0.015886	1.622103,0.025464,-0.141420	1.644854,-0.104413,0.203198	1.669415,-0.325209,0.257550	1.593157,-0.345609,0.495339	1.653453,0.144196,0.217432	1.698045,0.365199,0.255861	1.630244,0.408603,0.493124	12
1.639044,0.019994,0.372664	1.643740,0.016483,0.272785	0.000000,0.000000,0.000000	1.644895,0.019101,0.203954	1.648059,0.026274,0.015416	1.621995,0.025457,-0.141537	1.644798,-0.104689,0.203253	1.669418,-0.325401,0.257918	1.593009,-0.345021,0.495723	1.653463,0.144338,0.217316	1.698059,0.365287,0.256054	1.630066,0.408769,0.493248	12
1.639077,0.019921,0.372319	1.643733,0.016490,0.272347	0.000000,0.000000,0.000000	1.644895,0.019108,0.203516	1.648077,0.026282,0.014962	1.621861,0.025452,-0.141655	1.644685,-0.104907,0.203262	1.669428,-0.325515,0.258289	1.592816,-0.344058,0.496115	1.653475,0.144493,0.217292	1.698066,0.365400,0.256268	1.629949,0.408956,0.493413	12
1.639116,0.019854,0.371965	1.643726,0.016496,0.271920	0.000000,0.000000,0.000000	1.644895,0.019116,0.203089	1.648098,0.026294,0.014524	1.621738,0.025448,-0.141755	1.644552,-0.105081,0.203245	1.669434,-0.325564,0.258705	1.592590,-0.343005,0.496539	1.653483,0.144611,0.217248	1.698060,0.365478,0.256470	1.629887,0.409161,0.493576	12
1.639156,0.019803,0.371599	1.643719,0.016503,0.271493	0.000000,0.000000,0.000000	1.644895,0.019125,0.202663	1.648119,0.026309,0.014091	1.621636,0.025446,-0.141840	1.644431,-0.105225,0.203221	1.669437,-0.325599,0.259058	1.592354,-0.341736,0.496906	1.653489,0.144708,0.217204	1.698050,0.365539,0.256647	1.629861,0.409379,0.493719	12
1.639204,0.019768,0.371234	1.643712,0.016511,0.271079	0.000000,0.000000,0.000000	1.644895,0.019135,0.202249	1.648137,0.026324,0.013672	1.621542,0.025444,-0.141882	1.644507,-0.105343,0.203203	1.669360,-0.325590,0.259606	1.592354,-0.340374,0.497567	1.653493,0.144781,0.217159	1.698039,0.365583,0.256786	1.629833,0.409619,0.493817	12
1.639255,0.019742,0.370859	1.643704,0.016520,0.270665	0.000000,0.000000,0.000000	1.644894,0.019146,0.201835	1.648154,0.026340,0.013255	1.621486,0.025443,-0.141950	1.644655,-0.105444,0.203187	1.669250,-0.325649,0.259865	1.592832,-0.338835,0.498109	1.653496,0.144838,0.217112	1.698036,0.365597,0.256980	1.629802,0.409869,0.493959	12
1.639313,0.019720,0.370418	1.643694,0.016530,0.270191	0.000000,0.000000,0.000000	1.644891,0.019158,0.201361	1.648171,0.026358,0.012779	1.621441,0.025442,-0.142125	1.644877,-0.105540,0.203138	1.669112,-0.325755,0.259935	1.593579,-0.337749,0.498524	1.653498,0.144901,0.217055	1.698052,0.365671,0.256847	1.629899,0.410104,0.493819	12
1.639373,0.019700,0.369948	1.643682,0.016540,0.269693	0.000000,0.000000,0.000000	1.644887,0.019170,0.200864	1.648190,0.026377,0.012280	1.621398,0.025442,-0.142380	1.645154,-0.105629,0.203081	1.668944,-0.325886,0.259903	1.593880,-0.336982,0.498687	1.653500,0.144956,0.216991	1.698076,0.365803,0.256324	1.630074,0.410329,0.493322	12
