joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.590178,0.017002,0.253202	1.594565,0.021214,0.153542	0.000000,0.000000,0.000000	1.601906,0.019364,0.083265	1.622264,0.014233,-0.111635	1.585367,0.011627,-0.272887	1.610873,-0.124579,0.078102	1.590034,-0.358310,0.079120	1.493477,-0.349585,0.297782	1.598931,0.165103,0.072985	1.531489,0.389420,0.087118	1.463869,0.348205,0.312820	12
1.590512,0.017002,0.253197	1.594575,0.021119,0.153542	0.000000,0.000000,0.000000	1.601913,0.019293,0.083264	1.622264,0.014230,-0.111636	1.585210,0.011627,-0.272887	1.610964,-0.124571,0.078117	1.591290,-0.358400,0.079748	1.494258,-0.349561,0.298063	1.598927,0.164901,0.072975	1.531562,0.389253,0.086909	1.464651,0.348347,0.312749	12
1.590858,0.017002,0.253193	1.594585,0.021022,0.153542	0.000000,0.000000,0.000000	1.601921,0.019221,0.083263	1.622264,0.014227,-0.111638	1.585054,0.011626,-0.272887	1.611055,-0.124564,0.078132	1.592793,-0.358502,0.080336	1.495317,-0.349539,0.298321	1.598921,0.164694,0.072965	1.531630,0.389081,0.086702	1.465317,0.348494,0.312655	12
1.591219,0.017002,0.253188	1.594596,0.020927,0.153542	0.000000,0.000000,0.000000	1.601929,0.019150,0.083262	1.622264,0.014224,-0.111640	1.584901,0.011626,-0.272888	1.611146,-0.124555,0.078148	1.594332,-0.358597,0.080881	1.496499,-0.349520,0.298590	1.598918,0.164494,0.072964	1.531694,0.388914,0.086483	1.465506,0.348671,0.312427	12
1.591591,0.017003,0.253184	1.594607,0.020830,0.153542	0.000000,0.000000,0.000000	1.601937,0.019079,0.083261	1.622264,0.014221,-0.111643	1.584746,0.011626,-0.272890	1.611235,-0.124547,0.078164	1.595856,-0.358686,0.081076	1.497918,-0.349512,0.298689	1.598917,0.164292,0.072962	1.531757,0.388745,0.086244	1.465677,0.348760,0.312222	12
1.591945,0.017003,0.253180	1.594618,0.020732,0.153542	0.000000,0.000000,0.000000	1.601945,0.019005,0.083261	1.622264,0.014218,-0.111647	1.584589,0.011626,-0.272891	1.611326,-0.124540,0.078179	1.597310,-0.358765,0.081095	1.499506,-0.349505,0.298784	1.598917,0.164088,0.072962	1.531819,0.388576,0.085980	1.465901,0.348787,0.312059	12
1.592318,0.017003,0.253175	1.594629,0.020635,0.153542	0.000000,0.000000,0.000000	1.601953,0.018934,0.083260	1.622264,0.014216,-0.111652	1.584431,0.011626,-0.272893	1.611416,-0.124532,0.078193	1.598193,-0.358806,0.081035	1.501177,-0.349501,0.299124	1.598917,0.163891,0.072968	1.531883,0.388414,0.085700	1.466243,0.348782,0.311937	12
1.592719,0.017003,0.253171	1.594640,0.020545,0.153542	0.000000,0.000000,0.000000	1.601961,0.018867,0.083259	1.622264,0.014213,-0.111657	1.584278,0.011626,-0.272897	1.611506,-0.124527,0.078206	1.598814,-0.358831,0.081077	1.502698,-0.349496,0.299616	1.598915,0.163730,0.073007	1.531946,0.388290,0.085424	1.466672,0.348698,0.311827	12
1.593125,0.017004,0.253165	1.594651,0.020484,0.153542	0.000000,0.000000,0.000000	1.601969,0.018822,0.083258	1.622264,0.014211,-0.111663	1.584121,0.011626,-0.272900	1.611593,-0.124506,0.078226	1.598893,-0.358809,0.081064	1.504044,-0.349486,0.300120	1.598914,0.163603,0.073040	1.532005,0.388197,0.085161	1.467243,0.348592,0.311674	12
