joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.774314,0.024991,0.257335	1.740216,0.018501,0.154058	0.000000,0.000000,0.000000	1.719809,0.016068,0.085883	1.661577,0.009127,-0.108660	1.601449,0.006501,-0.256942	1.732245,-0.123710,0.098998	1.838335,-0.322549,0.125294	1.854913,-0.391904,0.374247	1.752399,0.157888,0.092890	1.860788,0.352939,0.133941	1.849630,0.401016,0.388157	12
1.773649,0.024919,0.258653	1.740217,0.018501,0.154613	0.000000,0.000000,0.000000	1.719848,0.016072,0.086428	1.661717,0.009141,-0.108168	1.601632,0.006509,-0.256443	1.732108,-0.123713,0.099841	1.838170,-0.322454,0.125682	1.854753,-0.391874,0.374617	1.752350,0.157609,0.093034	1.860728,0.351902,0.136807	1.849545,0.401727,0.390685	12
1.772590,0.024596,0.261050	1.740219,0.018501,0.157060	0.000000,0.000000,0.000000	1.719973,0.016085,0.088837	1.662114,0.009181,-0.106132	1.602021,0.006520,-0.254289	1.732439,-0.124470,0.104697	1.839155,-0.324423,0.126491	1.853920,-0.390773,0.376353	1.752234,0.157468,0.095481	1.861591,0.352323,0.139441	1.849057,0.401654,0.393352	12
1.771806,0.024230,0.265892	1.740220,0.018371,0.162433	0.000000,0.000000,0.000000	1.720164,0.015966,0.094153	1.662666,0.009071,-0.101602	1.602654,0.006418,-0.249642	1.732710,-0.125215,0.112307	1.840380,-0.326764,0.127827	1.852652,-0.389098,0.378839	1.751164,0.157251,0.100932	1.862879,0.352971,0.142063	1.848500,0.400727,0.396171	12
1.771088,0.023919,0.272091	1.740220,0.018177,0.169264	0.000000,0.000000,0.000000	1.720242,0.015784,0.100961	1.662835,0.008906,-0.095314	1.602768,0.006236,-0.243162	1.732972,-0.125690,0.120532	1.841395,-0.328748,0.131381	1.851238,-0.388029,0.383254	1.749230,0.157352,0.108673	1.864863,0.353337,0.144895	1.847968,0.398841,0.399254	12
1.770508,0.023650,0.278001	1.740218,0.017910,0.175777	0.000000,0.000000,0.000000	1.720182,0.015545,0.107491	1.662629,0.008752,-0.088656	1.602392,0.006102,-0.236275	1.733120,-0.124905,0.124707	1.841355,-0.328991,0.141309	1.850133,-0.388565,0.393174	1.745966,0.157641,0.116669	1.866778,0.352778,0.147812	1.847753,0.396801,0.402288	12
1.770057,0.023392,0.282728	1.740216,0.017597,0.181019	0.000000,0.000000,0.000000	1.720051,0.015276,0.112770	1.662319,0.008630,-0.082628	1.602020,0.006023,-0.230202	1.733184,-0.123963,0.126707	1.839708,-0.326402,0.152714	1.849536,-0.391334,0.403146	1.744162,0.156348,0.119596	1.867128,0.348705,0.150660	1.847778,0.396614,0.404384	12
1.769955,0.023195,0.285657	1.740214,0.017269,0.184440	0.000000,0.000000,0.000000	1.719914,0.015003,0.116229	1.662130,0.008550,-0.077940	1.601678,0.005981,-0.225465	1.733153,-0.123332,0.127385	1.837820,-0.323513,0.159418	1.848443,-0.392754,0.408671	1.742586,0.154684,0.119772	1.865806,0.344219,0.151453	1.848161,0.396761,0.404365	12
1.770230,0.023081,0.288104	1.740211,0.016953,0.186358	0.000000,0.000000,0.000000	1.719874,0.014754,0.118155	1.662338,0.008534,-0.074801	1.601995,0.005989,-0.222490	1.733001,-0.123063,0.127410	1.836272,-0.321380,0.161965	1.846653,-0.392365,0.410776	1.741040,0.153127,0.118673	1.863461,0.340669,0.151021	1.848604,0.397198,0.403259	12
