joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.622125,0.034650,0.407327	1.608123,0.034274,0.304039	0.000000,0.000000,0.000000	1.605526,0.031759,0.228966	1.598123,0.024588,0.014929	1.551157,0.020257,-0.147388	1.616380,-0.119747,0.234062	1.655230,-0.340637,0.343394	1.594055,-0.310874,0.608141	1.625501,0.184587,0.227939	1.668479,0.413180,0.318235	1.632913,0.453318,0.586271	12
1.622200,0.034681,0.407330	1.608123,0.034274,0.304039	0.000000,0.000000,0.000000	1.605539,0.031759,0.228966	1.598171,0.024589,0.014941	1.551169,0.020257,-0.147362	1.616382,-0.119783,0.234042	1.655164,-0.340648,0.343453	1.593785,-0.310912,0.608155	1.625535,0.184666,0.228013	1.668482,0.413284,0.318266	1.632859,0.454013,0.586205	12
1.622275,0.034713,0.407332	1.608123,0.034274,0.304039	0.000000,0.000000,0.000000	1.605551,0.031759,0.228966	1.598220,0.024589,0.014953	1.551180,0.020258,-0.147338	1.616384,-0.119819,0.234035	1.655077,-0.340663,0.343525	1.593626,-0.310997,0.608218	1.625587,0.184824,0.228257	1.668514,0.413514,0.318342	1.632822,0.454735,0.586196	12
1.622340,0.034736,0.407339	1.608123,0.034274,0.304039	0.000000,0.000000,0.000000	1.605568,0.031753,0.228965	1.598287,0.024567,0.014994	1.551182,0.020222,-0.147272	1.616369,-0.119925,0.234213	1.654983,-0.340819,0.343634	1.593505,-0.311030,0.608307	1.625662,0.184933,0.228438	1.668537,0.413681,0.318404	1.632785,0.454901,0.586251	12
1.622398,0.034754,0.407353	1.608123,0.034274,0.304039	0.000000,0.000000,0.000000	1.605587,0.031744,0.228965	1.598362,0.024533,0.015057	1.551204,0.020172,-0.147173	1.616346,-0.120050,0.234466	1.654899,-0.341021,0.343754	1.593416,-0.311054,0.608406	1.625752,0.185000,0.228573	1.668550,0.413797,0.318453	1.632746,0.454726,0.586338	12
1.622435,0.034764,0.407371	1.608123,0.034275,0.304039	0.000000,0.000000,0.000000	1.605613,0.031735,0.228964	1.598463,0.024499,0.015119	1.551275,0.020097,-0.147068	1.616308,-0.120112,0.234595	1.654784,-0.341115,0.343847	1.593295,-0.311142,0.608498	1.625800,0.185039,0.228660	1.668560,0.413865,0.318490	1.632708,0.454410,0.586426	12
1.622453,0.034767,0.407393	1.608123,0.034275,0.304039	0.000000,0.000000,0.000000	1.605641,0.031726,0.228964	1.598575,0.024467,0.015173	1.551366,0.020035,-0.146964	1.616295,-0.120147,0.234681	1.654609,-0.341178,0.343935	1.593145,-0.311268,0.608598	1.625840,0.185156,0.228910	1.668595,0.414052,0.318565	1.632640,0.454006,0.586576	12
1.622460,0.034766,0.407415	1.608123,0.034275,0.304039	0.000000,0.000000,0.000000	1.605670,0.031714,0.228963	1.598688,0.024425,0.015214	1.551476,0.019984,-0.146880	1.616295,-0.120168,0.234737	1.654409,-0.341225,0.344009	1.592981,-0.311413,0.608692	1.625866,0.185267,0.229149	1.668629,0.414226,0.318640	1.632562,0.453525,0.586733	12
1.622461,0.034765,0.407438	1.608123,0.034275,0.304039	0.000000,0.000000,0.000000	1.605700,0.031702,0.228963	1.598804,0.024378,0.015240	1.551599,0.019953,-0.146822	1.616309,-0.120170,0.234754	1.654196,-0.341263,0.344033	1.592861,-0.311601,0.608755	1.625892,0.185427,0.229489	1.668676,0.414480,0.318728	1.632468,0.452950,0.586921	12
