joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.788253,0.021087,0.165426	1.762346,0.017605,0.064578	0.000000,0.000000,0.000000	1.744062,0.014681,-0.004176	1.693608,0.006612,-0.193914	1.627080,0.005856,-0.346755	1.762515,-0.123004,0.011249	1.824167,-0.339629,0.033258	1.835607,-0.580214,0.128412	1.768386,0.155243,0.004295	1.882289,0.348379,0.034874	1.901637,0.591470,0.122037	12
1.787477,0.021160,0.166206	1.762342,0.017605,0.065896	0.000000,0.000000,0.000000	1.743395,0.014719,-0.002677	1.691236,0.006775,-0.191464	1.626252,0.005809,-0.343993	1.761438,-0.123599,0.014485	1.824167,-0.339471,0.033348	1.835707,-0.579840,0.129029	1.768128,0.156096,0.007857	1.883518,0.347988,0.035281	1.900949,0.590854,0.123448	12
1.786664,0.021202,0.167081	1.762329,0.017605,0.067289	0.000000,0.000000,0.000000	1.742509,0.014774,-0.001038	1.687981,0.006986,-0.189026	1.625382,0.005787,-0.341515	1.760017,-0.124150,0.018069	1.824134,-0.339192,0.033452	1.835788,-0.579416,0.129480	1.767997,0.156709,0.011236	1.883998,0.347871,0.035608	1.899995,0.590570,0.124511	12
1.785807,0.021219,0.168129	1.762207,0.017599,0.068854	0.000000,0.000000,0.000000	1.741727,0.014811,0.000717	1.685318,0.007131,-0.186948	1.624804,0.005774,-0.339299	1.758073,-0.124297,0.020877	1.824392,-0.339865,0.033687	1.835899,-0.579591,0.130959	1.767909,0.156683,0.013361	1.884108,0.349072,0.036170	1.898802,0.591595,0.125783	12
1.784921,0.021220,0.169562	1.761898,0.017585,0.070813	0.000000,0.000000,0.000000	1.741084,0.014827,0.002774	1.683608,0.007210,-0.185106	1.624420,0.005762,-0.337123	1.754801,-0.123754,0.022331	1.824035,-0.338529,0.033895	1.836017,-0.577751,0.132344	1.767844,0.156296,0.015064	1.882343,0.349833,0.037216	1.897168,0.592310,0.126935	12
1.784054,0.021218,0.172012	1.761457,0.017568,0.073815	0.000000,0.000000,0.000000	1.740600,0.014840,0.005787	1.682777,0.007275,-0.182813	1.624311,0.005764,-0.334399	1.752466,-0.122799,0.023461	1.823508,-0.336475,0.034248	1.835806,-0.575851,0.132283	1.767770,0.155520,0.016780	1.879237,0.350189,0.038961	1.895201,0.592830,0.128024	12
1.783136,0.021198,0.175677	1.760960,0.017550,0.077912	0.000000,0.000000,0.000000	1.740220,0.014859,0.009846	1.682414,0.007359,-0.179875	1.624488,0.005784,-0.331109	1.751452,-0.121554,0.024599	1.822847,-0.334181,0.035116	1.835332,-0.574166,0.131615	1.767677,0.154380,0.018605	1.876075,0.349448,0.043115	1.892549,0.592857,0.129940	12
1.782358,0.021177,0.180302	1.760417,0.017530,0.082999	0.000000,0.000000,0.000000	1.739953,0.014884,0.014849	1.682545,0.007460,-0.176360	1.624760,0.005821,-0.327284	1.751061,-0.121090,0.028382	1.822264,-0.332985,0.037809	1.834639,-0.573835,0.132129	1.766535,0.153214,0.021089	1.873685,0.347339,0.050528	1.888923,0.591870,0.134349	12
1.781454,0.021132,0.185531	1.759835,0.017509,0.088473	0.000000,0.000000,0.000000	1.739714,0.014906,0.020220	1.682855,0.007549,-0.172677	1.625131,0.005857,-0.323459	1.750936,-0.121350,0.034328	1.821538,-0.332916,0.045235	1.834108,-0.577811,0.136702	1.764360,0.152827,0.025568	1.872031,0.345423,0.059579	1.884828,0.593273,0.142711	12
1.780501,0.021086,0.190785	1.759233,0.017494,0.093695	0.000000,0.000000,0.000000	1.739361,0.014913,0.025368	1.682850,0.007571,-0.168948	1.625162,0.005862,-0.319720	1.750928,-0.121843,0.040634	1.820679,-0.333344,0.056512	1.833157,-0.580452,0.144698	1.760927,0.152713,0.030394	1.870784,0.343826,0.065998	1.880454,0.592114,0.151168	12
1.779641,0.021066,0.194915	1.758518,0.017483,0.097722	0.000000,0.000000,0.000000	1.738843,0.014908,0.029338	1.682626,0.007552,-0.166048	1.624914,0.005852,-0.316889	1.750977,-0.121577,0.043684	1.819679,-0.333317,0.062735	1.831992,-0.580149,0.151612	1.759321,0.152478,0.033762	1.870187,0.343283,0.068843	1.878811,0.591274,0.154876	12
1.778822,0.021058,0.197582	1.757358,0.017473,0.100347	0.000000,0.000000,0.000000	1.737885,0.014890,0.031905	1.682109,0.007492,-0.164131	1.624218,0.005826,-0.315025	1.750990,-0.121240,0.044977	1.818854,-0.333271,0.065984	1.830567,-0.578703,0.157355	1.758497,0.151996,0.035135	1.869654,0.342897,0.069935	1.878734,0.590323,0.156120	12
1.778025,0.021055,0.199482	1.755879,0.017464,0.102270	0.000000,0.000000,0.000000	1.736601,0.014862,0.033775	1.681390,0.007408,-0.162381	1.623374,0.005795,-0.313468	1.750961,-0.120906,0.045463	1.817656,-0.333297,0.068112	1.829190,-0.577663,0.160702	1.758095,0.151565,0.035847	1.869190,0.342757,0.070140	1.879439,0.589535,0.156276	12
1.777236,0.021056,0.201177	1.754200,0.017459,0.104053	0.000000,0.000000,0.000000	1.735113,0.014828,0.035506	1.680599,0.007315,-0.160249	1.622407,0.005763,-0.311583	1.750898,-0.120598,0.045788	1.816144,-0.333403,0.069791	1.827909,-0.577243,0.162211	1.757831,0.151131,0.036340	1.868688,0.342690,0.070012	1.879895,0.588870,0.156084	12
1.776459,0.021058,0.202906	1.752526,0.017456,0.105893	0.000000,0.000000,0.000000	1.733700,0.014805,0.037275	1.680138,0.007264,-0.157934	1.621863,0.005745,-0.309595	1.750818,-0.120301,0.046135	1.814555,-0.333509,0.070653	1.826691,-0.576994,0.162683	1.757758,0.150690,0.036813	1.868085,0.342671,0.069824	1.880122,0.588343,0.155862	12
1.775772,0.021070,0.204465	1.751003,0.017455,0.107647	0.000000,0.000000,0.000000	1.732508,0.014798,0.038938	1.680061,0.007266,-0.155901	1.621780,0.005743,-0.307902	1.750736,-0.120076,0.046516	1.813179,-0.333546,0.071185	1.825270,-0.576817,0.162776	1.757771,0.150327,0.037291	1.867394,0.342700,0.069690	1.880198,0.587944,0.155755	12
