joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.604228,0.019837,0.360836	1.600971,0.022217,0.259248	0.000000,0.000000,0.000000	1.606072,0.023401,0.189709	1.620136,0.026667,-0.002030	1.588668,0.026834,-0.161761	1.605954,-0.108572,0.184308	1.636842,-0.335986,0.214773	1.591613,-0.562743,0.286570	1.608163,0.156535,0.191033	1.659307,0.377071,0.239485	1.664358,0.606043,0.317998	12
1.604038,0.019810,0.360843	1.600971,0.022217,0.259239	0.000000,0.000000,0.000000	1.606009,0.023396,0.189695	1.619895,0.026648,-0.002019	1.588323,0.026854,-0.161761	1.605659,-0.108659,0.184426	1.636801,-0.336061,0.214720	1.591870,-0.562677,0.287002	1.608256,0.156546,0.191048	1.659166,0.377136,0.239499	1.663776,0.606068,0.318028	12
1.603743,0.019769,0.360846	1.600971,0.022217,0.259225	0.000000,0.000000,0.000000	1.605943,0.023391,0.189677	1.619644,0.026627,-0.001993	1.587835,0.026866,-0.161736	1.605226,-0.108709,0.184481	1.636745,-0.336074,0.214667	1.592345,-0.562565,0.287426	1.608384,0.156532,0.191027	1.659016,0.377179,0.239505	1.663023,0.606032,0.318081	12
1.603399,0.019714,0.360844	1.600971,0.022217,0.259209	0.000000,0.000000,0.000000	1.605880,0.023388,0.189656	1.619404,0.026615,-0.001968	1.587271,0.026878,-0.161707	1.604744,-0.108734,0.184495	1.636694,-0.336050,0.214593	1.591981,-0.563514,0.288209	1.608538,0.156528,0.191033	1.658870,0.377248,0.239494	1.662164,0.607232,0.318584	12
1.603028,0.019653,0.360831	1.600971,0.022217,0.259185	0.000000,0.000000,0.000000	1.605838,0.023387,0.189629	1.619241,0.026611,-0.001956	1.586702,0.026891,-0.161686	1.604242,-0.108745,0.184482	1.636742,-0.335999,0.214458	1.591334,-0.564876,0.288820	1.608611,0.156537,0.191054	1.658720,0.377319,0.239468	1.661808,0.608863,0.319180	12
1.602647,0.019587,0.360781	1.600971,0.022217,0.259124	0.000000,0.000000,0.000000	1.605815,0.023387,0.189567	1.619153,0.026611,-0.001988	1.586299,0.026906,-0.161728	1.603711,-0.108760,0.184448	1.636823,-0.335946,0.214267	1.591151,-0.565051,0.288902	1.608637,0.156551,0.191045	1.658561,0.377379,0.239438	1.661723,0.609230,0.319316	12
1.602261,0.019521,0.360697	1.600971,0.022217,0.259033	0.000000,0.000000,0.000000	1.605803,0.023388,0.189474	1.619107,0.026613,-0.002063	1.586059,0.026922,-0.161832	1.603478,-0.108777,0.184403	1.636821,-0.335956,0.214028	1.591304,-0.564742,0.288716	1.608644,0.156570,0.191022	1.658416,0.377437,0.239395	1.661738,0.608974,0.319226	12
1.601983,0.019450,0.360594	1.600971,0.022217,0.258926	0.000000,0.000000,0.000000	1.605799,0.023389,0.189367	1.619093,0.026617,-0.002163	1.585933,0.026938,-0.161969	1.603426,-0.108796,0.184358	1.636748,-0.336005,0.213767	1.591546,-0.564220,0.288558	1.608643,0.156591,0.190991	1.658389,0.377468,0.239345	1.661752,0.608454,0.319052	12
1.601773,0.019376,0.360478	1.600971,0.022217,0.258807	0.000000,0.000000,0.000000	1.605799,0.023390,0.189249	1.619092,0.026621,-0.002284	1.585868,0.026955,-0.162125	1.603416,-0.108815,0.184308	1.636628,-0.336075,0.213448	1.591702,-0.563600,0.288460	1.608641,0.156613,0.190955	1.658387,0.377495,0.239285	1.661750,0.607861,0.318866	12
1.601647,0.019304,0.360354	1.600971,0.022217,0.258682	0.000000,0.000000,0.000000	1.605801,0.023391,0.189124	1.619099,0.026624,-0.002415	1.585833,0.026967,-0.162287	1.603420,-0.108836,0.184261	1.636489,-0.336159,0.213068	1.591931,-0.562943,0.288324	1.608639,0.156635,0.190919	1.658404,0.377523,0.239201	1.661742,0.607184,0.318729	12
1.601583,0.019235,0.360230	1.600971,0.022217,0.258558	0.000000,0.000000,0.000000	1.605803,0.023392,0.189000	1.619109,0.026628,-0.002548	1.585809,0.026977,-0.162445	1.603444,-0.108854,0.184215	1.636334,-0.336251,0.212637	1.592170,-0.562233,0.288178	1.608638,0.156657,0.190887	1.658423,0.377557,0.239094	1.661649,0.606475,0.318534	12
1.601555,0.019166,0.360080	1.600971,0.022217,0.258410	0.000000,0.000000,0.000000	1.605805,0.023393,0.188852	1.619120,0.026631,-0.002707	1.585784,0.026983,-0.162622	1.603471,-0.108879,0.184164	1.636144,-0.336369,0.212091	1.592342,-0.561420,0.288164	1.608638,0.156682,0.190845	1.658443,0.377596,0.238968	1.661336,0.605750,0.318283	12
1.601549,0.019108,0.359909	1.600970,0.022217,0.258239	0.000000,0.000000,0.000000	1.605807,0.023393,0.188681	1.619125,0.026632,-0.002866	1.585775,0.026986,-0.162812	1.603587,-0.108830,0.183949	1.635901,-0.336419,0.211489	1.592444,-0.560598,0.288256	1.608633,0.156616,0.190584	1.658433,0.377511,0.238799	1.660951,0.605106,0.317746	12
1.601594,0.019143,0.359732	1.600970,0.022217,0.258061	0.000000,0.000000,0.000000	1.605812,0.023413,0.188504	1.619145,0.026705,-0.003014	1.585776,0.027046,-0.162999	1.603697,-0.108715,0.183640	1.635668,-0.336384,0.210911	1.592452,-0.559873,0.288364	1.608718,0.156609,0.190477	1.658438,0.377540,0.238610	1.660839,0.604788,0.317138	12
1.601666,0.019175,0.359554	1.600970,0.022216,0.257882	0.000000,0.000000,0.000000	1.605820,0.023432,0.188326	1.619174,0.026776,-0.003154	1.585786,0.027101,-0.163184	1.603782,-0.108631,0.183387	1.635369,-0.336392,0.210345	1.592706,-0.559475,0.288203	1.608862,0.156590,0.190355	1.658429,0.377578,0.238384	1.660798,0.604561,0.316624	12
1.601720,0.019188,0.359374	1.600970,0.022217,0.257701	0.000000,0.000000,0.000000	1.605827,0.023445,0.188146	1.619197,0.026825,-0.003288	1.585799,0.027135,-0.163366	1.603779,-0.108567,0.183160	1.635067,-0.336410,0.209765	1.593176,-0.559348,0.287623	1.609010,0.156569,0.190221	1.658415,0.377612,0.238163	1.660798,0.604395,0.316145	12
1.601753,0.019085,0.359184	1.600969,0.022217,0.257514	0.000000,0.000000,0.000000	1.605820,0.023444,0.187958	1.619176,0.026822,-0.003552	1.585921,0.027096,-0.163690	1.603759,-0.108433,0.182773	1.634723,-0.336348,0.209141	1.593776,-0.559277,0.286819	1.609050,0.156472,0.189887	1.658393,0.377514,0.237902	1.660811,0.604123,0.315686	12
1.601770,0.018927,0.358989	1.600969,0.022217,0.257324	0.000000,0.000000,0.000000	1.605805,0.023439,0.187767	1.619137,0.026810,-0.003993	1.586097,0.027065,-0.164180	1.603732,-0.108281,0.182312	1.634553,-0.336227,0.208582	1.594078,-0.559067,0.286121	1.609038,0.156347,0.189442	1.658357,0.377354,0.237636	1.660827,0.603811,0.315218	12
1.601777,0.018751,0.358797	1.600969,0.022217,0.257138	0.000000,0.000000,0.000000	1.605787,0.023435,0.187579	1.619098,0.026800,-0.004605	1.586241,0.027051,-0.164797	1.603719,-0.108146,0.181850	1.634467,-0.336059,0.208490	1.594161,-0.559058,0.285197	1.609036,0.156248,0.189015	1.658327,0.377224,0.237377	1.660848,0.603628,0.314660	12
1.601779,0.018581,0.358612	1.600969,0.022217,0.256958	0.000000,0.000000,0.000000	1.605777,0.023433,0.187399	1.619095,0.026802,-0.005259	1.586283,0.027048,-0.165398	1.603718,-0.108147,0.181633	1.634451,-0.336042,0.208444	1.594087,-0.559163,0.284398	1.609023,0.156163,0.188622	1.658302,0.377106,0.237152	1.660879,0.603481,0.314155	12
1.601780,0.018468,0.358431	1.600968,0.022217,0.256781	0.000000,0.000000,0.000000	1.605774,0.023433,0.187222	1.619116,0.026811,-0.005881	1.586263,0.027052,-0.165933	1.603722,-0.108217,0.181554	1.634466,-0.336107,0.208386	1.593943,-0.559306,0.283726	1.609007,0.156077,0.188253	1.658278,0.376975,0.236996	1.660932,0.603331,0.313758	12
1.601780,0.018382,0.358241	1.600968,0.022217,0.256595	0.000000,0.000000,0.000000	1.605775,0.023435,0.187036	1.619146,0.026824,-0.006452	1.586219,0.027060,-0.166403	1.603725,-0.108289,0.181491	1.634492,-0.336178,0.208307	1.593760,-0.559419,0.283078	1.608988,0.155981,0.187873	1.658274,0.376876,0.236611	1.660954,0.603143,0.313309	12
1.601781,0.018336,0.358050	1.600968,0.022217,0.256406	0.000000,0.000000,0.000000	1.605778,0.023435,0.186847	1.619181,0.026829,-0.006952	1.586182,0.027065,-0.166809	1.603729,-0.108366,0.181453	1.634512,-0.336250,0.208295	1.593588,-0.559566,0.282387	1.608977,0.155881,0.187508	1.658286,0.376784,0.236190	1.660957,0.602839,0.313173	12
1.601781,0.018309,0.357865	1.600968,0.022217,0.256221	0.000000,0.000000,0.000000	1.605783,0.023434,0.186662	1.619216,0.026831,-0.007380	1.586155,0.027068,-0.167156	1.603733,-0.108435,0.181425	1.634508,-0.336315,0.208311	1.593367,-0.559742,0.281618	1.608979,0.155865,0.187331	1.658329,0.376775,0.235936	1.661010,0.602634,0.313181	12
1.601782,0.018299,0.357679	1.600967,0.022217,0.256036	0.000000,0.000000,0.000000	1.605788,0.023433,0.186478	1.619248,0.026828,-0.007750	1.586138,0.027069,-0.167462	1.603739,-0.108496,0.181400	1.634480,-0.336375,0.208338	1.593199,-0.559762,0.280691	1.608987,0.155885,0.187243	1.658377,0.376713,0.236180	1.661111,0.602275,0.313353	12
1.601782,0.018300,0.357498	1.600967,0.022217,0.255855	0.000000,0.000000,0.000000	1.605793,0.023431,0.186297	1.619276,0.026824,-0.008071	1.586130,0.027069,-0.167733	1.603745,-0.108551,0.181379	1.634436,-0.336430,0.208368	1.592985,-0.559574,0.280019	1.608998,0.155918,0.187199	1.658464,0.376618,0.236632	1.661262,0.601903,0.313341	12
1.601782,0.018305,0.357326	1.600967,0.022217,0.255682	0.000000,0.000000,0.000000	1.605797,0.023430,0.186124	1.619302,0.026822,-0.008347	1.586129,0.027069,-0.167974	1.603752,-0.108597,0.181363	1.634367,-0.336481,0.208390	1.592703,-0.559107,0.279807	1.609010,0.155952,0.187173	1.658607,0.376569,0.236847	1.661457,0.601334,0.313467	12
1.601782,0.018312,0.357149	1.600967,0.022217,0.255505	0.000000,0.000000,0.000000	1.605802,0.023430,0.185948	1.619325,0.026822,-0.008599	1.586131,0.027069,-0.168201	1.603758,-0.108635,0.181342	1.634275,-0.336529,0.208408	1.592168,-0.558700,0.279685	1.609021,0.155989,0.187165	1.658778,0.376563,0.236870	1.661786,0.600976,0.313308	12
1.601915,0.018390,0.355879	1.600967,0.022217,0.255327	0.000000,0.000000,0.000000	1.605847,0.023449,0.185773	1.619500,0.026897,-0.008820	1.586658,0.027137,-0.168463	1.604169,-0.108605,0.181256	1.634002,-0.336575,0.208440	1.591575,-0.558545,0.279592	1.609286,0.156044,0.187267	1.658953,0.376677,0.236802	1.662319,0.600962,0.313078	12
1.602129,0.018482,0.354253	1.600967,0.022217,0.255147	0.000000,0.000000,0.000000	1.605912,0.023478,0.185598	1.619752,0.027009,-0.009019	1.587195,0.027233,-0.168687	1.604733,-0.108584,0.181213	1.633682,-0.336658,0.208466	1.590819,-0.558527,0.279527	1.609647,0.156077,0.187358	1.659163,0.376773,0.236761	1.663024,0.601030,0.312959	12
