joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.831328,0.051769,0.157227	1.788979,0.042486,0.069838	0.000000,0.000000,0.000000	1.765827,0.040192,0.007658	1.697996,0.033472,-0.174519	1.619657,0.029882,-0.317930	1.777032,-0.099586,0.013759	1.791110,-0.315495,0.055764	1.736591,-0.539494,0.127547	1.792360,0.183367,0.009727	1.823833,0.398170,0.047786	1.797501,0.631630,0.103514	12
1.831285,0.051759,0.157123	1.788981,0.042486,0.069783	0.000000,0.000000,0.000000	1.765793,0.040185,0.007617	1.698138,0.033471,-0.173760	1.621056,0.029915,-0.317396	1.777096,-0.099697,0.013796	1.790997,-0.315678,0.055490	1.736372,-0.539619,0.127371	1.792490,0.183402,0.009598	1.823875,0.398280,0.047306	1.798083,0.632181,0.101389	12
1.831262,0.051750,0.157024	1.788984,0.042487,0.069726	0.000000,0.000000,0.000000	1.765802,0.040181,0.007557	1.698415,0.033478,-0.173157	1.622799,0.029954,-0.317526	1.777157,-0.099790,0.013819	1.790826,-0.315853,0.055167	1.735844,-0.539658,0.127200	1.792616,0.183400,0.009406	1.823986,0.398348,0.046730	1.798901,0.632842,0.098498	12
1.831239,0.051740,0.156906	1.788986,0.042487,0.069633	0.000000,0.000000,0.000000	1.765832,0.040178,0.007454	1.698728,0.033487,-0.172742	1.624432,0.029995,-0.318254	1.777233,-0.099927,0.013943	1.790552,-0.316098,0.054833	1.735054,-0.539670,0.127193	1.792736,0.183390,0.009188	1.824468,0.398317,0.046323	1.799860,0.633496,0.095111	12
1.831211,0.051730,0.156774	1.788988,0.042487,0.069504	0.000000,0.000000,0.000000	1.765867,0.040177,0.007314	1.699020,0.033495,-0.172486	1.625568,0.030026,-0.319274	1.777308,-0.100074,0.014091	1.790165,-0.316358,0.054527	1.733715,-0.539542,0.127345	1.792783,0.183387,0.008977	1.825220,0.398225,0.046014	1.801170,0.634070,0.091781	12
1.831180,0.051719,0.156636	1.788991,0.042488,0.069345	0.000000,0.000000,0.000000	1.765905,0.040175,0.007141	1.699287,0.033502,-0.172361	1.626050,0.030035,-0.320214	1.777333,-0.100155,0.014088	1.789670,-0.316503,0.054346	1.731892,-0.539251,0.127452	1.792804,0.183419,0.008847	1.826094,0.398154,0.045720	1.803088,0.634244,0.090816	12
1.831128,0.051704,0.156454	1.788993,0.042488,0.069096	0.000000,0.000000,0.000000	1.765945,0.040173,0.006878	1.699533,0.033503,-0.172399	1.626069,0.030027,-0.320997	1.777330,-0.100240,0.014072	1.788966,-0.316642,0.054252	1.729996,-0.539000,0.127594	1.792818,0.183472,0.008731	1.827067,0.398108,0.045304	1.805616,0.634192,0.091182	12
1.831072,0.051688,0.156268	1.788995,0.042488,0.068805	0.000000,0.000000,0.000000	1.765984,0.040171,0.006573	1.699757,0.033501,-0.172531	1.625859,0.030011,-0.321577	1.777342,-0.100359,0.014162	1.787881,-0.316820,0.054322	1.728416,-0.539018,0.127756	1.792830,0.183523,0.008626	1.828085,0.398062,0.044811	1.808835,0.634048,0.092119	12
1.831023,0.051674,0.156096	1.788998,0.042489,0.068498	0.000000,0.000000,0.000000	1.766022,0.040168,0.006254	1.699962,0.033496,-0.172716	1.625583,0.029993,-0.321975	1.777334,-0.100437,0.014176	1.786510,-0.316912,0.054588	1.728316,-0.539472,0.127931	1.792843,0.183588,0.008573	1.829116,0.397986,0.044585	1.812380,0.633902,0.093172	12
1.830957,0.051657,0.155885	1.789000,0.042489,0.068102	0.000000,0.000000,0.000000	1.766051,0.040165,0.005848	1.700117,0.033488,-0.173008	1.625267,0.029975,-0.322301	1.777315,-0.100513,0.014132	1.784999,-0.316986,0.054860	1.728749,-0.540070,0.128115	1.792857,0.183682,0.008531	1.830213,0.397901,0.044506	1.814926,0.633680,0.094248	12
1.830872,0.051635,0.155624	1.789002,0.042490,0.067590	0.000000,0.000000,0.000000	1.766067,0.040161,0.005331	1.700215,0.033475,-0.173425	1.624926,0.029956,-0.322623	1.777290,-0.100605,0.014075	1.783575,-0.317093,0.054976	1.729427,-0.540649,0.128371	1.792875,0.183793,0.008466	1.831377,0.397811,0.044435	1.817445,0.633518,0.094932	12
1.830788,0.051614,0.155361	1.789005,0.042491,0.067022	0.000000,0.000000,0.000000	1.766077,0.040157,0.004760	1.700283,0.033460,-0.173905	1.624633,0.029940,-0.322964	1.777263,-0.100661,0.013926	1.783324,-0.317127,0.054990	1.729634,-0.540794,0.128407	1.792893,0.183903,0.008397	1.832511,0.397720,0.044350	1.819806,0.633447,0.095082	12
1.830709,0.051594,0.155102	1.789007,0.042492,0.066406	0.000000,0.000000,0.000000	1.766086,0.040152,0.004142	1.700347,0.033443,-0.174439	1.624373,0.029925,-0.323338	1.777235,-0.100714,0.013785	1.783671,-0.317148,0.054957	1.729619,-0.540746,0.128325	1.792912,0.184007,0.008325	1.833587,0.397638,0.044207	1.820011,0.633308,0.094966	12
1.830647,0.051576,0.154877	1.789009,0.042492,0.065791	0.000000,0.000000,0.000000	1.766099,0.040148,0.003524	1.700423,0.033426,-0.174980	1.624107,0.029910,-0.323671	1.777221,-0.100765,0.013714	1.783859,-0.317196,0.054864	1.729973,-0.540888,0.128072	1.792937,0.184075,0.008239	1.834578,0.397534,0.044041	1.819580,0.633138,0.094689	12
1.830600,0.051562,0.154673	1.789012,0.042493,0.065173	0.000000,0.000000,0.000000	1.766112,0.040142,0.002902	1.700495,0.033409,-0.175527	1.623885,0.029897,-0.324024	1.777213,-0.100804,0.013686	1.784048,-0.317251,0.054721	1.730499,-0.541110,0.127664	1.792963,0.184116,0.008154	1.834988,0.397521,0.043831	1.819239,0.633094,0.094401	12
