joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.570487,0.038567,0.312331	1.561547,0.037949,0.219755	0.000000,0.000000,0.000000	1.573359,0.036240,0.156549	1.606720,0.031415,-0.021961	1.575523,0.027616,-0.185452	1.570612,-0.094476,0.156283	1.609521,-0.304060,0.168895	1.591250,-0.522220,0.227603	1.582075,0.168829,0.155754	1.631589,0.374845,0.182291	1.648746,0.595279,0.232177	12
1.570654,0.038567,0.312308	1.561677,0.037949,0.219565	0.000000,0.000000,0.000000	1.573465,0.036238,0.156355	1.606717,0.031414,-0.021939	1.575524,0.027589,-0.185476	1.570619,-0.094461,0.155970	1.608557,-0.304212,0.168757	1.590882,-0.522394,0.226812	1.582060,0.168704,0.155190	1.631641,0.374614,0.182418	1.648665,0.594911,0.232077	12
1.570811,0.038568,0.312271	1.561802,0.037949,0.219398	0.000000,0.000000,0.000000	1.573565,0.036237,0.156183	1.606690,0.031417,-0.021836	1.575541,0.027579,-0.185409	1.570621,-0.094433,0.155630	1.607527,-0.304358,0.168595	1.590011,-0.523430,0.226320	1.582043,0.168573,0.154618	1.631729,0.374360,0.182586	1.648560,0.595463,0.232194	12
1.570964,0.038567,0.312198	1.561921,0.037943,0.219223	0.000000,0.000000,0.000000	1.573659,0.036232,0.156003	1.606650,0.031422,-0.021693	1.575569,0.027578,-0.185287	1.570618,-0.094400,0.155246	1.606552,-0.304485,0.168387	1.588644,-0.524750,0.225746	1.581995,0.168406,0.153956	1.631803,0.374048,0.182773	1.648325,0.596292,0.232388	12
1.571116,0.038572,0.312100	1.562037,0.037854,0.219047	0.000000,0.000000,0.000000	1.573749,0.036165,0.155822	1.606602,0.031427,-0.021516	1.575605,0.027582,-0.185117	1.570618,-0.094413,0.154813	1.605561,-0.304652,0.168170	1.586817,-0.526129,0.224932	1.581946,0.168091,0.153197	1.631836,0.373575,0.182983	1.647861,0.596982,0.232557	12
1.571270,0.038450,0.311976	1.562153,0.037636,0.218862	0.000000,0.000000,0.000000	1.573777,0.036010,0.155619	1.606357,0.031454,-0.021642	1.575787,0.027608,-0.185246	1.570616,-0.094416,0.154169	1.604499,-0.304803,0.167935	1.584755,-0.527383,0.223868	1.581906,0.167554,0.152337	1.631765,0.372889,0.183185	1.647258,0.597343,0.232595	12
1.571426,0.038238,0.311828	1.562235,0.037341,0.218669	0.000000,0.000000,0.000000	1.573717,0.035806,0.155399	1.605962,0.031497,-0.022286	1.576072,0.027649,-0.185825	1.570612,-0.094419,0.153459	1.603390,-0.304953,0.167658	1.582685,-0.528405,0.222946	1.581863,0.166880,0.151455	1.631377,0.372158,0.183229	1.646710,0.597419,0.232618	12
1.571587,0.037957,0.311669	1.562296,0.037013,0.218478	0.000000,0.000000,0.000000	1.573594,0.035581,0.155171	1.605491,0.031542,-0.023569	1.576447,0.027705,-0.186994	1.570607,-0.094386,0.152712	1.602114,-0.305084,0.167339	1.580768,-0.529184,0.222301	1.581819,0.166119,0.150578	1.630825,0.371377,0.183261	1.646197,0.597257,0.232646	12
1.571753,0.037655,0.311492	1.562323,0.036680,0.218282	0.000000,0.000000,0.000000	1.573485,0.035347,0.154949	1.605222,0.031558,-0.025143	1.576684,0.027739,-0.188370	1.570598,-0.094313,0.151963	1.600601,-0.305206,0.166941	1.578875,-0.529645,0.222351	1.581760,0.165322,0.149731	1.630186,0.370577,0.183289	1.645573,0.596923,0.232747	12
1.571920,0.037348,0.311307	1.562327,0.036349,0.218086	0.000000,0.000000,0.000000	1.573425,0.035105,0.154740	1.605199,0.031543,-0.026622	1.576733,0.027744,-0.189591	1.570587,-0.094214,0.151243	1.598959,-0.305311,0.166523	1.577055,-0.529901,0.222764	1.581684,0.164536,0.148974	1.629519,0.369802,0.183307	1.644847,0.596470,0.233015	12
1.572087,0.037040,0.311116	1.562318,0.036029,0.217892	0.000000,0.000000,0.000000	1.573401,0.034864,0.154542	1.605305,0.031513,-0.027819	1.576684,0.027734,-0.190526	1.570575,-0.094094,0.150578	1.597114,-0.305408,0.166145	1.575566,-0.530077,0.223378	1.581521,0.163875,0.148479	1.628742,0.369202,0.183299	1.644248,0.596024,0.233581	12
1.572261,0.036727,0.310912	1.562304,0.035712,0.217690	0.000000,0.000000,0.000000	1.573396,0.034624,0.154341	1.605449,0.031480,-0.028699	1.576600,0.027719,-0.191174	1.570561,-0.093962,0.149967	1.594980,-0.305510,0.165821	1.576090,-0.530370,0.224087	1.581295,0.163157,0.147925	1.627895,0.368536,0.183270	1.643296,0.595419,0.234337	12
1.572391,0.036428,0.310705	1.562288,0.035411,0.217486	0.000000,0.000000,0.000000	1.573401,0.034394,0.154138	1.605580,0.031449,-0.029281	1.576520,0.027705,-0.191567	1.570547,-0.093818,0.149411	1.592482,-0.305610,0.165618	1.577701,-0.530691,0.224848	1.581036,0.162628,0.147721	1.627028,0.368106,0.183293	1.641957,0.594986,0.235297	12
1.572474,0.036122,0.310506	1.562273,0.035092,0.217286	0.000000,0.000000,0.000000	1.573409,0.034150,0.153941	1.605682,0.031420,-0.029646	1.576455,0.027693,-0.191783	1.570531,-0.093751,0.149057	1.590475,-0.305728,0.165454	1.578516,-0.530891,0.225609	1.580741,0.162069,0.147577	1.626068,0.367661,0.183340	1.640653,0.594475,0.236346	12
1.572521,0.035819,0.310311	1.562257,0.034761,0.217089	0.000000,0.000000,0.000000	1.573415,0.033898,0.153748	1.605759,0.031395,-0.029857	1.576406,0.027685,-0.191879	1.570486,-0.093707,0.148767	1.589019,-0.305812,0.165236	1.578478,-0.530891,0.226450	1.580388,0.161618,0.147676	1.625047,0.367364,0.183386	1.639662,0.594030,0.237494	12
1.572549,0.035529,0.310125	1.562240,0.034436,0.216902	0.000000,0.000000,0.000000	1.573420,0.033650,0.153563	1.605813,0.031372,-0.029958	1.576371,0.027678,-0.191892	1.570435,-0.093801,0.148691	1.587426,-0.306032,0.165193	1.578020,-0.530997,0.227437	1.579885,0.161350,0.148015	1.623826,0.367308,0.183393	1.638557,0.593750,0.238847	12
1.572569,0.035236,0.309937	1.562217,0.034112,0.216713	0.000000,0.000000,0.000000	1.573419,0.033404,0.153377	1.605857,0.031351,-0.030016	1.576343,0.027673,-0.191881	1.570346,-0.093958,0.148636	1.585919,-0.306295,0.165179	1.576894,-0.531070,0.228517	1.579337,0.161210,0.148485	1.622367,0.367403,0.183612	1.637094,0.593672,0.240167	12
1.572579,0.034953,0.309749	1.562181,0.033781,0.216526	0.000000,0.000000,0.000000	1.573408,0.033152,0.153194	1.605894,0.031331,-0.030058	1.576319,0.027668,-0.191869	1.570159,-0.094165,0.148586	1.584736,-0.306570,0.165167	1.574782,-0.531062,0.229605	1.578786,0.161086,0.148946	1.620629,0.367563,0.183833	1.635304,0.593758,0.240988	12
1.572578,0.034697,0.309531	1.562120,0.033459,0.216312	0.000000,0.000000,0.000000	1.573378,0.032908,0.152984	1.605929,0.031312,-0.030118	1.576297,0.027664,-0.191893	1.569798,-0.094409,0.148514	1.583622,-0.306858,0.165179	1.571419,-0.530996,0.230630	1.578202,0.160919,0.149221	1.618550,0.367694,0.184101	1.633775,0.593827,0.241589	12
1.572592,0.034611,0.309245	1.561911,0.033230,0.216051	0.000000,0.000000,0.000000	1.573237,0.032733,0.152735	1.605958,0.031298,-0.030198	1.576274,0.027660,-0.191955	1.568872,-0.094633,0.148442	1.582796,-0.307066,0.165191	1.566550,-0.530818,0.231142	1.577604,0.160800,0.149353	1.616111,0.367931,0.184193	1.631872,0.594047,0.241744	12
1.572648,0.034597,0.308864	1.561526,0.033088,0.215722	0.000000,0.000000,0.000000	1.572956,0.032625,0.152424	1.605962,0.031288,-0.030353	1.576252,0.027657,-0.192091	1.567601,-0.094829,0.148377	1.581932,-0.307229,0.165198	1.560484,-0.530495,0.231330	1.576996,0.160742,0.149382	1.613458,0.368253,0.184155	1.630233,0.594325,0.241667	12
1.572612,0.034602,0.307045	1.560855,0.032868,0.213983	0.000000,0.000000,0.000000	1.572517,0.032456,0.150729	1.606181,0.031267,-0.031870	1.576024,0.027627,-0.193497	1.566096,-0.095609,0.148001	1.581070,-0.307925,0.165279	1.555636,-0.530729,0.231666	1.576294,0.161115,0.149157	1.611146,0.368863,0.184192	1.628820,0.594880,0.241703	12
1.571814,0.034603,0.304736	1.559863,0.032704,0.211700	0.000000,0.000000,0.000000	1.571862,0.032329,0.148508	1.606496,0.031247,-0.033883	1.575709,0.027586,-0.195352	1.564258,-0.096490,0.147581	1.580521,-0.308666,0.165369	1.551964,-0.531026,0.232072	1.575465,0.161659,0.148861	1.608846,0.369589,0.184262	1.627248,0.595546,0.241820	12
1.570043,0.034603,0.302080	1.558655,0.032607,0.208976	0.000000,0.000000,0.000000	1.571071,0.032252,0.145866	1.606907,0.031227,-0.036287	1.575314,0.027538,-0.197557	1.561604,-0.097408,0.147172	1.580193,-0.309344,0.165451	1.550339,-0.531449,0.232509	1.574600,0.162315,0.148520	1.607038,0.370328,0.184314	1.625455,0.596266,0.241978	12
1.566883,0.034618,0.299082	1.557338,0.032548,0.205786	0.000000,0.000000,0.000000	1.570222,0.032203,0.142770	1.607416,0.031207,-0.039143	1.574819,0.027479,-0.200143	1.559398,-0.098351,0.146784	1.580234,-0.310038,0.165538	1.549562,-0.531916,0.232999	1.573752,0.163052,0.148170	1.605455,0.371112,0.184349	1.625096,0.596918,0.242139	12
1.562443,0.034652,0.297412	1.555985,0.032504,0.203877	0.000000,0.000000,0.000000	1.569288,0.032167,0.140947	1.607704,0.031194,-0.040771	1.574541,0.027447,-0.201573	1.558419,-0.098740,0.146653	1.580111,-0.308158,0.165382	1.549781,-0.530164,0.232578	1.572909,0.163272,0.148031	1.604198,0.369231,0.183811	1.624715,0.594962,0.241617	12
1.557669,0.034674,0.296816	1.554628,0.032477,0.203112	0.000000,0.000000,0.000000	1.568299,0.032145,0.140259	1.607786,0.031188,-0.041295	1.574462,0.027437,-0.201981	1.558125,-0.098679,0.146715	1.579875,-0.305126,0.165108	1.550421,-0.527402,0.231797	1.571968,0.163096,0.148029	1.602927,0.366213,0.182892	1.624309,0.591852,0.240761	12
1.552762,0.034683,0.296714	1.553242,0.032458,0.202951	0.000000,0.000000,0.000000	1.567257,0.032130,0.140173	1.607754,0.031184,-0.041222	1.574490,0.027441,-0.201843	1.558005,-0.098413,0.146861	1.579618,-0.301913,0.164804	1.551141,-0.524480,0.230943	1.570955,0.162725,0.148051	1.601761,0.362999,0.181828	1.623815,0.588547,0.239816	12
1.549606,0.035476,0.296751	1.551837,0.032452,0.202998	0.000000,0.000000,0.000000	1.566160,0.032152,0.140290	1.607496,0.031286,-0.040680	1.574653,0.027655,-0.201309	1.557878,-0.097168,0.144560	1.579507,-0.300084,0.164761	1.551631,-0.522904,0.230303	1.569122,0.162418,0.147585	1.601043,0.362237,0.180847	1.623472,0.587584,0.239472	12
