joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.583052,-0.017155,0.274571	1.582132,-0.017193,0.176541	0.000000,0.000000,0.000000	1.579206,-0.014080,0.108897	1.571078,-0.005438,-0.078826	1.542443,-0.006657,-0.237652	1.568284,-0.156177,0.099511	1.509989,-0.367803,0.049603	1.368436,-0.561953,0.109051	1.580305,0.122275,0.099152	1.543268,0.343091,0.074643	1.458537,0.571476,0.119438	12
1.583568,-0.016898,0.274470	1.582522,-0.017189,0.176570	0.000000,0.000000,0.000000	1.579550,-0.014078,0.108907	1.571338,-0.005487,-0.077897	1.543517,-0.006650,-0.236824	1.570375,-0.155487,0.098981	1.508565,-0.366749,0.051290	1.367818,-0.561132,0.111238	1.581286,0.121498,0.098717	1.543377,0.342190,0.074350	1.465930,0.572870,0.119807	12
1.584240,-0.016712,0.273981	1.582770,-0.017186,0.176570	0.000000,0.000000,0.000000	1.579800,-0.014079,0.108885	1.571628,-0.005538,-0.077215	1.544540,-0.006643,-0.236206	1.571899,-0.154774,0.098319	1.508472,-0.365850,0.051618	1.365946,-0.558621,0.112183	1.582332,0.120756,0.098176	1.543979,0.341325,0.073306	1.472228,0.573603,0.119523	12
1.585855,-0.016499,0.273759	1.582991,-0.017180,0.176415	0.000000,0.000000,0.000000	1.580109,-0.014127,0.108701	1.572198,-0.005749,-0.077089	1.545551,-0.006649,-0.236102	1.572640,-0.153333,0.096095	1.509246,-0.364989,0.051859	1.367131,-0.558656,0.110351	1.583635,0.119555,0.096411	1.545060,0.340187,0.072160	1.477188,0.573505,0.118699	12
1.588405,-0.015863,0.273132	1.583264,-0.017173,0.175708	0.000000,0.000000,0.000000	1.580621,-0.014191,0.107957	1.573366,-0.006008,-0.077973	1.546846,-0.006658,-0.236915	1.573024,-0.151718,0.092866	1.510409,-0.364335,0.052110	1.370458,-0.560591,0.106932	1.585373,0.118533,0.094149	1.547011,0.339365,0.070934	1.478728,0.572544,0.117275	12
1.592327,-0.015242,0.270911	1.583582,-0.017164,0.173509	0.000000,0.000000,0.000000	1.581255,-0.014251,0.105720	1.574857,-0.006241,-0.080660	1.548155,-0.006674,-0.239490	1.573289,-0.149726,0.087320	1.511837,-0.363746,0.052472	1.374772,-0.563312,0.102353	1.588207,0.117630,0.090329	1.550131,0.338788,0.069265	1.478694,0.571028,0.115242	12
1.595485,-0.014821,0.267305	1.583924,-0.017156,0.169919	0.000000,0.000000,0.000000	1.581894,-0.014384,0.102094	1.576295,-0.006734,-0.085109	1.549216,-0.006908,-0.243800	1.573312,-0.149579,0.083285	1.513052,-0.364437,0.051015	1.377231,-0.565377,0.099086	1.589805,0.117586,0.086472	1.555249,0.339402,0.065781	1.477220,0.569329,0.112208	12
1.597337,-0.014566,0.262643	1.584285,-0.017144,0.165194	0.000000,0.000000,0.000000	1.582526,-0.014550,0.097335	1.577646,-0.007354,-0.091017	1.549976,-0.007290,-0.249626	1.573224,-0.150565,0.080198	1.514207,-0.365651,0.046734	1.379465,-0.566821,0.096947	1.590666,0.117446,0.081541	1.561793,0.339979,0.059653	1.475513,0.566820,0.106391	12
1.598414,-0.014405,0.257466	1.584654,-0.017134,0.159923	0.000000,0.000000,0.000000	1.583127,-0.014720,0.092037	1.578869,-0.007989,-0.097318	1.550288,-0.007733,-0.255919	1.573110,-0.151916,0.077524	1.515625,-0.366183,0.037196	1.383474,-0.566682,0.095762	1.591162,0.117125,0.076071	1.566687,0.339775,0.049999	1.475009,0.564390,0.097614	12
