joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.783014,0.032296,0.104109	1.764034,0.039686,-0.005951	0.000000,0.000000,0.000000	1.777492,0.039054,-0.081493	1.813835,0.037348,-0.285486	1.778739,0.034457,-0.449476	1.826251,-0.096615,-0.083861	1.942110,-0.318864,-0.129466	1.989517,-0.571311,-0.065940	1.738541,0.188009,-0.082563	1.635493,0.420738,-0.093308	1.484894,0.627983,-0.027113	12
1.783014,0.032270,0.104108	1.764033,0.039686,-0.005951	0.000000,0.000000,0.000000	1.777491,0.039054,-0.081493	1.813831,0.037348,-0.285486	1.778723,0.034460,-0.449476	1.826229,-0.096607,-0.083857	1.942171,-0.318818,-0.129433	1.989494,-0.571189,-0.065891	1.738540,0.187994,-0.082553	1.635319,0.420648,-0.093287	1.485385,0.628232,-0.026980	12
1.783015,0.032251,0.104107	1.764033,0.039686,-0.005951	0.000000,0.000000,0.000000	1.777490,0.039054,-0.081493	1.813828,0.037348,-0.285487	1.778718,0.034463,-0.449477	1.826208,-0.096600,-0.083854	1.942218,-0.318782,-0.129399	1.989477,-0.571045,-0.065816	1.738542,0.187982,-0.082546	1.635163,0.420566,-0.093251	1.485947,0.628493,-0.026818	12
1.783015,0.032237,0.104106	1.764033,0.039686,-0.005951	0.000000,0.000000,0.000000	1.777489,0.039054,-0.081493	1.813824,0.037348,-0.285490	1.778718,0.034464,-0.449480	1.826187,-0.096595,-0.083850	1.942269,-0.318745,-0.129364	1.989454,-0.570874,-0.065717	1.738546,0.187970,-0.082539	1.635131,0.420542,-0.093181	1.486550,0.628745,-0.026693	12
1.783016,0.032222,0.104105	1.764033,0.039686,-0.005951	0.000000,0.000000,0.000000	1.777487,0.039054,-0.081494	1.813817,0.037348,-0.285493	1.778718,0.034465,-0.449484	1.826167,-0.096590,-0.083847	1.942322,-0.318710,-0.129326	1.989421,-0.570706,-0.065604	1.738550,0.187960,-0.082534	1.635171,0.420552,-0.093074	1.487209,0.629028,-0.026546	12
1.783017,0.032215,0.104105	1.764033,0.039686,-0.005951	0.000000,0.000000,0.000000	1.777485,0.039054,-0.081494	1.813811,0.037348,-0.285496	1.778719,0.034466,-0.449486	1.826158,-0.096583,-0.083842	1.942407,-0.318661,-0.129289	1.989378,-0.570546,-0.065482	1.738555,0.187951,-0.082529	1.635264,0.420588,-0.092939	1.487636,0.629168,-0.026425	12
1.783019,0.032212,0.104104	1.764033,0.039686,-0.005951	0.000000,0.000000,0.000000	1.777484,0.039054,-0.081494	1.813807,0.037348,-0.285500	1.778720,0.034466,-0.449487	1.826156,-0.096575,-0.083837	1.942510,-0.318604,-0.129249	1.989331,-0.570396,-0.065340	1.738561,0.187942,-0.082524	1.635404,0.420646,-0.092792	1.487815,0.629144,-0.026292	12
1.783022,0.032209,0.104104	1.764033,0.039686,-0.005951	0.000000,0.000000,0.000000	1.777483,0.039054,-0.081494	1.813805,0.037348,-0.285502	1.778720,0.034467,-0.449488	1.826157,-0.096566,-0.083832	1.942638,-0.318536,-0.129209	1.989283,-0.570251,-0.065179	1.738566,0.187935,-0.082520	1.635568,0.420715,-0.092637	1.487886,0.629048,-0.026128	12
1.783024,0.032206,0.104103	1.764033,0.039686,-0.005951	0.000000,0.000000,0.000000	1.777483,0.039054,-0.081494	1.813804,0.037348,-0.285505	1.778720,0.034467,-0.449488	1.826160,-0.096558,-0.083827	1.942778,-0.318462,-0.129171	1.989244,-0.570098,-0.064999	1.738571,0.187928,-0.082516	1.635765,0.420800,-0.092470	1.487922,0.628916,-0.025925	12
