joint_position_spine_top	joint_position_spine_mid	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.701505,-0.075469,0.056632	1.666198,-0.088575,-0.158096	1.675155,0.073214,0.053764	1.465976,0.166986,0.157629	1.274312,0.105654,0.358847	5
1.701460,-0.075542,0.056216	1.665861,-0.088935,-0.159444	1.675252,0.073028,0.052841	1.466934,0.167883,0.157524	1.275920,0.106529,0.356714	5
1.701373,-0.075521,0.055895	1.665456,-0.089204,-0.160111	1.675337,0.072891,0.051870	1.468398,0.169773,0.157475	1.277546,0.107558,0.354480	5
1.701320,-0.075136,0.055599	1.665233,-0.089342,-0.160453	1.675343,0.073039,0.050710	1.469831,0.172232,0.157000	1.279147,0.108939,0.352211	5
1.701294,-0.074199,0.055335	1.665136,-0.089403,-0.160612	1.675220,0.073670,0.049400	1.470062,0.174141,0.155230	1.280598,0.110745,0.350340	5
1.701298,-0.072499,0.055341	1.665157,-0.089399,-0.160426	1.674850,0.075161,0.048632	1.469178,0.175647,0.153478	1.281281,0.112711,0.349265	5
1.701321,-0.069934,0.055559	1.665257,-0.089336,-0.159963	1.674266,0.077325,0.047950	1.468138,0.176962,0.152734	1.281070,0.115011,0.348860	5
1.701355,-0.067229,0.055884	1.665389,-0.089249,-0.159390	1.673671,0.079457,0.047616	1.467050,0.177931,0.152546	1.280280,0.117381,0.348783	5
1.701393,-0.064726,0.056259	1.665534,-0.089147,-0.158806	1.673169,0.081185,0.047570	1.466009,0.178689,0.152359	1.279248,0.119626,0.348573	5
1.701430,-0.062594,0.056665	1.665670,-0.089049,-0.158235	1.672749,0.082399,0.047843	1.464695,0.178556,0.152112	1.277951,0.120298,0.348198	5
1.701460,-0.061330,0.057044	1.665776,-0.088988,-0.157788	1.672564,0.082775,0.048637	1.463235,0.177871,0.151318	1.276422,0.120321,0.347239	5
1.701484,-0.060750,0.057399	1.665858,-0.088968,-0.157437	1.672602,0.082591,0.049836	1.462439,0.177557,0.150935	1.274658,0.119628,0.345559	5
1.701502,-0.060570,0.057736	1.665920,-0.088975,-0.157135	1.672762,0.082110,0.051216	1.462050,0.177481,0.150793	1.273183,0.118699,0.343901	5
1.701518,-0.060570,0.058054	1.665975,-0.088993,-0.156859	1.673030,0.081316,0.052188	1.462137,0.177363,0.150741	1.272221,0.117910,0.342449	5
1.701532,-0.060629,0.058347	1.666027,-0.089013,-0.156602	1.673313,0.080424,0.052855	1.462359,0.177151,0.150616	1.271261,0.117376,0.340917	5
1.701547,-0.060698,0.058647	1.666080,-0.089043,-0.156331	1.673573,0.079568,0.053385	1.462569,0.176850,0.150487	1.270272,0.116697,0.339353	5
1.701561,-0.060757,0.058935	1.666134,-0.089077,-0.156066	1.673801,0.078795,0.053820	1.462806,0.176698,0.150320	1.269306,0.116269,0.337781	5
1.701579,-0.060802,0.059304	1.666203,-0.089107,-0.155718	1.674008,0.078079,0.054219	1.463040,0.176597,0.150151	1.268809,0.115510,0.336575	5
1.701599,-0.060835,0.059704	1.666278,-0.089131,-0.155337	1.674207,0.077448,0.054592	1.463256,0.176523,0.149987	1.268636,0.115201,0.335875	5
1.701620,-0.060866,0.060143	1.666361,-0.089175,-0.154917	1.674392,0.076883,0.054942	1.463442,0.176439,0.149838	1.268605,0.115128,0.335458	5
1.701643,-0.060897,0.060598	1.666446,-0.089238,-0.154478	1.674561,0.076382,0.055265	1.463600,0.176347,0.149707	1.268718,0.115083,0.335258	5
1.701666,-0.060927,0.061079	1.666535,-0.089302,-0.154016	1.674716,0.075931,0.055567	1.463725,0.176249,0.149566	1.268891,0.115039,0.335154	5
1.701689,-0.060957,0.061560	1.666622,-0.089369,-0.153555	1.674855,0.075531,0.055841	1.463836,0.176152,0.149455	1.269094,0.114980,0.335129	5
1.701711,-0.060986,0.062016	1.666704,-0.089431,-0.153120	1.674977,0.075187,0.056086	1.463924,0.176042,0.149371	1.269276,0.114996,0.335167	5
1.701732,-0.061000,0.062464	1.666785,-0.089440,-0.152700	1.675086,0.074886,0.056307	1.464001,0.175934,0.149312	1.269411,0.115041,0.335203	5
1.701753,-0.061008,0.062888	1.666864,-0.089420,-0.152307	1.675180,0.074629,0.056502	1.464093,0.175866,0.149294	1.269502,0.115099,0.335213	5
1.701775,-0.061010,0.063327	1.666947,-0.089378,-0.151902	1.675268,0.074396,0.056683	1.464213,0.175838,0.149325	1.267462,0.114510,0.337214	5
1.701791,-0.061018,0.063617	1.667007,-0.089354,-0.151642	1.675328,0.074247,0.056808	1.464297,0.175815,0.149369	1.266794,0.114343,0.337916	5
1.701803,-0.061034,0.063778	1.667050,-0.089350,-0.151508	1.675367,0.074165,0.056891	1.464720,0.176174,0.149836	1.266860,0.114381,0.337821	5
1.701812,-0.061062,0.063853	1.667080,-0.089358,-0.151459	1.675392,0.074120,0.056946	1.465221,0.176702,0.150332	1.267330,0.114527,0.337395	5
