joint_position_spine_top	joint_position_spine_mid	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.673317,-0.096932,0.061138	1.668047,-0.098482,-0.153227	1.653225,0.049196,0.050537	1.599557,0.263558,-0.063264	1.358846,0.369815,0.012313	5
1.674820,-0.096926,0.061967	1.669442,-0.098459,-0.153028	1.656943,0.049613,0.050077	1.596794,0.265124,-0.058003	1.367571,0.386471,0.027435	5
1.676099,-0.096914,0.062418	1.670794,-0.098417,-0.153070	1.661181,0.050861,0.050190	1.595140,0.267491,-0.051996	1.379681,0.404031,0.044169	5
1.676965,-0.096621,0.062484	1.671768,-0.098215,-0.153301	1.663416,0.052807,0.050393	1.595663,0.272777,-0.043050	1.389912,0.421111,0.057222	5
1.677550,-0.096022,0.062378	1.672367,-0.097824,-0.153523	1.664443,0.055344,0.050646	1.595607,0.279257,-0.031799	1.396536,0.439218,0.071380	5
1.678017,-0.095247,0.062166	1.672758,-0.097347,-0.153684	1.664759,0.057792,0.050348	1.594682,0.284559,-0.022897	1.401790,0.455811,0.083512	5
1.678412,-0.094368,0.061927	1.672992,-0.096903,-0.153767	1.664718,0.060052,0.049684	1.594552,0.288533,-0.018262	1.408934,0.465957,0.092999	5
1.678821,-0.093376,0.061686	1.673156,-0.096471,-0.153807	1.664555,0.062197,0.048873	1.594925,0.291965,-0.015460	1.418057,0.474401,0.100292	5
1.679268,-0.092326,0.061542	1.673304,-0.096044,-0.153752	1.664373,0.064215,0.048133	1.595712,0.295409,-0.012714	1.425959,0.481492,0.105253	5
1.679725,-0.090619,0.061483	1.673459,-0.095584,-0.153619	1.664159,0.066713,0.047227	1.596961,0.299764,-0.009210	1.431553,0.487103,0.110234	5
1.680186,-0.088288,0.061480	1.673618,-0.095089,-0.153419	1.663910,0.069598,0.046138	1.598762,0.304824,-0.006067	1.435166,0.490947,0.115321	5
1.680609,-0.085499,0.061510	1.673773,-0.094569,-0.153160	1.663645,0.072704,0.044965	1.600931,0.310406,-0.002611	1.436926,0.496938,0.121596	5
1.681022,-0.082462,0.061560	1.673928,-0.094040,-0.152848	1.663375,0.075804,0.043788	1.602850,0.316090,0.001699	1.434984,0.502005,0.127706	5
1.681420,-0.079846,0.061611	1.674078,-0.093533,-0.152526	1.663167,0.078299,0.042927	1.602891,0.320605,0.006194	1.431524,0.506266,0.134093	5
1.681653,-0.077666,0.061659	1.674141,-0.093051,-0.152213	1.663029,0.080286,0.042387	1.601962,0.324367,0.011529	1.427555,0.510470,0.139883	5
1.681754,-0.076181,0.061690	1.674148,-0.092584,-0.151951	1.662984,0.081584,0.042262	1.600827,0.326929,0.013971	1.425307,0.513297,0.144665	5
1.681782,-0.075315,0.061707	1.674128,-0.092146,-0.151728	1.663010,0.082309,0.042458	1.599788,0.328487,0.014997	1.423946,0.515737,0.147239	5
1.681754,-0.074855,0.061714	1.674012,-0.091734,-0.151521	1.663083,0.082724,0.042870	1.598930,0.329452,0.015361	1.423375,0.517775,0.148804	5
1.681700,-0.074620,0.061715	1.673842,-0.091339,-0.151318	1.663174,0.083008,0.043379	1.598211,0.330103,0.015606	1.423322,0.519605,0.149865	5
1.681641,-0.074492,0.061714	1.673657,-0.090949,-0.151110	1.663268,0.083265,0.043906	1.597616,0.330599,0.015894	1.423719,0.521495,0.150538	5
1.681582,-0.074395,0.061711	1.673469,-0.090549,-0.150898	1.663362,0.083580,0.044430	1.597138,0.331073,0.016217	1.424447,0.523463,0.150997	5
1.681515,-0.074313,0.061709	1.673244,-0.090160,-0.150680	1.663438,0.083917,0.044878	1.596758,0.331525,0.016482	1.424768,0.524529,0.151804	5
1.681447,-0.074223,0.061707	1.673002,-0.089764,-0.150454	1.663513,0.084345,0.045327	1.596421,0.332019,0.016764	1.424877,0.525190,0.152767	5
1.681380,-0.074130,0.061705	1.672763,-0.089370,-0.150222	1.663529,0.084645,0.045528	1.596134,0.332406,0.017127	1.424983,0.525683,0.153656	5
1.681312,-0.074036,0.061704	1.672521,-0.088979,-0.149985	1.663492,0.084860,0.045609	1.595927,0.332723,0.017576	1.425126,0.526082,0.154474	5
1.681261,-0.073942,0.061702	1.672342,-0.088594,-0.149737	1.663432,0.085018,0.045636	1.595862,0.332997,0.017995	1.425127,0.526608,0.154514	5
1.681222,-0.073853,0.061701	1.672207,-0.088228,-0.149476	1.663364,0.085143,0.045657	1.595777,0.333208,0.018396	1.425134,0.527223,0.154199	5
1.681187,-0.073794,0.061703	1.672089,-0.087976,-0.149198	1.663295,0.085245,0.045687	1.595694,0.333398,0.019036	1.425090,0.528050,0.153494	5
1.681147,-0.073763,0.061708	1.671957,-0.087828,-0.148914	1.663227,0.085326,0.045724	1.595714,0.333584,0.019832	1.425065,0.528942,0.152536	5
1.681105,-0.073751,0.061714	1.671819,-0.087753,-0.148625	1.663163,0.085395,0.045777	1.595849,0.333752,0.020519	1.425154,0.529672,0.151429	5
