joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.265843,0.063292,0.285511	1.266631,0.061265,0.190775	0.000000,0.000000,0.000000	1.270536,0.056595,0.124245	1.282337,0.041910,-0.084756	1.225706,0.038564,-0.234891	1.267085,-0.081009,0.110155	1.173179,-0.265037,0.191334	1.063222,-0.304458,0.404976	1.272001,0.203474,0.112342	1.212250,0.378790,0.235403	1.097571,0.390055,0.448287	12
1.265516,0.065133,0.292361	1.271746,0.063731,0.198676	0.000000,0.000000,0.000000	1.277195,0.059338,0.132129	1.293711,0.045839,-0.072062	1.238281,0.042520,-0.221504	1.270252,-0.076889,0.115474	1.175063,-0.262884,0.191064	1.069900,-0.305681,0.406498	1.272376,0.202020,0.112562	1.213073,0.377533,0.235552	1.106714,0.401141,0.452551	12
1.265233,0.065990,0.294285	1.275185,0.065115,0.200849	0.000000,0.000000,0.000000	1.280031,0.060927,0.134203	1.294714,0.048244,-0.067588	1.243761,0.044949,-0.217893	1.273733,-0.075249,0.117535	1.178345,-0.262121,0.191089	1.075918,-0.306067,0.407657	1.274456,0.202352,0.112578	1.214989,0.377461,0.236025	1.113194,0.406521,0.455278	12
1.265114,0.066280,0.293312	1.277526,0.065746,0.199693	0.000000,0.000000,0.000000	1.281049,0.061683,0.132956	1.291735,0.049425,-0.068494	1.245167,0.046121,-0.219772	1.276906,-0.075099,0.117732	1.182981,-0.262650,0.191485	1.081262,-0.305936,0.408512	1.277578,0.203550,0.112560	1.217958,0.378094,0.236671	1.117330,0.409334,0.456445	12
1.266250,0.066306,0.291009	1.279329,0.065968,0.196910	0.000000,0.000000,0.000000	1.281759,0.061954,0.130127	1.289139,0.049824,-0.071810	1.245127,0.046550,-0.223533	1.279536,-0.075665,0.117058	1.188110,-0.263865,0.192124	1.085042,-0.305690,0.408736	1.281260,0.205087,0.112642	1.221916,0.379160,0.237464	1.119262,0.410879,0.456198	12
1.269962,0.066241,0.288764	1.281062,0.066016,0.193926	0.000000,0.000000,0.000000	1.282706,0.061985,0.127132	1.287705,0.049778,-0.075251	1.244627,0.046607,-0.226963	1.281995,-0.076369,0.116244	1.193046,-0.265093,0.192754	1.088172,-0.305447,0.408695	1.284434,0.206429,0.112712	1.225424,0.380150,0.238077	1.120210,0.412298,0.455393	12
1.276173,0.066162,0.286789	1.282934,0.066011,0.191193	0.000000,0.000000,0.000000	1.283997,0.061965,0.124407	1.287227,0.049703,-0.078046	1.243989,0.046520,-0.229394	1.284447,-0.077001,0.115510	1.196444,-0.265647,0.193100	1.090363,-0.305289,0.408496	1.286862,0.207547,0.112813	1.228266,0.381108,0.238471	1.121598,0.414172,0.454796	12
1.282902,0.066109,0.284382	1.284949,0.066020,0.189240	0.000000,0.000000,0.000000	1.285557,0.061975,0.122473	1.287404,0.049731,-0.079628	1.243558,0.046412,-0.230437	1.286928,-0.077361,0.115031	1.199275,-0.265810,0.193258	1.092488,-0.305168,0.408258	1.288592,0.208324,0.113009	1.230605,0.382030,0.238603	1.122964,0.416612,0.454059	12
1.287745,0.066082,0.282271	1.286733,0.066052,0.188060	0.000000,0.000000,0.000000	1.287110,0.062002,0.121321	1.288251,0.049781,-0.080078	1.243617,0.046321,-0.230220	1.288276,-0.077452,0.114803	1.201687,-0.266104,0.193446	1.094938,-0.304980,0.408172	1.289683,0.208672,0.113110	1.232523,0.382721,0.238439	1.124597,0.418736,0.453107	12
1.290557,0.066081,0.280554	1.288200,0.066111,0.187286	0.000000,0.000000,0.000000	1.288572,0.062051,0.120581	1.289690,0.049852,-0.079847	1.244094,0.046244,-0.229061	1.289358,-0.077424,0.114692	1.204053,-0.266408,0.193635	1.097713,-0.304766,0.408197	1.290509,0.208949,0.113339	1.233652,0.383374,0.238098	1.126559,0.421129,0.452404	12
1.291967,0.066096,0.279363	1.289596,0.066187,0.186885	0.000000,0.000000,0.000000	1.290176,0.062115,0.120219	1.291904,0.049946,-0.079046	1.245363,0.046179,-0.227011	1.290570,-0.077316,0.114682	1.205246,-0.266167,0.193593	1.100257,-0.304697,0.408288	1.291479,0.209142,0.113608	1.234513,0.383948,0.237574	1.128147,0.423546,0.451402	12
1.292681,0.066120,0.278576	1.290982,0.066267,0.186713	0.000000,0.000000,0.000000	1.292127,0.062186,0.120095	1.295521,0.050062,-0.077840	1.248357,0.046154,-0.224566	1.291867,-0.077200,0.114710	1.205944,-0.265684,0.193480	1.102308,-0.304653,0.408287	1.292028,0.209338,0.113925	1.235426,0.384684,0.237064	1.129544,0.424736,0.450581	12
1.293121,0.066148,0.278041	1.292367,0.066355,0.186638	0.000000,0.000000,0.000000	1.294383,0.062267,0.120087	1.300321,0.050201,-0.076360	1.253002,0.046166,-0.222158	1.293290,-0.077116,0.114735	1.206503,-0.265100,0.193355	1.104042,-0.304599,0.408237	1.292566,0.209580,0.114239	1.236208,0.385487,0.236436	1.130724,0.425672,0.449728	12
1.293497,0.066183,0.277728	1.293639,0.066455,0.186684	0.000000,0.000000,0.000000	1.296620,0.062360,0.120215	1.305344,0.050358,-0.074632	1.258359,0.046203,-0.219948	1.294781,-0.077047,0.114766	1.207131,-0.264512,0.193245	1.105729,-0.304515,0.408211	1.293199,0.209844,0.114530	1.237031,0.386366,0.235650	1.131811,0.426370,0.448776	12
1.293877,0.066239,0.277508	1.294732,0.066571,0.186747	0.000000,0.000000,0.000000	1.298513,0.062473,0.120366	1.309514,0.050541,-0.072892	1.262917,0.046251,-0.218038	1.296162,-0.077026,0.114742	1.207990,-0.264036,0.193267	1.107455,-0.304417,0.408249	1.293852,0.210235,0.114862	1.237914,0.387443,0.234786	1.132825,0.427061,0.447723	12
1.294268,0.066393,0.277333	1.295482,0.066708,0.186795	0.000000,0.000000,0.000000	1.299717,0.062603,0.120490	1.311970,0.050731,-0.071282	1.265754,0.046299,-0.216526	1.296838,-0.077037,0.114585	1.209047,-0.263884,0.193439	1.109100,-0.304230,0.408386	1.294376,0.210769,0.115211	1.238886,0.388724,0.233910	1.133619,0.427415,0.446608	12
1.294756,0.066598,0.277187	1.296036,0.066848,0.186823	0.000000,0.000000,0.000000	1.300465,0.062745,0.120585	1.313209,0.050947,-0.069867	1.267410,0.046348,-0.215392	1.297292,-0.077050,0.114374	1.210268,-0.263768,0.193861	1.109603,-0.303976,0.408270	1.294957,0.211191,0.115259	1.239776,0.389799,0.232775	1.134653,0.428015,0.445402	12
1.295282,0.066820,0.277063	1.296605,0.066990,0.186838	0.000000,0.000000,0.000000	1.301033,0.062892,0.120659	1.313713,0.051169,-0.068684	1.268267,0.046393,-0.214549	1.297804,-0.077044,0.114162	1.211457,-0.263549,0.194348	1.109537,-0.303687,0.408045	1.295700,0.211519,0.115146	1.240100,0.390408,0.231672	1.135459,0.427821,0.444550	12
1.295875,0.067072,0.276959	1.297197,0.067140,0.186846	0.000000,0.000000,0.000000	1.301513,0.063055,0.120721	1.313823,0.051410,-0.067766	1.268636,0.046438,-0.213913	1.298340,-0.076997,0.113944	1.212693,-0.263356,0.194658	1.109351,-0.303316,0.407739	1.296489,0.211804,0.114993	1.240219,0.390982,0.230358	1.136185,0.427426,0.443736	12
1.296507,0.067330,0.276875	1.297796,0.067287,0.186851	0.000000,0.000000,0.000000	1.301953,0.063219,0.120780	1.313778,0.051651,-0.067071	1.268777,0.046481,-0.213423	1.298900,-0.076926,0.113746	1.213310,-0.262933,0.194752	1.109265,-0.303029,0.407592	1.297293,0.212058,0.114850	1.240371,0.391511,0.229054	1.136808,0.427001,0.442945	12
1.296967,0.067754,0.276804	1.298422,0.067443,0.186855	0.000000,0.000000,0.000000	1.302402,0.063391,0.120840	1.313703,0.051888,-0.066555	1.268835,0.046526,-0.213041	1.299467,-0.076847,0.113545	1.213568,-0.262402,0.194656	1.109296,-0.302812,0.407470	1.298150,0.212391,0.114849	1.240634,0.392298,0.227602	1.137437,0.426494,0.442021	12
1.297321,0.068331,0.276743	1.299032,0.067612,0.186859	0.000000,0.000000,0.000000	1.302840,0.063574,0.120902	1.313645,0.052121,-0.066190	1.268897,0.046578,-0.212770	1.300054,-0.076763,0.113327	1.213551,-0.261842,0.194257	1.109656,-0.302656,0.407382	1.298631,0.212783,0.114907	1.240739,0.392931,0.226633	1.137682,0.426327,0.441449	12
1.297629,0.069043,0.276690	1.299621,0.067808,0.186861	0.000000,0.000000,0.000000	1.303269,0.063780,0.120967	1.313616,0.052353,-0.065947	1.268969,0.046636,-0.212593	1.300641,-0.076668,0.113101	1.213435,-0.261292,0.193668	1.110175,-0.302825,0.407270	1.298746,0.213226,0.114976	1.240778,0.393556,0.225902	1.137651,0.426576,0.441051	12
1.298051,0.070319,0.276669	1.300146,0.068024,0.186865	0.000000,0.000000,0.000000	1.303663,0.064127,0.121030	1.313648,0.053067,-0.065863	1.269040,0.047501,-0.212572	1.301004,-0.076382,0.112556	1.213527,-0.260713,0.192835	1.110740,-0.303193,0.406886	1.298889,0.213574,0.114829	1.240819,0.393937,0.225162	1.137573,0.427140,0.440630	12
1.298537,0.072010,0.276678	1.300604,0.068258,0.186869	0.000000,0.000000,0.000000	1.304021,0.064554,0.121094	1.313735,0.054024,-0.065915	1.269111,0.048854,-0.212693	1.301258,-0.075973,0.111854	1.213658,-0.260140,0.191689	1.111379,-0.303751,0.406254	1.299042,0.213861,0.114568	1.240894,0.394318,0.224205	1.137531,0.428165,0.440012	12
1.299048,0.074230,0.276704	1.301087,0.068496,0.186876	0.000000,0.000000,0.000000	1.304404,0.065008,0.121161	1.313853,0.055073,-0.066081	1.269166,0.050433,-0.212930	1.301458,-0.075519,0.111139	1.213739,-0.259748,0.189988	1.111638,-0.304604,0.405014	1.299251,0.214103,0.114269	1.240929,0.394774,0.222941	1.137564,0.430610,0.439048	12
1.299574,0.076685,0.276754	1.301594,0.068733,0.186885	0.000000,0.000000,0.000000	1.304809,0.065419,0.121235	1.313995,0.055955,-0.066315	1.269209,0.051800,-0.213254	1.301637,-0.075055,0.110468	1.213655,-0.259916,0.186746	1.111650,-0.306646,0.402284	1.299512,0.214319,0.113980	1.240990,0.395535,0.221092	1.137910,0.440772,0.436275	12
1.300081,0.079707,0.276771	1.302107,0.068999,0.186892	0.000000,0.000000,0.000000	1.305222,0.065831,0.121310	1.314145,0.056757,-0.066583	1.269271,0.052639,-0.213627	1.301825,-0.074437,0.109604	1.213054,-0.261410,0.178427	1.111775,-0.316190,0.393893	1.299803,0.214471,0.113542	1.241283,0.397121,0.217604	1.139648,0.467282,0.427292	12
1.300711,0.082323,0.276901	1.302607,0.069628,0.186897	0.000000,0.000000,0.000000	1.305624,0.066509,0.121390	1.314295,0.057544,-0.066837	1.269355,0.053108,-0.213995	1.302018,-0.073169,0.108316	1.212518,-0.263364,0.164873	1.114492,-0.341673,0.373309	1.300075,0.214838,0.112905	1.242020,0.401279,0.209455	1.140760,0.494838,0.409766	12
1.301410,0.084544,0.277152	1.303096,0.070589,0.186900	0.000000,0.000000,0.000000	1.306022,0.067360,0.121476	1.314452,0.058053,-0.067046	1.269475,0.053187,-0.214329	1.302217,-0.071719,0.107437	1.213512,-0.265350,0.150987	1.117706,-0.370280,0.346818	1.300304,0.215371,0.112086	1.243809,0.409988,0.189494	1.139228,0.514408,0.382440	12
