joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.302105,0.085865,0.277565	1.303576,0.071716,0.186902	0.000000,0.000000,0.000000	1.306414,0.068269,0.121570	1.314614,0.058308,-0.067209	1.269643,0.053027,-0.214635	1.302425,-0.069787,0.106158	1.219725,-0.267479,0.139294	1.122050,-0.395601,0.318668	1.300557,0.215963,0.111219	1.244655,0.417939,0.162675	1.132996,0.529654,0.346251	12
1.302754,0.086337,0.278089	1.303909,0.072877,0.186904	0.000000,0.000000,0.000000	1.306697,0.069164,0.121668	1.314774,0.058404,-0.067320	1.269859,0.052764,-0.214887	1.302618,-0.066608,0.103022	1.226132,-0.270037,0.126573	1.124028,-0.416701,0.287586	1.300813,0.216491,0.110304	1.244295,0.425148,0.135953	1.129659,0.542536,0.312931	12
1.302860,0.086357,0.278639	1.304075,0.074020,0.186906	0.000000,0.000000,0.000000	1.306858,0.070026,0.121771	1.314939,0.058423,-0.067382	1.270336,0.052473,-0.215127	1.302633,-0.063268,0.099811	1.228230,-0.270168,0.113622	1.122573,-0.435055,0.251935	1.300880,0.216908,0.109330	1.244820,0.429517,0.112316	1.140142,0.558815,0.285549	12
1.302559,0.086193,0.279144	1.304138,0.075156,0.186907	0.000000,0.000000,0.000000	1.306942,0.070875,0.121877	1.315105,0.058414,-0.067404	1.271029,0.052167,-0.215337	1.302512,-0.061220,0.098729	1.229831,-0.271286,0.102168	1.122473,-0.451775,0.216676	1.300777,0.217240,0.108308	1.246845,0.432477,0.092598	1.156187,0.575000,0.261777	12
1.302081,0.085975,0.279573	1.304148,0.076353,0.186908	0.000000,0.000000,0.000000	1.306988,0.071770,0.121985	1.315271,0.058402,-0.067387	1.271840,0.051947,-0.215494	1.302305,-0.059746,0.098694	1.230561,-0.271817,0.086963	1.125139,-0.467666,0.173131	1.300575,0.217438,0.106990	1.251383,0.434527,0.075764	1.162875,0.586137,0.237414	12
1.301532,0.085756,0.279915	1.304138,0.077580,0.186908	0.000000,0.000000,0.000000	1.307020,0.072689,0.122093	1.315443,0.058394,-0.067339	1.272641,0.051780,-0.215361	1.302066,-0.058292,0.098692	1.231091,-0.270822,0.068782	1.132660,-0.479090,0.129819	1.300347,0.217304,0.105027	1.256503,0.435520,0.061021	1.159747,0.595849,0.207365	12
1.300937,0.085535,0.280170	1.304123,0.078785,0.186908	0.000000,0.000000,0.000000	1.307054,0.073586,0.122192	1.315632,0.058372,-0.067212	1.273191,0.051594,-0.214484	1.301838,-0.056982,0.098630	1.232426,-0.266487,0.051472	1.143177,-0.483060,0.095855	1.300140,0.216369,0.101623	1.260138,0.433234,0.049965	1.153176,0.605922,0.170794	12
1.300330,0.085311,0.280349	1.304109,0.079870,0.186908	0.000000,0.000000,0.000000	1.307108,0.074361,0.122281	1.315877,0.058250,-0.066718	1.273404,0.051364,-0.212463	1.301621,-0.055961,0.098677	1.234191,-0.261321,0.038212	1.152257,-0.482882,0.068897	1.299899,0.215871,0.099040	1.262823,0.429505,0.039397	1.149581,0.613455,0.134710	12
1.299727,0.085091,0.280470	1.304098,0.080885,0.186908	0.000000,0.000000,0.000000	1.307177,0.075057,0.122361	1.316147,0.058075,-0.065732	1.274015,0.051202,-0.209852	1.301443,-0.054980,0.098555	1.236469,-0.256510,0.028883	1.158015,-0.480342,0.044847	1.299635,0.215518,0.096766	1.264663,0.425035,0.028930	1.150525,0.615775,0.110544	12
1.299119,0.084868,0.280543	1.304088,0.081726,0.186908	0.000000,0.000000,0.000000	1.307250,0.075615,0.122430	1.316408,0.057917,-0.064342	1.275238,0.051135,-0.207271	1.301407,-0.054180,0.098434	1.239242,-0.254388,0.022511	1.160086,-0.477915,0.031709	1.299354,0.215605,0.095457	1.265319,0.421703,0.017942	1.155702,0.612794,0.104653	12
