joint_position_spine_top	joint_position_spine_mid	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.803896,0.047012,-0.059819	1.819213,0.042881,-0.250762	1.774024,0.208416,-0.019317	1.736460,0.206908,0.208945	1.737331,0.157624,0.476136	5
1.803899,0.047017,-0.059734	1.819208,0.042901,-0.250542	1.774132,0.207695,-0.023480	1.737201,0.207023,0.204889	1.737017,0.158440,0.473221	5
1.803836,0.047042,-0.059684	1.818946,0.043003,-0.250236	1.774410,0.205254,-0.026934	1.737797,0.207324,0.201466	1.736859,0.159472,0.468207	5
1.803707,0.047086,-0.059667	1.818433,0.043175,-0.249897	1.774835,0.201550,-0.031999	1.738653,0.207613,0.196384	1.736580,0.161084,0.460597	5
1.803564,0.047135,-0.059669	1.817865,0.043367,-0.249540	1.775283,0.197727,-0.036564	1.739429,0.207793,0.191732	1.736348,0.162622,0.453325	5
1.803448,0.047177,-0.059677	1.817395,0.043531,-0.249172	1.775590,0.194590,-0.039060	1.739840,0.207940,0.189098	1.736262,0.163637,0.448316	5
1.803358,0.047211,-0.059686	1.817034,0.043662,-0.248901	1.775638,0.192396,-0.039074	1.739829,0.208153,0.188936	1.736276,0.163684,0.447938	5
1.803290,0.047232,-0.059694	1.816762,0.043744,-0.248740	1.775674,0.190757,-0.037977	1.739625,0.208398,0.189865	1.736352,0.163411,0.448804	5
1.803092,0.047240,-0.059710	1.816012,0.043776,-0.248660	1.775633,0.189222,-0.037056	1.739419,0.208645,0.190615	1.736433,0.163368,0.448301	5
1.802829,0.047241,-0.059728	1.815022,0.043782,-0.248601	1.775714,0.187789,-0.036353	1.739209,0.208900,0.191118	1.736503,0.163276,0.448070	5
1.802545,0.047239,-0.059748	1.813953,0.043777,-0.248537	1.775820,0.186422,-0.035856	1.739023,0.209151,0.191410	1.736557,0.163129,0.448194	5
1.802247,0.047236,-0.059769	1.812833,0.043767,-0.248456	1.775975,0.185176,-0.035430	1.738826,0.209387,0.191623	1.736601,0.162912,0.448734	5
1.801945,0.047232,-0.059790	1.811696,0.043756,-0.248359	1.776098,0.183982,-0.035147	1.738722,0.209555,0.191719	1.736607,0.162756,0.449202	5
1.801604,0.047229,-0.059811	1.810403,0.043748,-0.248274	1.776217,0.182863,-0.034909	1.738653,0.209686,0.191780	1.736609,0.162794,0.448540	5
1.801351,0.047226,-0.059827	1.809430,0.043741,-0.248190	1.776327,0.181818,-0.034702	1.738596,0.209805,0.191818	1.736601,0.162933,0.447445	5
1.801200,0.047225,-0.059839	1.808833,0.043737,-0.248107	1.776447,0.180875,-0.034470	1.738523,0.209930,0.191882	1.736576,0.162616,0.448842	5
1.801124,0.047223,-0.059846	1.808515,0.043734,-0.248030	1.776248,0.181664,-0.034878	1.738531,0.209841,0.191618	1.736514,0.162283,0.450867	5
1.801094,0.047222,-0.059852	1.808369,0.043731,-0.247963	1.775947,0.183300,-0.035482	1.738558,0.209659,0.191280	1.736441,0.162015,0.452761	5
1.801089,0.047221,-0.059857	1.808315,0.043728,-0.247907	1.775628,0.185209,-0.036124	1.738588,0.209440,0.190930	1.736363,0.161867,0.454090	5
1.801095,0.047220,-0.059862	1.808298,0.043723,-0.247871	1.775323,0.187093,-0.036734	1.738599,0.209229,0.190587	1.736219,0.161724,0.454649	5
1.801104,0.047219,-0.059867	1.808289,0.043720,-0.247856	1.775035,0.188816,-0.037309	1.738582,0.209048,0.190237	1.736025,0.161611,0.454170	5
1.801121,0.047213,-0.059872	1.808307,0.043697,-0.247862	1.774747,0.190531,-0.037270	1.738478,0.208912,0.190465	1.735872,0.161812,0.452708	5
1.801141,0.047206,-0.059878	1.808343,0.043672,-0.247898	1.774464,0.192155,-0.036886	1.738326,0.208822,0.191004	1.735658,0.162157,0.450906	5
1.801160,0.047201,-0.059884	1.808366,0.043653,-0.247992	1.774250,0.193658,-0.036344	1.738123,0.208753,0.191658	1.735341,0.162480,0.449219	5
1.801177,0.047197,-0.059891	1.808383,0.043637,-0.248119	1.774377,0.193248,-0.035602	1.737858,0.208885,0.192301	1.735019,0.162715,0.447781	5
1.801227,0.047194,-0.059899	1.808392,0.043620,-0.248264	1.774628,0.191828,-0.035069	1.737617,0.209099,0.192630	1.734691,0.162989,0.446664	5
1.801296,0.047191,-0.059909	1.808396,0.043608,-0.248420	1.774926,0.190062,-0.034676	1.737399,0.209345,0.192773	1.734189,0.163404,0.445802	5
1.801355,0.047190,-0.059918	1.808398,0.043599,-0.248579	1.775223,0.188295,-0.034371	1.737194,0.209627,0.192812	1.733635,0.163988,0.445136	5
1.801420,0.047189,-0.059928	1.808397,0.043593,-0.248732	1.775499,0.186641,-0.034222	1.737018,0.209983,0.192689	1.733094,0.164965,0.444441	5
1.801492,0.047188,-0.059946	1.808396,0.043587,-0.248877	1.775746,0.185122,-0.034279	1.736879,0.210423,0.192360	1.732578,0.166341,0.443737	5
