joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.814843,0.044974,0.094721	1.788540,0.055200,-0.006927	0.000000,0.000000,0.000000	1.792175,0.051826,-0.076458	1.802352,0.042381,-0.271168	1.762795,0.037209,-0.434914	1.823719,-0.076061,-0.075818	1.963705,-0.259870,-0.031510	1.976908,-0.351483,0.218907	1.759349,0.188549,-0.074592	1.705313,0.405235,-0.000617	1.632069,0.415089,0.255927	12
1.814838,0.044998,0.094677	1.788540,0.055197,-0.006925	0.000000,0.000000,0.000000	1.792169,0.051826,-0.076457	1.802341,0.042381,-0.271313	1.762780,0.037200,-0.434952	1.823719,-0.076080,-0.075833	1.963763,-0.259757,-0.031666	1.976982,-0.351548,0.218639	1.759336,0.188566,-0.074596	1.705307,0.405151,-0.000624	1.631867,0.414903,0.255823	12
1.814832,0.045019,0.094638	1.788540,0.055194,-0.006923	0.000000,0.000000,0.000000	1.792164,0.051826,-0.076455	1.802329,0.042382,-0.271458	1.762770,0.037190,-0.434994	1.823723,-0.076096,-0.075848	1.963873,-0.259647,-0.032263	1.976940,-0.351443,0.218007	1.759327,0.188581,-0.074599	1.705315,0.405021,-0.000644	1.631814,0.414867,0.255741	12
1.814826,0.045032,0.094603	1.788539,0.055192,-0.006920	0.000000,0.000000,0.000000	1.792158,0.051827,-0.076453	1.802315,0.042384,-0.271604	1.762761,0.037184,-0.435044	1.823729,-0.076109,-0.075865	1.963998,-0.259494,-0.033064	1.976864,-0.351295,0.217174	1.759319,0.188595,-0.074603	1.705352,0.404837,-0.000675	1.631839,0.414881,0.255658	12
1.814820,0.045042,0.094573	1.788539,0.055189,-0.006918	0.000000,0.000000,0.000000	1.792153,0.051827,-0.076451	1.802304,0.042386,-0.271750	1.762754,0.037180,-0.435100	1.823734,-0.076119,-0.075881	1.964140,-0.259283,-0.034066	1.976780,-0.351119,0.216127	1.759316,0.188608,-0.074608	1.705420,0.404590,-0.000723	1.631901,0.414928,0.255554	12
1.814816,0.045046,0.094551	1.788538,0.055135,-0.006916	0.000000,0.000000,0.000000	1.792148,0.051790,-0.076450	1.802295,0.042389,-0.271900	1.762737,0.037177,-0.435160	1.823750,-0.076172,-0.075917	1.964308,-0.259027,-0.035222	1.976696,-0.350935,0.214911	1.759322,0.188583,-0.074596	1.705524,0.404247,-0.000814	1.631999,0.415007,0.255399	12
1.814813,0.045047,0.094533	1.788538,0.055049,-0.006913	0.000000,0.000000,0.000000	1.792143,0.051730,-0.076449	1.802285,0.042394,-0.272053	1.762708,0.037175,-0.435224	1.823772,-0.076254,-0.075968	1.964471,-0.258736,-0.036550	1.976633,-0.350751,0.213507	1.759332,0.188539,-0.074574	1.705659,0.403822,-0.000933	1.632110,0.415109,0.255204	12
1.814809,0.045047,0.094517	1.788538,0.054980,-0.006911	0.000000,0.000000,0.000000	1.792139,0.051682,-0.076448	1.802277,0.042397,-0.272195	1.762666,0.037174,-0.435280	1.823795,-0.076322,-0.076020	1.964598,-0.258396,-0.037642	1.976606,-0.350663,0.212284	1.759339,0.188511,-0.074560	1.705810,0.403413,-0.001069	1.632241,0.415227,0.254994	12
1.814806,0.045047,0.094499	1.788537,0.054936,-0.006908	0.000000,0.000000,0.000000	1.792135,0.051651,-0.076446	1.802269,0.042398,-0.272321	1.762621,0.037173,-0.435326	1.823815,-0.076370,-0.076067	1.964659,-0.257962,-0.037876	1.976644,-0.350936,0.211738	1.759341,0.188502,-0.074557	1.705968,0.403072,-0.001197	1.632397,0.415353,0.254795	12
1.814801,0.045048,0.094483	1.788537,0.054906,-0.006905	0.000000,0.000000,0.000000	1.792132,0.051630,-0.076443	1.802262,0.042397,-0.272426	1.762573,0.037173,-0.435360	1.823831,-0.076406,-0.076109	1.964678,-0.257496,-0.037490	1.976710,-0.351283,0.211766	1.759341,0.188504,-0.074559	1.706138,0.402811,-0.001316	1.632559,0.415462,0.254607	12
1.814796,0.045048,0.094469	1.788536,0.054884,-0.006902	0.000000,0.000000,0.000000	1.792129,0.051614,-0.076441	1.802257,0.042395,-0.272511	1.762522,0.037173,-0.435383	1.823845,-0.076436,-0.076149	1.964692,-0.257053,-0.036865	1.976800,-0.351633,0.212036	1.759339,0.188512,-0.074563	1.706312,0.402618,-0.001418	1.632719,0.415524,0.254438	12
1.814791,0.045049,0.094457	1.788536,0.054865,-0.006899	0.000000,0.000000,0.000000	1.792126,0.051601,-0.076438	1.802251,0.042394,-0.272576	1.762468,0.037173,-0.435396	1.823858,-0.076462,-0.076187	1.964815,-0.256647,-0.036506	1.976852,-0.351830,0.212140	1.759338,0.188520,-0.074567	1.706505,0.402496,-0.001538	1.632892,0.415558,0.254275	12
1.814786,0.045049,0.094447	1.788535,0.054848,-0.006895	0.000000,0.000000,0.000000	1.792124,0.051588,-0.076434	1.802248,0.042392,-0.272625	1.762417,0.037173,-0.435403	1.823874,-0.076486,-0.076221	1.964816,-0.256432,-0.036327	1.976888,-0.351912,0.212204	1.759335,0.188530,-0.074572	1.706717,0.402424,-0.001653	1.633072,0.415575,0.254145	12
1.814782,0.045050,0.094439	1.788535,0.054828,-0.006891	0.000000,0.000000,0.000000	1.792123,0.051574,-0.076431	1.802246,0.042391,-0.272662	1.762386,0.037173,-0.435409	1.823890,-0.076512,-0.076254	1.964745,-0.256338,-0.036226	1.976920,-0.351939,0.212286	1.759334,0.188536,-0.074575	1.706927,0.402392,-0.001784	1.633242,0.415580,0.254034	12
