joint_position_spine_top	joint_position_spine_mid	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.920547,0.086584,0.045865	1.902074,0.076125,-0.155675	1.878319,0.212660,0.039640	1.655835,0.267730,-0.008366	1.414757,0.268963,0.076797	5
1.920670,0.086568,0.045912	1.902089,0.076041,-0.155612	1.878355,0.212579,0.039606	1.656464,0.268158,-0.012974	1.416738,0.268917,0.077029	5
1.920792,0.086548,0.045953	1.902103,0.075945,-0.155555	1.878386,0.212510,0.039573	1.652486,0.261985,0.003193	1.409006,0.268795,0.081320	5
1.920880,0.086526,0.045981	1.902113,0.075846,-0.155516	1.878408,0.212463,0.039531	1.649646,0.257794,0.022750	1.401817,0.268850,0.084306	5
1.920946,0.086503,0.045996	1.902120,0.075744,-0.155493	1.878440,0.212391,0.039395	1.648251,0.255560,0.032591	1.398169,0.268855,0.085565	5
1.921001,0.086476,0.046004	1.902126,0.075634,-0.155478	1.878473,0.212319,0.039222	1.647817,0.255036,0.035768	1.396899,0.268818,0.085915	5
1.921587,0.086145,0.045988	1.904100,0.074344,-0.155595	1.879017,0.212389,0.039018	1.648492,0.255862,0.035040	1.397652,0.268867,0.086236	5
1.922583,0.085622,0.045963	1.907571,0.072308,-0.155794	1.879780,0.212535,0.038869	1.649701,0.257383,0.032030	1.399907,0.269199,0.088215	5
1.923961,0.084847,0.045952	1.912491,0.069293,-0.155971	1.880588,0.212682,0.038753	1.650658,0.257552,0.030525	1.401168,0.269198,0.088193	5
1.925199,0.084123,0.045965	1.916851,0.066471,-0.156106	1.880947,0.212703,0.038729	1.650853,0.257506,0.029996	1.401415,0.269143,0.087953	5
1.926051,0.083664,0.045991	1.919719,0.064669,-0.156257	1.880982,0.212639,0.038765	1.649953,0.256821,0.030493	1.400390,0.269148,0.087796	5
1.926536,0.083418,0.046021	1.921197,0.063694,-0.156437	1.880849,0.212540,0.038822	1.648259,0.257478,0.030643	1.398599,0.269063,0.087710	5
1.926805,0.083299,0.046051	1.921814,0.063206,-0.156639	1.880666,0.212431,0.038880	1.647464,0.257530,0.030853	1.397668,0.268908,0.087410	5
1.926975,0.083291,0.046076	1.921986,0.063153,-0.156866	1.880488,0.212327,0.038934	1.646680,0.256529,0.031290	1.396695,0.268712,0.086878	5
1.927097,0.083352,0.046097	1.921967,0.063370,-0.157094	1.880290,0.212225,0.038985	1.645839,0.255141,0.031898	1.395619,0.268482,0.086192	5
1.927210,0.083445,0.046115	1.921876,0.063714,-0.157305	1.880213,0.212158,0.039014	1.645781,0.256041,0.032241	1.395344,0.268277,0.085858	5
1.927159,0.083974,0.046098	1.921150,0.065765,-0.157589	1.880196,0.212110,0.039027	1.645793,0.255628,0.032855	1.395111,0.268016,0.085355	5
1.926927,0.085003,0.046053	1.919691,0.069775,-0.157909	1.880374,0.212109,0.039005	1.646447,0.256809,0.033311	1.395360,0.267682,0.084233	5
1.926337,0.086007,0.046048	1.916786,0.073692,-0.158104	1.880641,0.212121,0.038977	1.647336,0.258610,0.033674	1.396204,0.267720,0.084790	5
1.925793,0.086262,0.046101	1.914045,0.074677,-0.158131	1.880990,0.212139,0.038934	1.647977,0.258637,0.034169	1.396930,0.267898,0.085760	5
1.925470,0.085987,0.046192	1.912165,0.073593,-0.158074	1.881171,0.212100,0.038923	1.648597,0.258787,0.034575	1.397483,0.267935,0.085946	5
1.925370,0.085347,0.046307	1.911141,0.071082,-0.157963	1.881253,0.212031,0.038932	1.649111,0.259329,0.035360	1.397735,0.267870,0.085599	5
1.925393,0.084602,0.046429	1.910706,0.068157,-0.157844	1.881280,0.211960,0.038947	1.649558,0.260654,0.035536	1.398165,0.267906,0.085962	5
1.925483,0.083881,0.046551	1.910580,0.065318,-0.157731	1.881279,0.211883,0.038956	1.649937,0.262937,0.035328	1.398552,0.267867,0.086118	5
1.925560,0.083365,0.046650	1.910583,0.063285,-0.157676	1.881262,0.211818,0.038953	1.649100,0.261073,0.035472	1.397703,0.267953,0.086021	5
1.925603,0.083078,0.046730	1.910623,0.062150,-0.157673	1.881236,0.211766,0.038945	1.648244,0.259384,0.035685	1.396853,0.268072,0.086068	5
1.925623,0.082950,0.046808	1.910665,0.061639,-0.157679	1.881219,0.211733,0.038951	1.647873,0.259739,0.035813	1.396489,0.268142,0.086381	5
1.925632,0.082908,0.046885	1.910696,0.061466,-0.157675	1.881212,0.211705,0.038956	1.647826,0.261071,0.035900	1.396379,0.268097,0.086434	5
1.925634,0.082903,0.046937	1.910716,0.061445,-0.157672	1.881206,0.211687,0.038955	1.647735,0.261796,0.036052	1.396159,0.268016,0.086136	5
