joint_position_spine_top	joint_position_spine_mid	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.928740,0.092470,0.042419	1.906475,0.085965,-0.170226	1.878384,0.212418,0.026745	1.803699,0.261215,-0.191755	1.573342,0.140345,-0.198233	5
1.928735,0.092434,0.042417	1.906453,0.085792,-0.170233	1.878352,0.212475,0.026696	1.803850,0.261232,-0.191875	1.571269,0.139759,-0.198352	5
1.928732,0.092419,0.042420	1.906440,0.085699,-0.170238	1.878324,0.212525,0.026655	1.803880,0.261245,-0.191944	1.569073,0.138666,-0.198539	5
1.928730,0.092414,0.042424	1.906432,0.085649,-0.170240	1.878300,0.212569,0.026619	1.803877,0.261258,-0.191994	1.567920,0.137777,-0.198739	5
1.928661,0.092416,0.042438	1.906167,0.085627,-0.170099	1.878141,0.212813,0.026973	1.803970,0.261175,-0.191799	1.566058,0.138478,-0.198820	5
1.928561,0.092427,0.042452	1.905797,0.085653,-0.169787	1.877861,0.213036,0.027436	1.804075,0.261092,-0.191532	1.564617,0.142516,-0.198625	5
1.928407,0.092441,0.042470	1.905228,0.085703,-0.169259	1.877592,0.213128,0.027737	1.804047,0.261097,-0.191332	1.563650,0.147250,-0.197995	5
1.928236,0.092448,0.042488	1.904614,0.085741,-0.168570	1.877571,0.213027,0.027574	1.803388,0.261289,-0.191214	1.563177,0.150196,-0.196637	5
1.928126,0.092452,0.042499	1.904248,0.085774,-0.167895	1.877664,0.212848,0.027182	1.800785,0.261577,-0.190554	1.561389,0.151635,-0.192997	5
1.928077,0.092450,0.042503	1.904119,0.085785,-0.167295	1.877772,0.212614,0.026645	1.792928,0.261766,-0.187893	1.555805,0.149757,-0.182475	5
1.928061,0.092442,0.042503	1.904115,0.085771,-0.166770	1.877790,0.212545,0.026388	1.778158,0.261435,-0.181391	1.544752,0.144236,-0.161758	5
1.928064,0.092432,0.042503	1.904174,0.085746,-0.166331	1.877732,0.212551,0.026320	1.765620,0.262029,-0.174977	1.536256,0.140638,-0.137613	5
1.928073,0.092403,0.042502	1.904252,0.085645,-0.165964	1.877695,0.212627,0.026335	1.750860,0.262698,-0.165867	1.521558,0.140279,-0.115536	5
1.928084,0.092261,0.042505	1.904330,0.085095,-0.165649	1.877681,0.212732,0.026390	1.737157,0.262201,-0.156394	1.505094,0.141231,-0.103174	5
1.928096,0.092043,0.042511	1.904407,0.084251,-0.165381	1.877690,0.212832,0.026447	1.724903,0.261000,-0.146830	1.492047,0.141512,-0.093662	5
1.928315,0.091446,0.042513	1.905292,0.081918,-0.165169	1.877679,0.213008,0.026668	1.715243,0.259592,-0.138338	1.483089,0.143031,-0.080952	5
1.928700,0.090423,0.042529	1.906827,0.077918,-0.164945	1.877671,0.213228,0.027013	1.707397,0.260003,-0.129984	1.478377,0.142997,-0.067325	5
1.929306,0.089302,0.042544	1.909227,0.073609,-0.164746	1.877681,0.213491,0.027515	1.700153,0.256628,-0.122313	1.473710,0.140241,-0.054600	5
1.929935,0.088315,0.042562	1.911719,0.069868,-0.164544	1.877713,0.213747,0.028086	1.689856,0.250753,-0.109873	1.463237,0.133730,-0.039374	5
1.930486,0.087377,0.042598	1.913895,0.066357,-0.164292	1.877770,0.213971,0.028682	1.677618,0.242362,-0.096560	1.448203,0.127934,-0.024508	5
1.930792,0.086628,0.042645	1.915107,0.063619,-0.164016	1.877839,0.214150,0.029275	1.669919,0.235294,-0.086121	1.436602,0.124565,-0.012865	5
1.930917,0.086279,0.042666	1.915603,0.062513,-0.163799	1.877897,0.214301,0.029923	1.666027,0.232232,-0.079117	1.429891,0.124238,-0.002934	5
1.930943,0.086172,0.042669	1.915719,0.062385,-0.163585	1.877947,0.214210,0.030233	1.662192,0.231038,-0.070289	1.424825,0.124667,0.008120	5
1.930927,0.086176,0.042661	1.915672,0.062716,-0.163350	1.877983,0.213969,0.030313	1.657972,0.230636,-0.059093	1.419823,0.125204,0.019141	5
1.930495,0.086220,0.042682	1.914006,0.063220,-0.162918	1.875957,0.211177,0.027610	1.651599,0.229852,-0.048044	1.411612,0.124704,0.028931	5
1.929655,0.086278,0.042721	1.910752,0.063784,-0.162265	1.877344,0.207441,0.020833	1.648049,0.227780,-0.034965	1.404232,0.126049,0.038239	5
1.928939,0.086302,0.042749	1.908001,0.064218,-0.161576	1.877158,0.202524,0.014209	1.645697,0.226192,-0.030554	1.400331,0.126475,0.045381	5
1.928569,0.086237,0.042737	1.906616,0.064495,-0.160930	1.876585,0.197813,0.008861	1.644475,0.225277,-0.030032	1.401248,0.127967,0.051195	5
1.928435,0.085932,0.042698	1.906154,0.064635,-0.160372	1.875579,0.195097,0.006754	1.643727,0.225207,-0.031007	1.403705,0.129305,0.056203	5
1.928427,0.085476,0.042620	1.906179,0.064702,-0.159940	1.875419,0.195611,0.007716	1.644080,0.225821,-0.031879	1.405080,0.129903,0.059468	5
