joint_position_spine_top	joint_position_spine_mid	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.411183,-0.078810,0.040148	1.430917,-0.084772,-0.166636	1.435359,0.068713,0.028141	1.380495,0.286126,-0.067548	1.224155,0.500674,-0.038206	5
1.411215,-0.078879,0.040167	1.431070,-0.084780,-0.166517	1.434993,0.068772,0.028104	1.380144,0.286052,-0.067767	1.223978,0.500664,-0.038494	5
1.411229,-0.078948,0.040181	1.431137,-0.084793,-0.166303	1.434619,0.068827,0.028071	1.379630,0.285936,-0.068006	1.223467,0.500506,-0.038826	5
1.411227,-0.078996,0.040191	1.431133,-0.084804,-0.166000	1.434156,0.068908,0.028023	1.379141,0.285990,-0.068019	1.222696,0.500368,-0.039269	5
1.411212,-0.079023,0.040198	1.431072,-0.084809,-0.165659	1.433670,0.069001,0.027969	1.378713,0.286124,-0.067949	1.221742,0.500168,-0.039849	5
1.411189,-0.079036,0.040203	1.430979,-0.084809,-0.165315	1.433177,0.069096,0.027914	1.378226,0.286184,-0.068038	1.220984,0.500061,-0.040395	5
1.411165,-0.079041,0.040206	1.430885,-0.084810,-0.164964	1.432723,0.069181,0.027864	1.377676,0.286179,-0.068198	1.220362,0.500026,-0.040902	5
1.411137,-0.079043,0.040208	1.430780,-0.084807,-0.164640	1.432578,0.069219,0.027842	1.377184,0.286070,-0.068321	1.219642,0.499799,-0.041559	5
1.411106,-0.079043,0.040210	1.430668,-0.084802,-0.164359	1.432517,0.069243,0.027828	1.376676,0.285952,-0.068372	1.218877,0.499563,-0.042305	5
1.411072,-0.079043,0.040210	1.430551,-0.084797,-0.164126	1.432493,0.069259,0.027818	1.376474,0.285902,-0.068408	1.218463,0.499440,-0.043137	5
1.411034,-0.079043,0.040210	1.430428,-0.084792,-0.163937	1.432521,0.069267,0.027814	1.376432,0.285876,-0.068432	1.218251,0.499378,-0.044002	5
1.411003,-0.079043,0.040210	1.430335,-0.084787,-0.163783	1.432574,0.069270,0.027812	1.376413,0.285850,-0.068445	1.218101,0.499340,-0.044843	5
1.410977,-0.079043,0.040211	1.430273,-0.084784,-0.163656	1.432635,0.069271,0.027811	1.376390,0.285818,-0.068462	1.217976,0.499266,-0.045210	5
1.410954,-0.079042,0.040212	1.430230,-0.084780,-0.163551	1.432691,0.069273,0.027810	1.376389,0.285787,-0.068494	1.217833,0.499144,-0.045406	5
1.410930,-0.079042,0.040212	1.430195,-0.084778,-0.163465	1.432745,0.069274,0.027809	1.376391,0.285756,-0.068531	1.217686,0.499004,-0.045509	5
1.410906,-0.079042,0.040213	1.430165,-0.084776,-0.163394	1.432829,0.069272,0.027811	1.376392,0.285714,-0.068562	1.217646,0.498943,-0.045657	5
1.410877,-0.079042,0.040214	1.430134,-0.084774,-0.163337	1.432868,0.069274,0.027810	1.376397,0.285688,-0.068606	1.217635,0.498915,-0.045835	5
1.410839,-0.079042,0.040215	1.430105,-0.084772,-0.163291	1.432877,0.069279,0.027807	1.376406,0.285668,-0.068660	1.217639,0.498906,-0.046038	5
1.410793,-0.079041,0.040216	1.430073,-0.084770,-0.163253	1.432872,0.069283,0.027804	1.376414,0.285646,-0.068727	1.217653,0.498902,-0.046255	5
1.410742,-0.079041,0.040217	1.430041,-0.084769,-0.163223	1.432860,0.069287,0.027802	1.376421,0.285625,-0.068793	1.217667,0.498898,-0.046442	5
1.410688,-0.079041,0.040219	1.430009,-0.084768,-0.163199	1.432847,0.069290,0.027800	1.376430,0.285602,-0.068865	1.217660,0.498906,-0.046922	5
1.410631,-0.079041,0.040220	1.429977,-0.084767,-0.163181	1.432833,0.069293,0.027799	1.376434,0.285595,-0.068897	1.217644,0.498903,-0.047151	5
1.410573,-0.079041,0.040221	1.429947,-0.084766,-0.163167	1.432820,0.069295,0.027797	1.376436,0.285594,-0.068913	1.217624,0.498893,-0.047257	5
1.410511,-0.079041,0.040223	1.429915,-0.084765,-0.163153	1.432803,0.069297,0.027796	1.376438,0.285597,-0.068922	1.217600,0.498880,-0.047298	5
1.410448,-0.079041,0.040224	1.429880,-0.084765,-0.163137	1.432785,0.069298,0.027796	1.376437,0.285604,-0.068918	1.217577,0.498871,-0.047299	5
1.410378,-0.079041,0.040226	1.429842,-0.084765,-0.163119	1.432761,0.069299,0.027795	1.376436,0.285612,-0.068917	1.217533,0.498844,-0.047276	5
1.410299,-0.079041,0.040227	1.429804,-0.084765,-0.163101	1.432736,0.069299,0.027795	1.376438,0.285618,-0.068915	1.217486,0.498812,-0.047256	5
1.410215,-0.079041,0.040229	1.429765,-0.084764,-0.163083	1.432711,0.069297,0.027796	1.376441,0.285623,-0.068915	1.217412,0.498758,-0.047239	5
1.410126,-0.079041,0.040231	1.429723,-0.084764,-0.163067	1.432689,0.069294,0.027798	1.376444,0.285627,-0.068915	1.217314,0.498684,-0.047222	5
1.410036,-0.079041,0.040233	1.429679,-0.084763,-0.163054	1.432667,0.069292,0.027799	1.376447,0.285630,-0.068914	1.217203,0.498600,-0.047203	5
