joint_position_spine_top	joint_position_spine_mid	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.699108,-0.066166,0.047842	1.673778,-0.077344,-0.169173	1.672336,0.083637,0.034636	1.484103,0.238588,-0.025132	1.255054,0.362751,0.076589	5
1.699138,-0.066166,0.047843	1.673780,-0.077344,-0.169168	1.672214,0.083647,0.034630	1.484032,0.238656,-0.025149	1.255864,0.362604,0.076167	5
1.699168,-0.066166,0.047844	1.673782,-0.077344,-0.169164	1.672157,0.083665,0.034619	1.483988,0.238691,-0.025158	1.256462,0.362296,0.075942	5
1.699198,-0.066166,0.047845	1.673785,-0.077344,-0.169159	1.672137,0.083688,0.034605	1.483944,0.238691,-0.025156	1.256961,0.362060,0.075810	5
1.699229,-0.066166,0.047846	1.673787,-0.077344,-0.169154	1.672133,0.083711,0.034592	1.483919,0.238694,-0.025155	1.257309,0.361810,0.075654	5
1.699258,-0.066166,0.047847	1.673790,-0.077343,-0.169150	1.672133,0.083732,0.034579	1.483902,0.238700,-0.025157	1.257604,0.361612,0.075559	5
1.699287,-0.066166,0.047848	1.673792,-0.077343,-0.169145	1.672133,0.083751,0.034567	1.483891,0.238710,-0.025158	1.257872,0.361461,0.075549	5
1.699316,-0.066166,0.047849	1.673794,-0.077343,-0.169140	1.672132,0.083768,0.034557	1.483877,0.238721,-0.025140	1.258096,0.361345,0.075591	5
1.699344,-0.066166,0.047850	1.673796,-0.077343,-0.169135	1.672131,0.083783,0.034548	1.483857,0.238726,-0.025117	1.258274,0.361256,0.075639	5
1.699372,-0.066166,0.047852	1.673798,-0.077343,-0.169130	1.672129,0.083797,0.034539	1.483841,0.238734,-0.025093	1.258479,0.361185,0.075829	5
1.699401,-0.066166,0.047853	1.673801,-0.077343,-0.169124	1.672126,0.083809,0.034532	1.483828,0.238752,-0.025053	1.258682,0.361147,0.076076	5
1.699430,-0.066166,0.047854	1.673803,-0.077342,-0.169117	1.672124,0.083819,0.034526	1.483809,0.238765,-0.025002	1.258848,0.361097,0.076343	5
1.699461,-0.066175,0.047855	1.673805,-0.077343,-0.169111	1.672124,0.083821,0.034525	1.483802,0.238780,-0.024946	1.258936,0.361063,0.076453	5
1.699519,-0.066254,0.047852	1.673912,-0.077349,-0.169111	1.672138,0.083765,0.034559	1.483834,0.238760,-0.024872	1.259004,0.361024,0.076457	5
1.699637,-0.066455,0.047840	1.674238,-0.077364,-0.169123	1.672175,0.083611,0.034651	1.483937,0.238684,-0.024787	1.259099,0.360967,0.076361	5
1.699790,-0.066840,0.047822	1.674691,-0.077391,-0.169137	1.672248,0.083317,0.034826	1.484133,0.238550,-0.024583	1.259238,0.360887,0.076263	5
1.699960,-0.067348,0.047802	1.675192,-0.077426,-0.169142	1.672338,0.082948,0.035045	1.484375,0.238380,-0.024324	1.259424,0.360810,0.076191	5
1.700142,-0.067902,0.047780	1.675732,-0.077462,-0.169134	1.672430,0.082575,0.035264	1.484617,0.238214,-0.024039	1.259610,0.360801,0.076086	5
1.700331,-0.068464,0.047759	1.676281,-0.077499,-0.169111	1.672518,0.082230,0.035465	1.484845,0.238075,-0.023742	1.259757,0.360764,0.076018	5
1.700521,-0.069015,0.047738	1.676832,-0.077533,-0.169078	1.672602,0.081928,0.035638	1.485050,0.237956,-0.023467	1.259885,0.360727,0.075971	5
1.700709,-0.069540,0.047720	1.677356,-0.077565,-0.169035	1.672682,0.081677,0.035780	1.485217,0.237872,-0.023161	1.259983,0.360734,0.075973	5
1.700866,-0.070113,0.047707	1.677758,-0.077821,-0.168977	1.673438,0.081271,0.035354	1.485698,0.237492,-0.022629	1.260348,0.360652,0.075836	5
1.701070,-0.070743,0.047693	1.678314,-0.078333,-0.168950	1.674378,0.080902,0.034910	1.486253,0.237047,-0.022015	1.260731,0.360513,0.075647	5
1.701316,-0.071321,0.047678	1.678985,-0.078952,-0.168964	1.675331,0.080616,0.034452	1.486754,0.236608,-0.021389	1.261072,0.360391,0.075482	5
1.701594,-0.071919,0.047662	1.679757,-0.079621,-0.169019	1.676249,0.080314,0.034019	1.487656,0.235834,-0.020666	1.261778,0.360088,0.075119	5
1.701885,-0.072518,0.047645	1.680561,-0.080290,-0.169107	1.677085,0.080014,0.033641	1.488722,0.234943,-0.019891	1.262614,0.359695,0.074686	5
1.702184,-0.073123,0.047629	1.681373,-0.081006,-0.169196	1.677275,0.079557,0.033239	1.489588,0.234284,-0.019190	1.263251,0.359377,0.074372	5
1.702482,-0.073764,0.047614	1.682150,-0.081713,-0.169274	1.677327,0.079086,0.032992	1.490411,0.233653,-0.018509	1.263859,0.359072,0.074088	5
1.702783,-0.074275,0.047599	1.682913,-0.082221,-0.169340	1.677369,0.078822,0.032923	1.491100,0.233104,-0.017927	1.264385,0.358810,0.073874	5
1.703086,-0.074602,0.047585	1.683659,-0.082605,-0.169384	1.677393,0.078771,0.032883	1.491565,0.232723,-0.017449	1.264725,0.358627,0.073762	5
