joint_position_spine_top	joint_position_spine_mid	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.406202,-0.079082,0.040627	1.430164,-0.084939,-0.162847	1.432446,0.069292,0.027899	1.515626,0.267636,-0.086574	1.484467,0.544203,-0.108821	5
1.406033,-0.079112,0.040684	1.430908,-0.085117,-0.164872	1.432436,0.069235,0.027951	1.523727,0.262273,-0.089607	1.511900,0.539817,-0.113359	5
1.405772,-0.079137,0.040747	1.431595,-0.085277,-0.166943	1.432432,0.069165,0.028012	1.530630,0.257536,-0.091601	1.535490,0.533606,-0.117576	5
1.405406,-0.079147,0.040806	1.432023,-0.085373,-0.168779	1.432453,0.069087,0.028077	1.535323,0.253801,-0.093284	1.555717,0.527001,-0.122327	5
1.404983,-0.079147,0.040870	1.432260,-0.085420,-0.170273	1.432526,0.068999,0.028148	1.539900,0.250106,-0.094641	1.571440,0.520074,-0.127798	5
1.404537,-0.079142,0.040940	1.432387,-0.085439,-0.171434	1.432693,0.068899,0.028229	1.544397,0.246779,-0.095312	1.582909,0.513937,-0.131917	5
1.404101,-0.079135,0.041022	1.432504,-0.085444,-0.172297	1.432921,0.068794,0.028314	1.547987,0.244705,-0.094892	1.594111,0.508830,-0.135462	5
1.403708,-0.079131,0.041120	1.432688,-0.085449,-0.172913	1.433274,0.068673,0.028408	1.551469,0.242916,-0.094145	1.602662,0.504460,-0.138860	5
1.403437,-0.079127,0.041240	1.433280,-0.085454,-0.173292	1.433738,0.068543,0.028510	1.553168,0.241835,-0.094157	1.609410,0.503275,-0.143355	5
1.403301,-0.079125,0.041374	1.434273,-0.085458,-0.173482	1.434313,0.068409,0.028613	1.554302,0.240769,-0.094781	1.614995,0.502490,-0.147206	5
1.403358,-0.079122,0.041512	1.435584,-0.085460,-0.173542	1.434992,0.068293,0.028704	1.555485,0.239319,-0.096016	1.619379,0.502308,-0.150521	5
1.403658,-0.079120,0.041668	1.437403,-0.085459,-0.173458	1.436064,0.068136,0.028820	1.556330,0.238435,-0.097095	1.622501,0.502727,-0.154620	5
1.404343,-0.079116,0.041884	1.440426,-0.085450,-0.173102	1.438518,0.067713,0.029095	1.557534,0.237550,-0.098599	1.623881,0.503963,-0.156726	5
1.405473,-0.079109,0.042188	1.445041,-0.085430,-0.172372	1.442436,0.066901,0.029601	1.558549,0.237351,-0.099904	1.624812,0.505734,-0.157808	5
1.406702,-0.079102,0.042525	1.449964,-0.085405,-0.171477	1.446998,0.065822,0.030264	1.559588,0.237190,-0.101111	1.625598,0.507249,-0.158396	5
1.407599,-0.079096,0.042802	1.453535,-0.085385,-0.170781	1.449175,0.065371,0.030552	1.560773,0.236448,-0.102084	1.626264,0.507851,-0.158760	5
1.408146,-0.079092,0.043011	1.455707,-0.085373,-0.170327	1.450191,0.065217,0.030661	1.562140,0.235375,-0.102873	1.626986,0.507824,-0.159031	5
1.408439,-0.079090,0.043168	1.456854,-0.085365,-0.170063	1.450636,0.065205,0.030681	1.563661,0.233948,-0.103736	1.628005,0.507203,-0.159323	5
1.408598,-0.079088,0.043291	1.456908,-0.085292,-0.167601	1.450878,0.065240,0.030671	1.565068,0.232371,-0.104766	1.629323,0.506174,-0.159717	5
1.408737,-0.079087,0.043400	1.456648,-0.085198,-0.164394	1.451077,0.065278,0.030645	1.566658,0.230837,-0.105541	1.630874,0.505022,-0.160459	5
1.408942,-0.079086,0.043444	1.456384,-0.085106,-0.161307	1.451347,0.065324,0.030584	1.568175,0.229098,-0.106691	1.632849,0.503682,-0.161648	5
1.409337,-0.079086,0.043427	1.456099,-0.085030,-0.158742	1.451841,0.065378,0.030478	1.569743,0.227257,-0.108122	1.634014,0.502501,-0.163383	5
1.410095,-0.079087,0.043362	1.455921,-0.084972,-0.156789	1.452657,0.065427,0.030244	1.571949,0.225854,-0.108860	1.634949,0.501788,-0.165494	5
1.411566,-0.079090,0.043245	1.455911,-0.084933,-0.155482	1.454395,0.065441,0.029948	1.573430,0.225289,-0.110045	1.635652,0.499137,-0.167047	5
1.414100,-0.079095,0.043050	1.456083,-0.084914,-0.154824	1.458414,0.065159,0.029756	1.574738,0.226147,-0.111173	1.637277,0.499707,-0.167931	5
1.417379,-0.079101,0.042800	1.456465,-0.084908,-0.154616	1.464269,0.064593,0.029684	1.575923,0.227845,-0.112352	1.640036,0.501790,-0.168674	5
1.420908,-0.079107,0.042540	1.457328,-0.084906,-0.154577	1.467801,0.064832,0.029106	1.576901,0.229573,-0.113242	1.643264,0.504001,-0.169307	5
1.424288,-0.079111,0.042327	1.458940,-0.084903,-0.154475	1.470350,0.065179,0.028459	1.577713,0.231141,-0.113827	1.646374,0.505924,-0.169887	5
1.427430,-0.079112,0.042215	1.462398,-0.084960,-0.156396	1.472312,0.065379,0.027889	1.578614,0.232045,-0.114388	1.648716,0.507278,-0.170364	5
1.430098,-0.079109,0.042228	1.467471,-0.085028,-0.158709	1.473816,0.065317,0.027469	1.579867,0.232317,-0.114609	1.649460,0.508177,-0.170796	5
