joint_position_spine_top	joint_position_spine_mid	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.790753,0.046008,-0.075096	1.802093,0.041444,-0.268116	1.762087,0.186649,-0.076527	1.695086,0.397894,-0.010117	1.637524,0.351920,0.255314	5
1.790731,0.045981,-0.075096	1.802009,0.041343,-0.268170	1.762100,0.186598,-0.076499	1.695108,0.397802,-0.009960	1.637313,0.352005,0.255309	5
1.790718,0.045954,-0.075096	1.801958,0.041236,-0.268227	1.762112,0.186552,-0.076474	1.695126,0.397712,-0.009800	1.637084,0.352033,0.255296	5
1.790709,0.045925,-0.075096	1.801923,0.041129,-0.268282	1.762122,0.186510,-0.076452	1.695143,0.397620,-0.009620	1.636834,0.352033,0.255299	5
1.790702,0.045898,-0.075096	1.801896,0.041025,-0.268330	1.762130,0.186472,-0.076432	1.695158,0.397521,-0.009405	1.636588,0.352014,0.255335	5
1.790695,0.045872,-0.075096	1.801869,0.040924,-0.268372	1.762136,0.186439,-0.076415	1.695175,0.397427,-0.009191	1.636353,0.352005,0.255363	5
1.790688,0.045846,-0.075096	1.801842,0.040826,-0.268407	1.762141,0.186408,-0.076399	1.695213,0.397300,-0.008845	1.636026,0.352003,0.255482	5
1.790683,0.045830,-0.075096	1.801825,0.040766,-0.268436	1.762146,0.186381,-0.076385	1.695256,0.397171,-0.008478	1.635837,0.351999,0.255616	5
1.790680,0.045822,-0.075096	1.801812,0.040736,-0.268460	1.762150,0.186356,-0.076372	1.695311,0.397017,-0.008018	1.635712,0.351990,0.255797	5
1.790678,0.045819,-0.075096	1.801805,0.040723,-0.268479	1.762153,0.186334,-0.076361	1.695334,0.396937,-0.007809	1.635696,0.352011,0.255756	5
1.790676,0.045819,-0.075096	1.801799,0.040720,-0.268495	1.762154,0.186313,-0.076351	1.695351,0.396905,-0.007748	1.635725,0.352044,0.255609	5
1.790675,0.045819,-0.075096	1.801793,0.040721,-0.268507	1.762153,0.186295,-0.076341	1.695363,0.396907,-0.007790	1.635774,0.352079,0.255412	5
1.790673,0.045819,-0.075096	1.801787,0.040722,-0.268517	1.762152,0.186278,-0.076333	1.695374,0.396933,-0.007903	1.635829,0.352114,0.255202	5
1.790671,0.045820,-0.075096	1.801781,0.040723,-0.268526	1.762150,0.186263,-0.076325	1.695369,0.396963,-0.008038	1.635880,0.352141,0.255024	5
1.790669,0.045820,-0.075096	1.801774,0.040724,-0.268532	1.762147,0.186250,-0.076318	1.695351,0.396991,-0.008175	1.635919,0.352160,0.254893	5
1.790668,0.045820,-0.075096	1.801767,0.040725,-0.268538	1.762142,0.186237,-0.076312	1.695329,0.397019,-0.008310	1.635945,0.352173,0.254801	5
1.790666,0.045820,-0.075096	1.801760,0.040725,-0.268543	1.762136,0.186226,-0.076306	1.695297,0.397036,-0.008420	1.635940,0.352169,0.254733	5
1.790663,0.045820,-0.075096	1.801752,0.040725,-0.268547	1.762131,0.186215,-0.076302	1.695254,0.397047,-0.008519	1.635907,0.352150,0.254651	5
1.790661,0.045820,-0.075097	1.801744,0.040725,-0.268550	1.762126,0.186205,-0.076298	1.695212,0.397052,-0.008599	1.635860,0.352124,0.254547	5
1.790658,0.045820,-0.075097	1.801734,0.040725,-0.268553	1.762120,0.186196,-0.076294	1.695178,0.397076,-0.008726	1.635822,0.352106,0.254368	5
1.790655,0.045820,-0.075097	1.801722,0.040725,-0.268556	1.762114,0.186188,-0.076290	1.695158,0.397107,-0.008860	1.635779,0.352111,0.254148	5
1.790652,0.045820,-0.075097	1.801710,0.040725,-0.268559	1.762106,0.186181,-0.076287	1.695136,0.397150,-0.009026	1.635742,0.352130,0.253870	5
1.790649,0.045820,-0.075097	1.801697,0.040725,-0.268561	1.762098,0.186174,-0.076284	1.695101,0.397196,-0.009218	1.635714,0.352166,0.253557	5
1.790645,0.045820,-0.075097	1.801685,0.040725,-0.268564	1.762089,0.186168,-0.076281	1.695050,0.397240,-0.009414	1.635654,0.352181,0.253179	5
1.790642,0.045820,-0.075098	1.801673,0.040724,-0.268566	1.762079,0.186162,-0.076278	1.695026,0.397242,-0.009452	1.635527,0.352198,0.252833	5
1.790639,0.045820,-0.075098	1.801662,0.040724,-0.268568	1.762069,0.186156,-0.076276	1.695085,0.397270,-0.009488	1.635500,0.352327,0.252511	5
1.790636,0.045820,-0.075098	1.801650,0.040725,-0.268569	1.762060,0.186151,-0.076274	1.695157,0.397297,-0.009503	1.635519,0.352481,0.252279	5
1.790633,0.045820,-0.075098	1.801637,0.040724,-0.268571	1.762051,0.186147,-0.076272	1.695241,0.397330,-0.009527	1.635538,0.352659,0.252094	5
1.790589,0.045850,-0.075101	1.801472,0.040839,-0.268581	1.762029,0.186151,-0.076251	1.695322,0.397382,-0.009554	1.635520,0.352967,0.251933	5
