joint_position_spine_top	joint_position_spine_mid	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.920534,0.093942,0.038832	1.890079,0.088901,-0.166928	1.871065,0.210264,0.029437	1.772034,0.273835,-0.174633	1.524202,0.144523,-0.159504	5
1.920521,0.093804,0.038830	1.890184,0.088367,-0.166780	1.870977,0.210431,0.029319	1.768148,0.285920,-0.168862	1.518213,0.173720,-0.130173	5
1.920869,0.093605,0.038778	1.891756,0.087597,-0.166687	1.870951,0.210608,0.029195	1.754863,0.292088,-0.158861	1.502387,0.200726,-0.105778	5
1.921682,0.093388,0.038670	1.895181,0.086765,-0.166632	1.870960,0.210776,0.029078	1.709520,0.275399,-0.119479	1.449110,0.220745,-0.078573	5
1.922845,0.093156,0.038534	1.899983,0.085884,-0.166499	1.871066,0.210954,0.028954	1.671534,0.256655,-0.071592	1.407543,0.252417,-0.054153	5
1.924240,0.092909,0.038398	1.905668,0.084957,-0.166226	1.872094,0.211389,0.028659	1.652868,0.258615,-0.040055	1.388528,0.291986,-0.029872	5
1.925635,0.092649,0.038292	1.911244,0.083986,-0.165804	1.876009,0.212562,0.027858	1.650362,0.277762,-0.015708	1.386707,0.327890,-0.006368	5
1.926627,0.092382,0.038234	1.915162,0.082987,-0.165297	1.880055,0.213578,0.027169	1.656661,0.303077,0.002187	1.395658,0.363722,0.013575	5
1.927203,0.092114,0.038214	1.917413,0.081979,-0.164831	1.883024,0.214169,0.026788	1.687014,0.340902,-0.019869	1.432768,0.392225,0.031568	5
1.927548,0.091853,0.038215	1.918731,0.080982,-0.164670	1.884394,0.214316,0.026780	1.709345,0.366149,-0.031715	1.463252,0.423336,0.051601	5
1.927703,0.091544,0.038237	1.919291,0.079779,-0.164862	1.884901,0.215689,0.029126	1.718056,0.377640,-0.032178	1.481446,0.451493,0.071134	5
1.927750,0.091212,0.038273	1.919418,0.078463,-0.165379	1.885408,0.218802,0.034161	1.719648,0.383219,-0.023079	1.492806,0.478703,0.088653	5
1.927751,0.090875,0.038319	1.919354,0.077104,-0.166115	1.885987,0.221684,0.038539	1.720268,0.386787,-0.013427	1.503238,0.501725,0.101518	5
1.927735,0.090541,0.038371	1.919224,0.075739,-0.166926	1.885988,0.222785,0.040153	1.722603,0.391785,-0.001036	1.512438,0.522173,0.110183	5
1.927724,0.090353,0.038418	1.919089,0.074948,-0.167652	1.885948,0.223283,0.040795	1.729152,0.399456,0.010114	1.523952,0.541171,0.116017	5
1.927790,0.090270,0.038462	1.918979,0.074583,-0.168172	1.885943,0.223506,0.041008	1.735332,0.405879,0.021270	1.534449,0.558369,0.119612	5
1.927984,0.090240,0.038503	1.918895,0.074443,-0.168420	1.886035,0.223537,0.040944	1.738872,0.409204,0.030345	1.544048,0.573949,0.120909	5
1.928278,0.090243,0.038543	1.918850,0.074443,-0.168489	1.886550,0.223629,0.040846	1.741832,0.411290,0.038471	1.555411,0.589171,0.122686	5
1.928619,0.090259,0.038582	1.918831,0.074505,-0.168458	1.887493,0.223812,0.040746	1.744486,0.412604,0.043888	1.564641,0.600080,0.123089	5
1.928993,0.090280,0.038712	1.918831,0.074590,-0.168284	1.888682,0.224005,0.040699	1.747095,0.413572,0.047963	1.571636,0.607058,0.123951	5
1.929466,0.090298,0.038903	1.918845,0.074664,-0.168027	1.890013,0.224172,0.040714	1.748910,0.413863,0.049453	1.579794,0.613147,0.126503	5
1.930009,0.090314,0.039128	1.918867,0.074728,-0.167732	1.891347,0.224300,0.040791	1.750810,0.414242,0.049603	1.585861,0.616486,0.128958	5
1.930584,0.090325,0.039364	1.918893,0.074775,-0.167429	1.892731,0.224414,0.040885	1.752985,0.414823,0.049229	1.588134,0.616577,0.129353	5
1.931174,0.090334,0.039612	1.918921,0.074813,-0.167120	1.894155,0.224513,0.040987	1.755873,0.415908,0.048706	1.589285,0.616090,0.128953	5
1.931763,0.090342,0.039888	1.918952,0.074848,-0.166788	1.895682,0.224615,0.041099	1.759410,0.417387,0.048386	1.589626,0.615395,0.128353	5
1.932361,0.090351,0.040176	1.918984,0.074882,-0.166450	1.897270,0.224713,0.041219	1.763124,0.418931,0.048186	1.589799,0.615163,0.127615	5
1.932945,0.090360,0.040476	1.919019,0.074918,-0.166103	1.898342,0.224687,0.041403	1.765164,0.419556,0.048032	1.589963,0.615202,0.127287	5
1.933526,0.090370,0.040777	1.919055,0.074961,-0.165759	1.898797,0.224529,0.041647	1.765835,0.419534,0.047928	1.590238,0.615617,0.127225	5
1.933974,0.090385,0.041068	1.918967,0.075011,-0.165429	1.898731,0.224300,0.041905	1.765668,0.419223,0.047869	1.590705,0.616253,0.127414	5
1.934310,0.090405,0.041361	1.918674,0.075079,-0.165101	1.898419,0.224063,0.042181	1.765476,0.419059,0.047830	1.590783,0.616616,0.127532	5
