joint_position_spine_top	joint_position_spine_mid	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.443955,-0.079357,0.059091	1.464943,-0.085943,-0.156499	1.476670,0.079716,0.052543	1.467069,0.287641,0.189446	1.356251,0.372789,0.423806	5
1.436055,-0.079554,0.062492	1.456243,-0.084952,-0.151208	1.468186,0.079106,0.054615	1.455624,0.287590,0.190396	1.343519,0.373366,0.423970	5
1.427124,-0.079535,0.063916	1.446336,-0.084284,-0.148896	1.459286,0.079209,0.055946	1.445634,0.288236,0.190778	1.332860,0.373731,0.424139	5
1.417900,-0.079448,0.064353	1.437038,-0.083897,-0.148064	1.449049,0.079787,0.056808	1.437474,0.289465,0.190779	1.323793,0.374075,0.424005	5
1.409112,-0.079039,0.064412	1.429305,-0.083672,-0.147728	1.440175,0.080526,0.057477	1.429005,0.290852,0.190456	1.314765,0.375830,0.426704	5
1.400994,-0.077444,0.064399	1.423513,-0.083482,-0.147353	1.432475,0.082422,0.057588	1.420935,0.293000,0.190189	1.306352,0.377878,0.427444	5
1.393385,-0.075269,0.064400	1.419473,-0.083283,-0.146747	1.425956,0.084639,0.057471	1.414236,0.295591,0.189864	1.299196,0.382859,0.429038	5
1.386208,-0.073026,0.064477	1.416767,-0.083059,-0.145845	1.420205,0.086633,0.057393	1.407737,0.298412,0.189351	1.293787,0.392414,0.429498	5
1.379571,-0.070687,0.064633	1.414856,-0.082706,-0.144721	1.416667,0.088087,0.057443	1.402161,0.301316,0.188483	1.288721,0.402298,0.428296	5
1.373584,-0.068793,0.064822	1.413210,-0.082229,-0.143600	1.413604,0.088960,0.057690	1.398373,0.303841,0.187706	1.284706,0.409430,0.426553	5
1.368469,-0.067157,0.064944	1.411390,-0.081226,-0.142769	1.410469,0.089888,0.058210	1.395292,0.306734,0.186581	1.281356,0.415563,0.423902	5
1.364020,-0.065926,0.064989	1.408983,-0.080298,-0.142290	1.407377,0.090526,0.058493	1.392815,0.309163,0.184932	1.278823,0.418070,0.421241	5
1.360020,-0.064983,0.064913	1.405620,-0.079577,-0.142223	1.404586,0.091011,0.058638	1.391552,0.311609,0.181957	1.277435,0.418843,0.417053	5
1.356303,-0.064364,0.064747	1.401546,-0.079002,-0.142442	1.400893,0.091605,0.058613	1.390936,0.313881,0.178555	1.276483,0.418676,0.412474	5
1.353140,-0.063989,0.064529	1.397450,-0.078517,-0.142815	1.397028,0.092212,0.058537	1.391076,0.315783,0.175129	1.276199,0.418513,0.407781	5
1.350833,-0.063772,0.064330	1.394505,-0.078090,-0.143084	1.394548,0.092474,0.058598	1.391220,0.316279,0.173531	1.275970,0.419071,0.403874	5
1.349444,-0.063634,0.064163	1.392777,-0.077681,-0.143238	1.393544,0.092534,0.058834	1.391371,0.316202,0.172804	1.276420,0.419267,0.401353	5
1.348726,-0.063526,0.063959	1.391933,-0.077266,-0.143367	1.393149,0.092644,0.059068	1.391494,0.315993,0.172567	1.276954,0.418973,0.399874	5
1.348413,-0.063430,0.063734	1.391619,-0.076852,-0.143477	1.393033,0.092835,0.059270	1.391588,0.315817,0.172577	1.277499,0.418708,0.398951	5
1.348330,-0.063366,0.063490	1.391584,-0.076561,-0.143576	1.393096,0.092991,0.059323	1.391658,0.315596,0.172628	1.278040,0.418493,0.398301	5
1.348332,-0.063332,0.063242	1.391670,-0.076394,-0.143649	1.393207,0.093123,0.059304	1.391723,0.315404,0.172647	1.278515,0.418377,0.397871	5
1.348373,-0.063319,0.062987	1.391792,-0.076317,-0.143710	1.393317,0.093244,0.059251	1.391785,0.315255,0.172639	1.278879,0.418381,0.397638	5
1.348418,-0.063316,0.062726	1.391891,-0.076289,-0.143787	1.393409,0.093356,0.059185	1.391852,0.315141,0.172615	1.279171,0.418414,0.397630	5
1.348457,-0.063319,0.062476	1.391965,-0.076288,-0.143873	1.393479,0.093456,0.059124	1.391928,0.315055,0.172584	1.279415,0.418509,0.397796	5
1.348482,-0.063322,0.062239	1.392009,-0.076294,-0.143985	1.393531,0.093544,0.059073	1.392019,0.314984,0.172557	1.279646,0.418618,0.398011	5
1.348518,-0.063326,0.062002	1.392110,-0.076304,-0.144122	1.393571,0.093626,0.059029	1.392135,0.314928,0.172529	1.279889,0.418735,0.398256	5
1.348581,-0.063328,0.061761	1.392334,-0.076314,-0.144274	1.393606,0.093704,0.058990	1.392281,0.314884,0.172505	1.280152,0.418861,0.398525	5
1.348664,-0.063330,0.061586	1.392650,-0.076322,-0.144392	1.393628,0.093754,0.058966	1.392468,0.314833,0.172476	1.280504,0.418963,0.398737	5
1.349013,-0.063328,0.061564	1.393994,-0.076320,-0.144228	1.394248,0.093607,0.059112	1.392719,0.314699,0.172403	1.280984,0.419011,0.398808	5
1.349610,-0.063336,0.061641	1.396307,-0.076358,-0.143871	1.395387,0.093222,0.059226	1.393070,0.314362,0.172231	1.281672,0.418987,0.398672	5
