joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.715648,0.021832,0.249056	1.677253,0.022975,0.136246	0.000000,0.000000,0.000000	1.654047,0.022023,0.063192	1.585821,0.019226,-0.151589	1.521352,0.018032,-0.325066	1.682986,-0.136491,0.075757	1.661206,-0.384321,0.129351	1.579159,-0.461763,0.410926	1.677240,0.184917,0.082434	1.719689,0.432494,0.123308	1.712378,0.591875,0.381295	12
1.715686,0.021825,0.249147	1.676604,0.022974,0.136403	0.000000,0.000000,0.000000	1.653587,0.022023,0.063289	1.585948,0.019231,-0.151567	1.521316,0.018031,-0.325099	1.682774,-0.136467,0.075767	1.661207,-0.384451,0.128728	1.579174,-0.461632,0.410753	1.677259,0.184907,0.082432	1.719691,0.432482,0.123326	1.712245,0.592062,0.381596	12
1.715715,0.021818,0.249226	1.675975,0.022973,0.136567	0.000000,0.000000,0.000000	1.653142,0.022023,0.063396	1.586075,0.019235,-0.151522	1.521296,0.018031,-0.325092	1.682558,-0.136441,0.075780	1.661219,-0.384477,0.128583	1.579047,-0.461645,0.410862	1.677324,0.184894,0.082434	1.719691,0.432481,0.123322	1.712080,0.592201,0.381818	12
1.715738,0.021811,0.249291	1.675365,0.022972,0.136731	0.000000,0.000000,0.000000	1.652708,0.022023,0.063505	1.586195,0.019237,-0.151463	1.521287,0.018032,-0.325059	1.682350,-0.136415,0.075792	1.661236,-0.384445,0.128712	1.578825,-0.461738,0.411120	1.677448,0.184880,0.082439	1.719687,0.432489,0.123317	1.712012,0.592300,0.382009	12
1.715754,0.021805,0.249341	1.674765,0.022971,0.136890	0.000000,0.000000,0.000000	1.652270,0.022023,0.063616	1.586264,0.019240,-0.151389	1.521285,0.018032,-0.325018	1.682146,-0.136391,0.075804	1.661249,-0.384419,0.128814	1.578593,-0.461812,0.411317	1.677585,0.184866,0.082445	1.719686,0.432499,0.123311	1.711981,0.592373,0.382175	12
1.715767,0.021798,0.249380	1.674174,0.022971,0.137050	0.000000,0.000000,0.000000	1.651834,0.022022,0.063728	1.586316,0.019242,-0.151310	1.521287,0.018032,-0.324967	1.681947,-0.136367,0.075815	1.661267,-0.384400,0.128883	1.578360,-0.461866,0.411451	1.677717,0.184850,0.082452	1.719686,0.432506,0.123307	1.711965,0.592443,0.382305	12
1.715778,0.021791,0.249417	1.673591,0.022970,0.137217	0.000000,0.000000,0.000000	1.651404,0.022022,0.063850	1.586365,0.019243,-0.151222	1.521295,0.018033,-0.324901	1.681746,-0.136341,0.075828	1.661280,-0.384383,0.128928	1.578092,-0.461903,0.411529	1.677751,0.184834,0.082461	1.719684,0.432497,0.123303	1.711955,0.592499,0.382403	12
1.715807,0.021784,0.249495	1.673183,0.022971,0.137391	0.000000,0.000000,0.000000	1.651108,0.022023,0.063990	1.586422,0.019246,-0.151088	1.521321,0.018034,-0.324785	1.681554,-0.136320,0.075839	1.661270,-0.384371,0.128963	1.577782,-0.461934,0.411575	1.677761,0.184820,0.082470	1.719682,0.432485,0.123302	1.711948,0.592544,0.382488	12
1.715840,0.021777,0.249584	1.672879,0.022971,0.137564	0.000000,0.000000,0.000000	1.650891,0.022024,0.064138	1.586483,0.019248,-0.150938	1.521355,0.018035,-0.324648	1.681344,-0.136305,0.075847	1.661232,-0.384362,0.129001	1.577432,-0.461964,0.411608	1.677759,0.184810,0.082479	1.719679,0.432476,0.123300	1.711931,0.592582,0.382562	12
1.715870,0.021769,0.249664	1.672633,0.022972,0.137731	0.000000,0.000000,0.000000	1.650716,0.022025,0.064283	1.586541,0.019251,-0.150789	1.521388,0.018036,-0.324509	1.681121,-0.136297,0.075853	1.661170,-0.384358,0.129040	1.577014,-0.461988,0.411624	1.677753,0.184802,0.082483	1.719678,0.432466,0.123299	1.711908,0.592622,0.382629	12
1.715896,0.021762,0.249730	1.672404,0.022972,0.137892	0.000000,0.000000,0.000000	1.650555,0.022025,0.064425	1.586593,0.019254,-0.150651	1.521418,0.018037,-0.324377	1.680899,-0.136291,0.075858	1.661082,-0.384353,0.129083	1.576514,-0.462011,0.411622	1.677746,0.184796,0.082485	1.719676,0.432459,0.123296	1.711882,0.592672,0.382683	12
1.715925,0.021755,0.249804	1.672253,0.022973,0.138057	0.000000,0.000000,0.000000	1.650452,0.022026,0.064575	1.586645,0.019256,-0.150496	1.521455,0.018039,-0.324228	1.680691,-0.136287,0.075862	1.660953,-0.384342,0.129143	1.575967,-0.462021,0.411640	1.677742,0.184794,0.082495	1.719670,0.432458,0.123291	1.711853,0.592775,0.382711	12
1.715954,0.021748,0.249878	1.672146,0.022974,0.138225	0.000000,0.000000,0.000000	1.650383,0.022028,0.064733	1.586699,0.019259,-0.150328	1.521496,0.018040,-0.324064	1.680492,-0.136283,0.075866	1.660796,-0.384327,0.129208	1.575365,-0.462030,0.411662	1.677740,0.184793,0.082509	1.719667,0.432458,0.123289	1.711788,0.592891,0.382742	12
1.715984,0.021740,0.249953	1.672097,0.022976,0.138393	0.000000,0.000000,0.000000	1.650358,0.022030,0.064895	1.586755,0.019262,-0.150146	1.521542,0.018042,-0.323884	1.680299,-0.136280,0.075870	1.660625,-0.384320,0.129232	1.574673,-0.462023,0.411638	1.677739,0.184795,0.082522	1.719664,0.432462,0.123289	1.711688,0.593059,0.382757	12
