joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.507389,0.033776,0.303496	1.524525,0.030625,0.208026	0.000000,0.000000,0.000000	1.536090,0.028967,0.138464	1.567728,0.024430,-0.051822	1.534515,0.022123,-0.214073	1.532468,-0.106534,0.120338	1.463378,-0.153049,-0.098372	1.243322,-0.112238,-0.223745	1.540365,0.160957,0.111448	1.489474,0.174762,-0.116567	1.274132,0.122581,-0.245853	12
1.507983,0.033767,0.303304	1.524525,0.030625,0.207437	0.000000,0.000000,0.000000	1.536087,0.028966,0.137875	1.567788,0.024419,-0.052853	1.534385,0.022110,-0.215474	1.532654,-0.106615,0.119893	1.463273,-0.153103,-0.098761	1.243264,-0.111158,-0.223848	1.540413,0.161097,0.111055	1.489465,0.174742,-0.116986	1.274511,0.120903,-0.246234	12
1.508471,0.033700,0.303047	1.524525,0.030625,0.206833	0.000000,0.000000,0.000000	1.536092,0.028910,0.137273	1.567874,0.024197,-0.053839	1.534215,0.021930,-0.216721	1.532773,-0.106831,0.119651	1.463225,-0.153104,-0.099019	1.243447,-0.110044,-0.224135	1.540643,0.161082,0.110479	1.489419,0.174721,-0.117524	1.275039,0.120341,-0.247500	12
1.508888,0.033593,0.302711	1.524525,0.030625,0.206225	0.000000,0.000000,0.000000	1.536105,0.028812,0.136670	1.567977,0.023823,-0.054768	1.534045,0.021615,-0.217817	1.532847,-0.107075,0.119546	1.463271,-0.153044,-0.099199	1.243346,-0.110431,-0.224210	1.540959,0.160972,0.109875	1.489358,0.174680,-0.118057	1.275736,0.120236,-0.249247	12
1.509180,0.033503,0.302291	1.524525,0.030625,0.205621	0.000000,0.000000,0.000000	1.536123,0.028700,0.136072	1.568091,0.023396,-0.055624	1.533867,0.021250,-0.218737	1.532863,-0.107308,0.119493	1.463358,-0.152970,-0.099354	1.243162,-0.111811,-0.224367	1.541256,0.160991,0.109507	1.489342,0.174606,-0.118373	1.275965,0.120180,-0.249974	12
1.509626,0.033430,0.301825	1.524525,0.030625,0.205018	0.000000,0.000000,0.000000	1.536145,0.028573,0.135476	1.568209,0.022910,-0.056412	1.533700,0.020835,-0.219497	1.532852,-0.107533,0.119479	1.463375,-0.152949,-0.099441	1.242896,-0.113638,-0.224546	1.541528,0.161062,0.109252	1.489438,0.174486,-0.118612	1.275934,0.120128,-0.250035	12
1.510181,0.033383,0.301322	1.524525,0.030625,0.204422	0.000000,0.000000,0.000000	1.536170,0.028452,0.134887	1.568329,0.022449,-0.057131	1.533551,0.020419,-0.220120	1.532883,-0.107686,0.119393	1.463316,-0.152998,-0.099530	1.242663,-0.114508,-0.224590	1.541767,0.161164,0.109071	1.489599,0.174396,-0.118796	1.275664,0.121734,-0.250197	12
1.510774,0.033350,0.300787	1.524525,0.030625,0.203834	0.000000,0.000000,0.000000	1.536195,0.028318,0.134308	1.568440,0.021942,-0.057784	1.533420,0.020000,-0.220630	1.532893,-0.107811,0.119297	1.463260,-0.153052,-0.099627	1.242524,-0.114832,-0.224627	1.542020,0.161262,0.108921	1.489675,0.174346,-0.118922	1.275034,0.124548,-0.250271	12
1.511203,0.033275,0.300243	1.524525,0.030625,0.203258	0.000000,0.000000,0.000000	1.536243,0.028096,0.133748	1.568629,0.021105,-0.058360	1.533397,0.019368,-0.221044	1.532963,-0.107937,0.119287	1.463157,-0.153137,-0.099597	1.242528,-0.114361,-0.224615	1.542175,0.161233,0.108644	1.489796,0.174284,-0.119198	1.274813,0.126023,-0.250577	12
