joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.643926,0.010773,0.213178	1.635499,0.016780,0.114775	0.000000,0.000000,0.000000	1.635098,0.016761,0.045304	1.633995,0.016709,-0.146022	1.595450,0.015998,-0.300938	1.638300,-0.113665,0.039224	1.640369,-0.344269,0.035701	1.565893,-0.576508,0.101691	1.637564,0.149937,0.044083	1.661058,0.378765,0.060820	1.624928,0.622919,0.114858	12
1.644554,0.010438,0.211976	1.635495,0.016780,0.113140	0.000000,0.000000,0.000000	1.635102,0.016742,0.043669	1.634023,0.016636,-0.147406	1.595310,0.015891,-0.302264	1.638460,-0.113359,0.036711	1.640319,-0.343948,0.032289	1.566016,-0.576668,0.096759	1.637597,0.150552,0.043234	1.661162,0.379542,0.057280	1.623700,0.623331,0.112054	12
1.644880,0.010345,0.209183	1.635489,0.016780,0.111008	0.000000,0.000000,0.000000	1.635122,0.016742,0.041537	1.634116,0.016637,-0.149184	1.595179,0.015852,-0.304011	1.638551,-0.113742,0.034936	1.640298,-0.344278,0.028451	1.565898,-0.576927,0.093077	1.637681,0.150977,0.041592	1.661299,0.380104,0.053097	1.622463,0.623513,0.108605	12
1.644936,0.010404,0.205578	1.635485,0.016780,0.108245	0.000000,0.000000,0.000000	1.635152,0.016754,0.038773	1.634240,0.016683,-0.151540	1.595007,0.015855,-0.306363	1.638610,-0.114657,0.033521	1.640292,-0.345143,0.025375	1.565436,-0.577765,0.089578	1.637801,0.151246,0.039070	1.661441,0.380472,0.048513	1.621154,0.623427,0.104968	12
1.644884,0.010513,0.201434	1.635484,0.016780,0.104717	0.000000,0.000000,0.000000	1.635179,0.016764,0.035246	1.634346,0.016720,-0.154820	1.594905,0.015828,-0.309643	1.638941,-0.115745,0.031864	1.640212,-0.346192,0.022537	1.564938,-0.578938,0.085794	1.638201,0.151919,0.036781	1.661601,0.381245,0.044289	1.620400,0.623907,0.101362	12
1.644789,0.010623,0.197238	1.635484,0.016780,0.100786	0.000000,0.000000,0.000000	1.635199,0.016772,0.031314	1.634419,0.016751,-0.158966	1.595026,0.015806,-0.313824	1.639352,-0.116812,0.030033	1.640108,-0.347229,0.019882	1.564551,-0.580064,0.082477	1.638757,0.152736,0.034647	1.661748,0.382096,0.042500	1.619960,0.624837,0.098803	12
1.644754,0.010683,0.193594	1.635485,0.016780,0.097207	0.000000,0.000000,0.000000	1.635214,0.016777,0.027735	1.634471,0.016768,-0.163100	1.595133,0.015783,-0.318020	1.639822,-0.117597,0.028255	1.639983,-0.348017,0.018107	1.564389,-0.580958,0.080259	1.639381,0.153342,0.032661	1.661841,0.382702,0.041836	1.619686,0.625831,0.096129	12
1.644896,0.010752,0.190639	1.635486,0.016780,0.094160	0.000000,0.000000,0.000000	1.635232,0.016784,0.024688	1.634529,0.016796,-0.166836	1.595088,0.015791,-0.321801	1.640060,-0.118068,0.026548	1.639929,-0.348504,0.016803	1.564333,-0.581193,0.079886	1.639741,0.153671,0.030769	1.661942,0.382978,0.041658	1.619600,0.626638,0.093338	12
1.645188,0.010779,0.188323	1.635488,0.016780,0.091695	0.000000,0.000000,0.000000	1.635253,0.016788,0.022223	1.634603,0.016809,-0.169958	1.594946,0.015796,-0.324913	1.640161,-0.118196,0.024794	1.639923,-0.348625,0.014887	1.564494,-0.580695,0.080367	1.639937,0.153512,0.028451	1.662017,0.382709,0.041591	1.619569,0.626888,0.090677	12
