joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.677141,0.037171,0.257579	1.660741,0.036690,0.160244	0.000000,0.000000,0.000000	1.655197,0.034317,0.090029	1.639285,0.027505,-0.111478	1.588247,0.022746,-0.269408	1.663100,-0.112658,0.089278	1.712562,-0.340423,0.068888	1.655514,-0.386275,0.312073	1.668050,0.182199,0.082009	1.717233,0.410519,0.095819	1.682754,0.445119,0.345037	12
1.676631,0.036749,0.258040	1.660741,0.036690,0.160327	0.000000,0.000000,0.000000	1.655193,0.034318,0.090113	1.639275,0.027512,-0.111337	1.588284,0.022750,-0.269286	1.662490,-0.112608,0.089190	1.712527,-0.340260,0.068941	1.655434,-0.386443,0.312553	1.667873,0.182076,0.081804	1.717235,0.410385,0.095132	1.682717,0.445090,0.344818	12
1.676028,0.036728,0.258685	1.660741,0.036690,0.160462	0.000000,0.000000,0.000000	1.655189,0.034319,0.090248	1.639263,0.027517,-0.111166	1.588329,0.022754,-0.269132	1.662232,-0.112524,0.089128	1.712375,-0.340165,0.069000	1.655399,-0.386593,0.312987	1.667825,0.181996,0.081773	1.717237,0.410337,0.094329	1.682700,0.444974,0.344407	12
1.675579,0.037169,0.259408	1.660741,0.036690,0.160640	0.000000,0.000000,0.000000	1.655179,0.034317,0.090427	1.639225,0.027510,-0.110956	1.588284,0.022767,-0.268941	1.662129,-0.112684,0.089694	1.712244,-0.340271,0.068912	1.655417,-0.386625,0.313259	1.667849,0.182287,0.082545	1.717315,0.410673,0.093999	1.682572,0.444776,0.344424	12
1.675266,0.038284,0.260183	1.660741,0.036690,0.160846	0.000000,0.000000,0.000000	1.655157,0.034384,0.090632	1.639139,0.027767,-0.110774	1.588180,0.023004,-0.268790	1.662093,-0.112576,0.089910	1.712021,-0.340185,0.068921	1.655465,-0.386747,0.313539	1.667873,0.182906,0.084149	1.717447,0.411347,0.093877	1.682443,0.444430,0.344644	12
1.675040,0.039689,0.260992	1.660741,0.036691,0.161065	0.000000,0.000000,0.000000	1.655131,0.034451,0.090851	1.639029,0.028023,-0.110649	1.588036,0.023227,-0.268695	1.662079,-0.112494,0.090269	1.711743,-0.340125,0.068898	1.655524,-0.386870,0.313757	1.667898,0.183443,0.085698	1.717547,0.411924,0.094045	1.682312,0.444130,0.345088	12
1.674876,0.040827,0.261822	1.660741,0.036691,0.161299	0.000000,0.000000,0.000000	1.655089,0.034494,0.091087	1.638860,0.028187,-0.110497	1.587684,0.023362,-0.268540	1.662053,-0.112504,0.090889	1.711464,-0.340131,0.068894	1.655583,-0.386961,0.313972	1.667956,0.183755,0.086883	1.717578,0.412271,0.094496	1.682174,0.443932,0.345740	12
1.674732,0.041732,0.262651	1.660741,0.036691,0.161543	0.000000,0.000000,0.000000	1.655040,0.034514,0.091334	1.638665,0.028261,-0.110320	1.587237,0.023422,-0.268355	1.662042,-0.112569,0.091669	1.711198,-0.340185,0.069006	1.655608,-0.387077,0.314266	1.667961,0.183908,0.087802	1.717561,0.412436,0.095213	1.681998,0.443849,0.346590	12
1.674621,0.042201,0.263417	1.660740,0.036691,0.161780	0.000000,0.000000,0.000000	1.654984,0.034516,0.091576	1.638453,0.028270,-0.110036	1.586759,0.023431,-0.268091	1.661786,-0.112629,0.092451	1.710993,-0.340195,0.069388	1.655544,-0.387265,0.314749	1.667927,0.183871,0.088355	1.717499,0.412393,0.096133	1.681766,0.443683,0.347602	12
1.674570,0.042409,0.264077	1.660739,0.036691,0.162011	0.000000,0.000000,0.000000	1.654927,0.034509,0.091811	1.638252,0.028250,-0.109616	1.586333,0.023415,-0.267723	1.661384,-0.112676,0.093208	1.710951,-0.340156,0.070069	1.655361,-0.387512,0.315425	1.667878,0.183806,0.088855	1.717424,0.412314,0.097147	1.681461,0.443892,0.348626	12
1.674566,0.042486,0.264619	1.660737,0.036691,0.162233	0.000000,0.000000,0.000000	1.654882,0.034503,0.092037	1.638103,0.028232,-0.109143	1.586083,0.023401,-0.267350	1.660967,-0.112720,0.093967	1.710992,-0.340110,0.070925	1.655113,-0.387825,0.316210	1.667815,0.183656,0.089187	1.717323,0.412148,0.098095	1.681103,0.444359,0.349520	12
1.674582,0.042505,0.265074	1.660735,0.036691,0.162474	0.000000,0.000000,0.000000	1.654848,0.034499,0.092281	1.637995,0.028224,-0.108676	1.585941,0.023390,-0.266967	1.660798,-0.112778,0.094793	1.711030,-0.340154,0.072075	1.654884,-0.388101,0.317307	1.667742,0.183489,0.089514	1.717207,0.411940,0.099612	1.680554,0.445014,0.350912	12
1.674600,0.042504,0.265449	1.660732,0.036691,0.162725	0.000000,0.000000,0.000000	1.654819,0.034497,0.092534	1.637906,0.028220,-0.108258	1.585836,0.023379,-0.266567	1.660717,-0.112805,0.095571	1.711068,-0.340226,0.073584	1.654760,-0.388329,0.318790	1.667666,0.183336,0.089884	1.717085,0.411730,0.101385	1.679897,0.445708,0.352527	12
1.674624,0.042500,0.265765	1.660729,0.036691,0.162993	0.000000,0.000000,0.000000	1.654794,0.034495,0.092804	1.637822,0.028218,-0.107896	1.585741,0.023370,-0.266149	1.660679,-0.112865,0.096459	1.711115,-0.340338,0.075228	1.654737,-0.388467,0.320446	1.667590,0.183214,0.090347	1.716972,0.411539,0.103285	1.679090,0.447091,0.354136	12
1.674648,0.042500,0.266067	1.660726,0.036691,0.163317	0.000000,0.000000,0.000000	1.654771,0.034495,0.093130	1.637743,0.028217,-0.107554	1.585666,0.023363,-0.265691	1.660674,-0.112962,0.097523	1.711163,-0.340486,0.076965	1.654847,-0.388377,0.322271	1.667510,0.183070,0.090846	1.716824,0.411300,0.105575	1.678127,0.448856,0.356034	12
1.674668,0.042504,0.266335	1.660723,0.036691,0.163667	0.000000,0.000000,0.000000	1.654750,0.034496,0.093481	1.637667,0.028220,-0.107240	1.585660,0.023363,-0.265255	1.660679,-0.113034,0.098582	1.711207,-0.340627,0.078905	1.655093,-0.388122,0.324355	1.667424,0.182905,0.091349	1.716689,0.411123,0.106502	1.677384,0.450491,0.356610	12
1.674680,0.042509,0.266563	1.660719,0.036691,0.164024	0.000000,0.000000,0.000000	1.654730,0.034498,0.093840	1.637595,0.028225,-0.106958	1.585688,0.023366,-0.264846	1.660687,-0.113071,0.099585	1.711234,-0.340712,0.080505	1.655423,-0.387802,0.326119	1.667334,0.182634,0.091652	1.716428,0.410896,0.106691	1.676796,0.451075,0.356640	12
1.674693,0.042519,0.266763	1.660715,0.036691,0.164395	0.000000,0.000000,0.000000	1.654711,0.034501,0.094212	1.637523,0.028231,-0.106698	1.585752,0.023373,-0.264476	1.660694,-0.113073,0.100524	1.711237,-0.340667,0.080900	1.655411,-0.387840,0.326509	1.667242,0.182324,0.091892	1.716131,0.410656,0.106517	1.676244,0.451313,0.356363	12
