joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.681560,0.010854,0.286499	1.670284,0.011074,0.183730	0.000000,0.000000,0.000000	1.659753,0.007100,0.113361	1.630731,-0.003852,-0.080568	1.578540,-0.005456,-0.232366	1.673119,-0.129953,0.164062	1.677281,-0.237516,0.374678	1.689634,-0.005501,0.489500	1.674176,0.149827,0.151851	1.695470,0.288393,0.342357	1.665462,0.079976,0.493402	12
1.681788,0.010849,0.286613	1.670270,0.011074,0.183762	0.000000,0.000000,0.000000	1.659612,0.007098,0.113412	1.630212,-0.003869,-0.080647	1.578518,-0.005467,-0.231995	1.673163,-0.129839,0.163339	1.677246,-0.237267,0.374039	1.689695,-0.005488,0.489330	1.674301,0.149804,0.151821	1.695608,0.288428,0.342297	1.667173,0.079590,0.493089	12
1.682171,0.010844,0.285997	1.670257,0.011074,0.183740	0.000000,0.000000,0.000000	1.659507,0.007122,0.113403	1.629829,-0.003789,-0.080794	1.578744,-0.005455,-0.231716	1.673204,-0.129717,0.162516	1.677319,-0.237026,0.373286	1.689781,-0.005449,0.488985	1.674470,0.149781,0.151731	1.695797,0.288552,0.342108	1.668568,0.079209,0.492439	12
1.682808,0.010968,0.285684	1.670245,0.011075,0.183665	0.000000,0.000000,0.000000	1.659489,0.007169,0.113326	1.629766,-0.003624,-0.081060	1.579257,-0.005395,-0.231531	1.673450,-0.129552,0.161141	1.677448,-0.236545,0.372082	1.689950,-0.005510,0.488855	1.675393,0.149465,0.150293	1.695785,0.288031,0.340929	1.670267,0.078685,0.491565	12
1.683534,0.011194,0.285550	1.670243,0.011075,0.183567	0.000000,0.000000,0.000000	1.659567,0.007233,0.113213	1.630024,-0.003397,-0.081476	1.580136,-0.005290,-0.231591	1.673865,-0.129325,0.159052	1.677606,-0.235907,0.370212	1.690298,-0.005788,0.488755	1.676899,0.148871,0.147655	1.695650,0.286899,0.338849	1.672442,0.078724,0.491455	12
1.684446,0.011504,0.285469	1.670249,0.011075,0.183459	0.000000,0.000000,0.000000	1.659671,0.007296,0.113087	1.630374,-0.003173,-0.081832	1.580244,-0.005196,-0.233280	1.674328,-0.128777,0.155135	1.677805,-0.234762,0.366603	1.690786,-0.006325,0.488304	1.679055,0.148339,0.145239	1.695542,0.286068,0.336858	1.674548,0.079080,0.491391	12
1.685492,0.011846,0.285379	1.670259,0.011076,0.183349	0.000000,0.000000,0.000000	1.659755,0.007342,0.112963	1.630682,-0.002993,-0.081873	1.580043,-0.005135,-0.235294	1.674864,-0.128457,0.152268	1.678127,-0.235161,0.363381	1.691319,-0.007144,0.485872	1.680374,0.147422,0.141406	1.695511,0.284649,0.333508	1.676650,0.079626,0.490904	12
1.686490,0.012112,0.285277	1.670266,0.011076,0.183240	0.000000,0.000000,0.000000	1.659829,0.007381,0.112842	1.631037,-0.002810,-0.081358	1.580626,-0.005053,-0.235099	1.674991,-0.128040,0.149003	1.678899,-0.236758,0.359070	1.691610,-0.008068,0.480348	1.679840,0.147370,0.139863	1.695848,0.284865,0.331710	1.678367,0.078751,0.487845	12
1.688074,0.012313,0.283720	1.670272,0.011076,0.181817	0.000000,0.000000,0.000000	1.659830,0.007389,0.111419	1.630812,-0.002857,-0.084208	1.580299,-0.005030,-0.237292	1.675430,-0.128181,0.146904	1.679924,-0.238870,0.355929	1.692088,-0.007814,0.472605	1.680507,0.147715,0.138665	1.696274,0.285785,0.330125	1.680220,0.077238,0.483123	12
1.690093,0.012456,0.280648	1.670277,0.011076,0.179014	0.000000,0.000000,0.000000	1.659764,0.007368,0.108628	1.630214,-0.003055,-0.089197	1.579390,-0.005041,-0.241403	1.676069,-0.128794,0.145820	1.681142,-0.239215,0.354983	1.692906,-0.008359,0.468225	1.681201,0.148425,0.137612	1.696529,0.287142,0.328641	1.681895,0.077276,0.476947	12
1.692535,0.012541,0.276178	1.670285,0.011076,0.174969	0.000000,0.000000,0.000000	1.659630,0.007319,0.104607	1.629332,-0.003363,-0.095455	1.577847,-0.005073,-0.246810	1.676988,-0.129609,0.145166	1.682737,-0.238605,0.355056	1.693997,-0.009248,0.466401	1.682210,0.149338,0.136646	1.696600,0.288207,0.327640	1.683544,0.077735,0.471343	12
1.694140,0.012564,0.271301	1.670294,0.011076,0.170379	0.000000,0.000000,0.000000	1.659459,0.007256,0.100048	1.628331,-0.003717,-0.101972	1.575965,-0.005102,-0.252599	1.677966,-0.130368,0.144636	1.684534,-0.238202,0.355104	1.695076,-0.008962,0.465576	1.683293,0.150227,0.135753	1.696519,0.288748,0.327083	1.684845,0.078292,0.470038	12
1.695458,0.012549,0.265944	1.670308,0.011076,0.166159	0.000000,0.000000,0.000000	1.659295,0.007195,0.095859	1.627396,-0.004048,-0.107762	1.574113,-0.005115,-0.257809	1.678994,-0.130904,0.144151	1.686663,-0.237887,0.355020	1.696030,-0.008380,0.465792	1.684452,0.150871,0.134890	1.696361,0.288942,0.326632	1.685037,0.079305,0.471384	12
1.696201,0.012523,0.261894	1.670324,0.011076,0.163208	0.000000,0.000000,0.000000	1.659181,0.007150,0.092931	1.626692,-0.004297,-0.111964	1.572642,-0.005115,-0.261598	1.679890,-0.131154,0.143659	1.688981,-0.237775,0.354657	1.696854,-0.007946,0.466356	1.685452,0.151178,0.134111	1.696184,0.288765,0.326271	1.684699,0.079545,0.472743	12
1.696510,0.012505,0.259341	1.670342,0.011076,0.161464	0.000000,0.000000,0.000000	1.659116,0.007122,0.091202	1.626220,-0.004463,-0.114698	1.571623,-0.005107,-0.264072	1.681041,-0.131166,0.143163	1.691395,-0.237773,0.354113	1.698012,-0.007644,0.466841	1.686089,0.151236,0.133362	1.696041,0.288318,0.325929	1.684806,0.078247,0.472406	12
1.696580,0.012507,0.257923	1.670361,0.011076,0.160573	0.000000,0.000000,0.000000	1.659090,0.007108,0.090318	1.625931,-0.004565,-0.116372	1.570973,-0.005099,-0.265589	1.681494,-0.131092,0.142563	1.694035,-0.237592,0.353445	1.699493,-0.007294,0.467266	1.686292,0.151161,0.132617	1.695964,0.287837,0.325488	1.684640,0.079070,0.474832	12
1.696532,0.012524,0.257154	1.670383,0.011076,0.160104	0.000000,0.000000,0.000000	1.659085,0.007100,0.089854	1.625745,-0.004630,-0.117458	1.570544,-0.005090,-0.266574	1.681682,-0.130980,0.141879	1.695239,-0.237634,0.352625	1.700144,-0.007276,0.467463	1.686376,0.151006,0.131774	1.695906,0.287356,0.324883	1.684551,0.079505,0.476342	12
