joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.572389,0.031250,0.321383	1.572992,0.035040,0.210145	0.000000,0.000000,0.000000	1.568099,0.032688,0.134034	1.553948,0.025883,-0.086117	1.504008,0.023178,-0.263656	1.575980,-0.126386,0.134474	1.559460,-0.365005,0.088161	1.502178,-0.636221,0.101410	1.584353,0.196068,0.134421	1.653794,0.422478,0.077207	1.700571,0.695207,0.056096	12
1.572393,0.031289,0.321378	1.572968,0.035040,0.210139	0.000000,0.000000,0.000000	1.568028,0.032688,0.134030	1.553738,0.025883,-0.086125	1.503973,0.023181,-0.263779	1.575975,-0.126340,0.134477	1.559463,-0.364984,0.088152	1.502187,-0.636201,0.101411	1.584341,0.196018,0.134415	1.653755,0.422457,0.077172	1.699669,0.695351,0.056300	12
1.572397,0.031333,0.321373	1.572946,0.035040,0.210132	0.000000,0.000000,0.000000	1.567957,0.032688,0.134027	1.553525,0.025884,-0.086136	1.503941,0.023184,-0.263894	1.575971,-0.126300,0.134482	1.559466,-0.364973,0.088138	1.502201,-0.636191,0.101412	1.584330,0.195973,0.134410	1.653712,0.422436,0.077093	1.698599,0.695529,0.056603	12
1.572416,0.031380,0.321368	1.572924,0.035040,0.210125	0.000000,0.000000,0.000000	1.567889,0.032688,0.134022	1.553321,0.025884,-0.086151	1.503911,0.023187,-0.264000	1.575975,-0.126267,0.134486	1.559472,-0.364954,0.088084	1.502221,-0.636174,0.101394	1.584321,0.195931,0.134398	1.653658,0.422405,0.076959	1.697244,0.695738,0.056864	12
1.572443,0.031431,0.321361	1.572903,0.035040,0.210116	0.000000,0.000000,0.000000	1.567824,0.032688,0.134017	1.553126,0.025884,-0.086169	1.503884,0.023190,-0.264098	1.575983,-0.126238,0.134488	1.559478,-0.364929,0.087969	1.502250,-0.636150,0.101335	1.584313,0.195893,0.134381	1.653595,0.422373,0.076790	1.695576,0.695966,0.056836	12
1.572474,0.031486,0.321355	1.572883,0.035040,0.210108	0.000000,0.000000,0.000000	1.567748,0.032689,0.134012	1.552888,0.025885,-0.086187	1.503855,0.023194,-0.264202	1.575993,-0.126213,0.134489	1.559487,-0.364902,0.087825	1.502302,-0.636130,0.101251	1.584302,0.195860,0.134363	1.653526,0.422346,0.076622	1.693700,0.696233,0.056970	12
1.572514,0.031540,0.321347	1.572862,0.035040,0.210098	0.000000,0.000000,0.000000	1.567669,0.032689,0.134007	1.552640,0.025885,-0.086208	1.503827,0.023197,-0.264305	1.576003,-0.126193,0.134488	1.559500,-0.364861,0.087641	1.502370,-0.636095,0.101164	1.584296,0.195829,0.134343	1.653427,0.422345,0.076541	1.691597,0.696536,0.057140	12
1.572559,0.031594,0.321340	1.572841,0.035040,0.210089	0.000000,0.000000,0.000000	1.567587,0.032689,0.134001	1.552378,0.025885,-0.086231	1.503798,0.023200,-0.264409	1.576010,-0.126175,0.134487	1.559520,-0.364799,0.087418	1.502448,-0.636039,0.101069	1.584294,0.195802,0.134323	1.653306,0.422349,0.076507	1.689143,0.696869,0.057321	12
1.572607,0.031648,0.321332	1.572821,0.035040,0.210079	0.000000,0.000000,0.000000	1.567506,0.032689,0.133996	1.552119,0.025884,-0.086257	1.503770,0.023203,-0.264511	1.576021,-0.126161,0.134484	1.559548,-0.364720,0.087195	1.502543,-0.635969,0.100962	1.584302,0.195779,0.134303	1.653158,0.422350,0.076486	1.687962,0.697021,0.057515	12
