joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.641244,0.048736,0.342630	1.636271,0.044006,0.246510	0.000000,0.000000,0.000000	1.635993,0.042544,0.176336	1.635213,0.038434,-0.020976	1.591699,0.035077,-0.181279	1.649576,-0.100527,0.177315	1.716289,-0.317764,0.201222	1.686084,-0.564806,0.258001	1.643425,0.186728,0.172795	1.701822,0.407279,0.185499	1.703978,0.658385,0.231395	12
1.641241,0.049016,0.342457	1.636271,0.044031,0.246502	0.000000,0.000000,0.000000	1.635993,0.042564,0.176327	1.635213,0.038438,-0.021085	1.591701,0.035077,-0.181371	1.649574,-0.100514,0.177272	1.716272,-0.317807,0.201225	1.685072,-0.564675,0.258228	1.643426,0.186749,0.172722	1.701599,0.407402,0.185634	1.704016,0.658534,0.231387	12
1.641236,0.049379,0.342300	1.636271,0.044062,0.246494	0.000000,0.000000,0.000000	1.635993,0.042589,0.176319	1.635213,0.038442,-0.021184	1.591705,0.035078,-0.181466	1.649572,-0.100499,0.177231	1.716241,-0.317832,0.201227	1.684088,-0.564521,0.258484	1.643427,0.186776,0.172644	1.701360,0.407512,0.185824	1.704050,0.658683,0.231358	12
1.641232,0.049770,0.342164	1.636271,0.044096,0.246486	0.000000,0.000000,0.000000	1.635993,0.042616,0.176311	1.635213,0.038447,-0.021276	1.591712,0.035079,-0.181566	1.649570,-0.100483,0.177190	1.716190,-0.317847,0.201228	1.683074,-0.564346,0.258759	1.643428,0.186807,0.172565	1.701120,0.407606,0.186074	1.704079,0.658826,0.231324	12
1.641249,0.050134,0.342050	1.636271,0.044131,0.246479	0.000000,0.000000,0.000000	1.635988,0.042666,0.176303	1.635190,0.038542,-0.021351	1.591665,0.035203,-0.181654	1.649072,-0.100015,0.176167	1.715921,-0.317145,0.201143	1.682240,-0.563531,0.258839	1.643488,0.186760,0.172374	1.700828,0.407568,0.186319	1.704109,0.658840,0.231266	12
1.641290,0.050488,0.341955	1.636271,0.044165,0.246471	0.000000,0.000000,0.000000	1.635982,0.042731,0.176294	1.635168,0.038691,-0.021428	1.591602,0.035387,-0.181746	1.648813,-0.099296,0.174723	1.715588,-0.316319,0.201035	1.682028,-0.562682,0.258906	1.643588,0.186668,0.172121	1.700555,0.407581,0.186384	1.704128,0.658865,0.231254	12
1.641344,0.050828,0.341873	1.636271,0.044199,0.246461	0.000000,0.000000,0.000000	1.635978,0.042789,0.176283	1.635154,0.038814,-0.021507	1.591578,0.035536,-0.181848	1.648634,-0.098578,0.173227	1.715267,-0.315559,0.200920	1.682154,-0.561930,0.259020	1.643629,0.186508,0.171644	1.700291,0.407552,0.186414	1.704143,0.658841,0.231242	12
1.641403,0.051170,0.341799	1.636271,0.044235,0.246449	0.000000,0.000000,0.000000	1.635975,0.042843,0.176271	1.635143,0.038919,-0.021581	1.591551,0.035670,-0.181918	1.648510,-0.097898,0.171719	1.714963,-0.314890,0.200800	1.682434,-0.561279,0.259154	1.643646,0.186372,0.171084	1.700052,0.407575,0.186414	1.704150,0.658861,0.231244	12
1.641461,0.051464,0.341736	1.636271,0.044270,0.246437	0.000000,0.000000,0.000000	1.635974,0.042893,0.176258	1.635138,0.039010,-0.021657	1.591548,0.035789,-0.181954	1.648446,-0.097645,0.171015	1.714815,-0.314724,0.200749	1.682654,-0.561091,0.259404	1.643650,0.186244,0.170509	1.699816,0.407613,0.186402	1.704150,0.658893,0.231253	12
1.641532,0.051584,0.341687	1.636271,0.044305,0.246422	0.000000,0.000000,0.000000	1.635974,0.042935,0.176243	1.635136,0.039071,-0.021734	1.591566,0.035871,-0.181950	1.648400,-0.097607,0.170723	1.714741,-0.314789,0.200723	1.682816,-0.561100,0.259750	1.643644,0.186093,0.169892	1.699615,0.407596,0.186380	1.704131,0.658873,0.231242	12
1.641606,0.051624,0.341643	1.636271,0.044340,0.246404	0.000000,0.000000,0.000000	1.635973,0.042969,0.176224	1.635135,0.039101,-0.021777	1.591598,0.035919,-0.181911	1.648360,-0.097664,0.170628	1.714691,-0.314943,0.200704	1.682867,-0.561172,0.260136	1.643633,0.185925,0.169259	1.699239,0.407577,0.186360	1.704144,0.658846,0.231226	12
1.641679,0.051645,0.341601	1.636271,0.044378,0.246384	0.000000,0.000000,0.000000	1.635973,0.043001,0.176203	1.635134,0.039117,-0.021774	1.591639,0.035950,-0.181846	1.648322,-0.097747,0.170609	1.714634,-0.315112,0.200689	1.682851,-0.561248,0.260531	1.643622,0.185777,0.168681	1.698831,0.407564,0.186343	1.704167,0.658830,0.231186	12
1.641752,0.051660,0.341561	1.636271,0.044416,0.246363	0.000000,0.000000,0.000000	1.635973,0.043031,0.176182	1.635134,0.039124,-0.021732	1.591672,0.035967,-0.181749	1.648287,-0.097829,0.170611	1.714573,-0.315267,0.200670	1.682843,-0.561310,0.260929	1.643613,0.185657,0.168176	1.698333,0.407586,0.186333	1.704193,0.658842,0.231178	12
1.641824,0.051742,0.341516	1.636271,0.044456,0.246341	0.000000,0.000000,0.000000	1.635973,0.043061,0.176160	1.635133,0.039129,-0.021644	1.591698,0.035978,-0.181615	1.648246,-0.097896,0.170607	1.714570,-0.315382,0.200645	1.682827,-0.561323,0.261315	1.643603,0.185537,0.167693	1.697939,0.407577,0.186319	1.704175,0.658823,0.231179	12
1.641899,0.051894,0.341470	1.636271,0.044500,0.246319	0.000000,0.000000,0.000000	1.635972,0.043094,0.176138	1.635132,0.039133,-0.021532	1.591708,0.035989,-0.181462	1.648202,-0.097945,0.170594	1.714596,-0.315467,0.200618	1.682809,-0.561306,0.261688	1.643599,0.185549,0.167459	1.697907,0.407631,0.186321	1.704047,0.658883,0.231170	12
1.641981,0.052021,0.341427	1.636271,0.044544,0.246297	0.000000,0.000000,0.000000	1.635972,0.043127,0.176115	1.635131,0.039137,-0.021407	1.591699,0.036000,-0.181313	1.648160,-0.097987,0.170582	1.714633,-0.315542,0.200588	1.682790,-0.561282,0.262033	1.643599,0.185615,0.167335	1.698036,0.407708,0.186331	1.703878,0.658967,0.231185	12
1.642043,0.052125,0.341388	1.636271,0.044590,0.246275	0.000000,0.000000,0.000000	1.635971,0.043161,0.176093	1.635129,0.039140,-0.021289	1.591675,0.036012,-0.181180	1.648116,-0.098022,0.170569	1.714656,-0.315610,0.200532	1.682774,-0.561293,0.262188	1.643601,0.185709,0.167269	1.698135,0.407816,0.186356	1.703699,0.659083,0.231216	12
