joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.656053,0.032186,0.253584	1.632893,0.030350,0.146972	0.000000,0.000000,0.000000	1.629511,0.029744,0.071289	1.620072,0.028054,-0.139943	1.579102,0.025841,-0.303268	1.637555,-0.119568,0.076755	1.667619,-0.365234,0.121546	1.600036,-0.402099,0.386107	1.644527,0.178546,0.073959	1.691412,0.412870,0.152398	1.692827,0.380046,0.425965	12
1.655992,0.032144,0.252362	1.632924,0.030350,0.145233	0.000000,0.000000,0.000000	1.629578,0.029742,0.069549	1.620257,0.028048,-0.141298	1.579063,0.025831,-0.304567	1.637894,-0.119058,0.074203	1.667425,-0.364683,0.119576	1.600368,-0.402849,0.384087	1.644687,0.178907,0.073227	1.691387,0.412928,0.152687	1.692867,0.379973,0.426240	12
1.656035,0.032119,0.251617	1.632958,0.030350,0.143826	0.000000,0.000000,0.000000	1.629662,0.029739,0.068140	1.620504,0.028043,-0.142212	1.579096,0.025821,-0.305435	1.638271,-0.118722,0.072263	1.667298,-0.364673,0.116137	1.599939,-0.403648,0.380453	1.644886,0.179309,0.072833	1.691388,0.413135,0.152988	1.692894,0.379874,0.426504	12
1.656190,0.032109,0.251316	1.632992,0.030350,0.142844	0.000000,0.000000,0.000000	1.629757,0.029738,0.067155	1.620790,0.028041,-0.142682	1.579219,0.025816,-0.305871	1.638655,-0.118672,0.071332	1.667262,-0.365330,0.111184	1.601701,-0.402656,0.376182	1.645118,0.179609,0.072647	1.691372,0.413335,0.153236	1.692944,0.379843,0.426724	12
1.656427,0.032109,0.251350	1.633028,0.030350,0.142267	0.000000,0.000000,0.000000	1.629858,0.029737,0.066576	1.621091,0.028041,-0.142799	1.579424,0.025816,-0.305968	1.639005,-0.118709,0.071000	1.667241,-0.365958,0.107321	1.603108,-0.401729,0.372883	1.645368,0.179760,0.072570	1.691324,0.413457,0.153413	1.693035,0.379849,0.426886	12
1.656699,0.032113,0.251541	1.633064,0.030350,0.141956	0.000000,0.000000,0.000000	1.629967,0.029737,0.066261	1.621420,0.028042,-0.142710	1.579659,0.025817,-0.305853	1.639395,-0.118734,0.070919	1.667197,-0.366486,0.104085	1.604270,-0.400956,0.370109	1.645609,0.179800,0.072528	1.691297,0.413485,0.153554	1.693091,0.379560,0.426987	12
1.656996,0.032120,0.251795	1.633101,0.030351,0.141835	0.000000,0.000000,0.000000	1.630094,0.029737,0.066137	1.621806,0.028044,-0.142497	1.579954,0.025819,-0.305612	1.639855,-0.118714,0.070937	1.667098,-0.366741,0.102598	1.604844,-0.400725,0.368847	1.645857,0.179763,0.072511	1.691253,0.413464,0.153655	1.693137,0.379344,0.427063	12
1.657302,0.032129,0.252015	1.633139,0.030351,0.141797	0.000000,0.000000,0.000000	1.630228,0.029737,0.066095	1.622213,0.028046,-0.142265	1.580217,0.025822,-0.305340	1.640356,-0.118661,0.070964	1.666988,-0.366941,0.101175	1.605076,-0.400820,0.367519	1.646099,0.179718,0.072545	1.691206,0.413456,0.153741	1.693176,0.379162,0.427127	12
1.657603,0.032137,0.252191	1.633179,0.030351,0.141819	0.000000,0.000000,0.000000	1.630360,0.029737,0.066113	1.622608,0.028049,-0.142040	1.580424,0.025826,-0.305057	1.640926,-0.118584,0.070984	1.666859,-0.367103,0.099799	1.605043,-0.401172,0.366141	1.646320,0.179668,0.072601	1.691160,0.413473,0.153752	1.693209,0.379005,0.427115	12
