joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.847238,0.026214,0.143366	1.805579,0.025477,0.036420	0.000000,0.000000,0.000000	1.768489,0.025755,-0.029547	1.657681,0.026414,-0.226493	1.557079,0.018787,-0.379455	1.814091,-0.124810,-0.032586	1.895952,-0.362493,-0.032806	1.894749,-0.608055,0.068026	1.818910,0.176562,-0.030031	1.888722,0.417586,-0.014897	1.874722,0.674889,0.048884	12
1.847266,0.026228,0.143422	1.805580,0.025479,0.036420	0.000000,0.000000,0.000000	1.768464,0.025683,-0.029534	1.657568,0.026130,-0.226434	1.556996,0.018755,-0.379431	1.814091,-0.124802,-0.032585	1.895974,-0.362539,-0.033024	1.894151,-0.607894,0.067983	1.818913,0.176559,-0.030030	1.888738,0.417639,-0.014906	1.874718,0.674822,0.048855	12
1.847295,0.026244,0.143478	1.805580,0.025482,0.036420	0.000000,0.000000,0.000000	1.768434,0.025615,-0.029518	1.657439,0.025860,-0.226366	1.556845,0.018725,-0.379362	1.814091,-0.124795,-0.032583	1.895989,-0.362575,-0.033140	1.893986,-0.607803,0.067924	1.818915,0.176557,-0.030029	1.888750,0.417682,-0.014918	1.874712,0.674771,0.048823	12
1.847323,0.026255,0.143535	1.805580,0.025484,0.036420	0.000000,0.000000,0.000000	1.768404,0.025569,-0.029502	1.657326,0.025741,-0.226306	1.556655,0.018707,-0.379264	1.814090,-0.124788,-0.032582	1.896000,-0.362596,-0.033201	1.894086,-0.607737,0.067901	1.818917,0.176555,-0.030028	1.888759,0.417712,-0.014934	1.874708,0.674734,0.048791	12
1.847352,0.026261,0.143591	1.805580,0.025487,0.036420	0.000000,0.000000,0.000000	1.768387,0.025535,-0.029494	1.657300,0.025625,-0.226296	1.556460,0.018696,-0.379155	1.814088,-0.124782,-0.032580	1.896012,-0.362607,-0.033225	1.894287,-0.607692,0.067882	1.818919,0.176553,-0.030028	1.888766,0.417731,-0.014939	1.874690,0.674708,0.048755	12
1.847380,0.026265,0.143648	1.805580,0.025490,0.036420	0.000000,0.000000,0.000000	1.768380,0.025515,-0.029491	1.657302,0.025570,-0.226301	1.556315,0.018690,-0.379072	1.814087,-0.124775,-0.032579	1.896022,-0.362612,-0.033231	1.894385,-0.607653,0.067882	1.818921,0.176552,-0.030027	1.888773,0.417744,-0.014938	1.874668,0.674688,0.048719	12
1.847410,0.026266,0.143705	1.805580,0.025493,0.036420	0.000000,0.000000,0.000000	1.768377,0.025503,-0.029490	1.657302,0.025522,-0.226305	1.556196,0.018687,-0.379003	1.814085,-0.124768,-0.032579	1.896031,-0.362614,-0.033228	1.894441,-0.607615,0.067898	1.818923,0.176551,-0.030027	1.888779,0.417753,-0.014935	1.874639,0.674673,0.048681	12
1.847439,0.026267,0.143763	1.805580,0.025497,0.036420	0.000000,0.000000,0.000000	1.768377,0.025493,-0.029491	1.657300,0.025466,-0.226308	1.556087,0.018685,-0.378940	1.814083,-0.124761,-0.032578	1.896044,-0.362610,-0.033220	1.894474,-0.607575,0.067924	1.818926,0.176551,-0.030026	1.888787,0.417759,-0.014933	1.874611,0.674659,0.048643	12
1.847470,0.026268,0.143821	1.805580,0.025500,0.036420	0.000000,0.000000,0.000000	1.768377,0.025487,-0.029493	1.657299,0.025445,-0.226311	1.555981,0.018685,-0.378877	1.814081,-0.124755,-0.032577	1.896084,-0.362593,-0.033216	1.894482,-0.607528,0.067942	1.818929,0.176550,-0.030026	1.888795,0.417762,-0.014932	1.874585,0.674650,0.048593	12
1.847503,0.026269,0.143878	1.805580,0.025503,0.036420	0.000000,0.000000,0.000000	1.768378,0.025485,-0.029494	1.657296,0.025424,-0.226314	1.555851,0.018686,-0.378798	1.814077,-0.124749,-0.032576	1.896145,-0.362566,-0.033214	1.894476,-0.607474,0.067961	1.818932,0.176550,-0.030026	1.888804,0.417761,-0.014928	1.874545,0.674640,0.048544	12
1.847537,0.026271,0.143934	1.805580,0.025507,0.036420	0.000000,0.000000,0.000000	1.768378,0.025482,-0.029495	1.657293,0.025403,-0.226316	1.555691,0.018688,-0.378699	1.814074,-0.124743,-0.032576	1.896203,-0.362536,-0.033206	1.894469,-0.607422,0.067985	1.818935,0.176550,-0.030026	1.888813,0.417755,-0.014928	1.874526,0.674637,0.048477	12
1.847570,0.026272,0.143991	1.805580,0.025510,0.036420	0.000000,0.000000,0.000000	1.768377,0.025480,-0.029495	1.657291,0.025383,-0.226319	1.555523,0.018691,-0.378595	1.814070,-0.124737,-0.032575	1.896258,-0.362498,-0.033194	1.894465,-0.607374,0.068013	1.818937,0.176550,-0.030026	1.888823,0.417743,-0.014937	1.874516,0.674638,0.048394	12
1.847603,0.026273,0.144048	1.805580,0.025513,0.036420	0.000000,0.000000,0.000000	1.768377,0.025479,-0.029496	1.657289,0.025375,-0.226322	1.555326,0.018694,-0.378471	1.814066,-0.124732,-0.032575	1.896308,-0.362450,-0.033181	1.894475,-0.607331,0.068039	1.818940,0.176550,-0.030026	1.888835,0.417717,-0.014946	1.874511,0.674641,0.048304	12
1.847639,0.026274,0.144102	1.805580,0.025516,0.036420	0.000000,0.000000,0.000000	1.768376,0.025480,-0.029497	1.657287,0.025367,-0.226325	1.555123,0.018698,-0.378342	1.814063,-0.124726,-0.032575	1.896365,-0.362384,-0.033169	1.894495,-0.607291,0.068058	1.818942,0.176551,-0.030026	1.888846,0.417681,-0.015018	1.874509,0.674636,0.048216	12
1.847678,0.026276,0.144157	1.805580,0.025520,0.036420	0.000000,0.000000,0.000000	1.768376,0.025480,-0.029498	1.657284,0.025353,-0.226328	1.554919,0.018703,-0.378212	1.814059,-0.124719,-0.032575	1.896368,-0.362336,-0.033140	1.894545,-0.607285,0.068098	1.818944,0.176551,-0.030026	1.888858,0.417645,-0.015116	1.874507,0.674640,0.048132	12
1.847719,0.026278,0.144213	1.805580,0.025524,0.036420	0.000000,0.000000,0.000000	1.768375,0.025481,-0.029498	1.657282,0.025348,-0.226330	1.554715,0.018708,-0.378082	1.814056,-0.124712,-0.032576	1.896321,-0.362308,-0.033127	1.894618,-0.607309,0.068121	1.818944,0.176552,-0.030027	1.888870,0.417610,-0.015158	1.874503,0.674672,0.048026	12
