joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.698420,0.035727,0.329174	1.678723,0.036202,0.224536	0.000000,0.000000,0.000000	1.662161,0.035130,0.153469	1.609011,0.031689,-0.074594	1.527350,0.029036,-0.223939	1.660514,-0.110779,0.146711	1.576177,-0.169009,-0.064233	1.328322,-0.093309,-0.165880	1.667895,0.181746,0.142733	1.589013,0.229823,-0.072830	1.340425,0.128494,-0.149183	12
1.698315,0.035729,0.329839	1.678720,0.036202,0.225193	0.000000,0.000000,0.000000	1.662079,0.035113,0.154150	1.608627,0.031616,-0.074053	1.527233,0.028830,-0.223436	1.660096,-0.110686,0.147556	1.575391,-0.169635,-0.064861	1.330515,-0.081334,-0.163923	1.667864,0.181784,0.143715	1.588489,0.230139,-0.073385	1.338996,0.127618,-0.144513	12
1.698259,0.035744,0.330494	1.678716,0.036202,0.225849	0.000000,0.000000,0.000000	1.661976,0.035136,0.154834	1.608154,0.031709,-0.073482	1.527015,0.028810,-0.222939	1.659769,-0.110426,0.148058	1.574953,-0.170030,-0.065546	1.328234,-0.087241,-0.162530	1.667857,0.181718,0.144501	1.588012,0.230433,-0.073730	1.338069,0.126853,-0.137266	12
1.698231,0.035757,0.331134	1.678712,0.036202,0.226496	0.000000,0.000000,0.000000	1.661862,0.035181,0.155511	1.607648,0.031896,-0.072883	1.526733,0.028910,-0.222448	1.659512,-0.110090,0.148374	1.574794,-0.170278,-0.066201	1.325404,-0.110552,-0.167790	1.667861,0.181606,0.145176	1.587496,0.230756,-0.073841	1.338316,0.126728,-0.134828	12
1.698233,0.035769,0.331767	1.678708,0.036202,0.227139	0.000000,0.000000,0.000000	1.661748,0.035219,0.156185	1.607142,0.032053,-0.072258	1.526455,0.029021,-0.221998	1.659290,-0.109789,0.148691	1.574840,-0.170448,-0.066709	1.325079,-0.135766,-0.175783	1.667853,0.181476,0.145762	1.586971,0.231085,-0.073795	1.339053,0.126894,-0.135695	12
1.698268,0.035783,0.332368	1.678705,0.036202,0.227756	0.000000,0.000000,0.000000	1.661649,0.035244,0.156830	1.606706,0.032156,-0.071661	1.526206,0.029105,-0.221590	1.659092,-0.109517,0.148971	1.574975,-0.170578,-0.067111	1.326291,-0.147973,-0.182298	1.667845,0.181244,0.146081	1.586722,0.231229,-0.073955	1.339932,0.127243,-0.138344	12
1.698289,0.035800,0.332978	1.678701,0.036202,0.228380	0.000000,0.000000,0.000000	1.661564,0.035261,0.157478	1.606322,0.032226,-0.071079	1.526008,0.029168,-0.221200	1.658906,-0.109303,0.149310	1.575191,-0.170662,-0.067365	1.326029,-0.149158,-0.182329	1.667840,0.180976,0.146294	1.586569,0.231307,-0.074122	1.340440,0.127383,-0.140173	12
1.698300,0.035820,0.333606	1.678697,0.036202,0.229019	0.000000,0.000000,0.000000	1.661472,0.035269,0.158143	1.605904,0.032258,-0.070499	1.525779,0.029208,-0.220802	1.658728,-0.109167,0.149774	1.575502,-0.170770,-0.067432	1.326283,-0.148270,-0.182145	1.667826,0.180693,0.146467	1.586454,0.231371,-0.074236	1.340637,0.127205,-0.140655	12
1.698301,0.035835,0.334247	1.678693,0.036202,0.229669	0.000000,0.000000,0.000000	1.661390,0.035271,0.158816	1.605524,0.032266,-0.069941	1.525545,0.029231,-0.220396	1.658741,-0.109087,0.150285	1.575822,-0.170907,-0.067301	1.327182,-0.145524,-0.182521	1.667832,0.180409,0.146632	1.586372,0.231439,-0.074277	1.340724,0.126805,-0.140429	12
