joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.473493,-0.047212,0.034654	1.464593,-0.043357,-0.051468	0.000000,0.000000,0.000000	1.481913,-0.048790,-0.110589	1.533632,-0.065008,-0.287126	1.411362,-0.050755,-0.361341	1.461990,-0.179959,-0.093747	1.396520,-0.227839,0.090247	1.368194,-0.067093,0.260279	1.496977,0.087795,-0.098589	1.452569,0.190447,0.068533	1.384371,0.045460,0.241459	12
1.487064,-0.048882,0.030430	1.477887,-0.044381,-0.054943	0.000000,0.000000,0.000000	1.492725,-0.049307,-0.114745	1.537031,-0.064007,-0.293319	1.418294,-0.051431,-0.371777	1.472702,-0.180883,-0.098092	1.409528,-0.228884,0.086599	1.383423,-0.067313,0.255153	1.508428,0.086927,-0.103497	1.465571,0.189222,0.064176	1.399184,0.046250,0.238425	12
1.498199,-0.050411,0.026238	1.491007,-0.045718,-0.058854	0.000000,0.000000,0.000000	1.502997,-0.050111,-0.119322	1.538798,-0.063218,-0.299889	1.421963,-0.051778,-0.380286	1.480437,-0.181805,-0.102815	1.421902,-0.231361,0.082681	1.398873,-0.067411,0.249762	1.516365,0.087019,-0.106897	1.478361,0.188300,0.062197	1.412927,0.045282,0.237155	12
1.507291,-0.052175,0.021853	1.502527,-0.047203,-0.063295	0.000000,0.000000,0.000000	1.511949,-0.051100,-0.124272	1.540081,-0.062731,-0.306355	1.424267,-0.052028,-0.387984	1.495973,-0.184093,-0.105876	1.433066,-0.235519,0.078048	1.417511,-0.070456,0.243513	1.527354,0.085756,-0.111548	1.490307,0.186171,0.058758	1.431270,0.044254,0.235532	12
1.516100,-0.054208,0.017574	1.512268,-0.048940,-0.067953	0.000000,0.000000,0.000000	1.519374,-0.052274,-0.129302	1.540592,-0.062227,-0.312491	1.426766,-0.052856,-0.397391	1.503884,-0.185882,-0.110402	1.444083,-0.241069,0.074159	1.437110,-0.074886,0.237046	1.532947,0.085278,-0.114736	1.501792,0.185554,0.057514	1.451402,0.042049,0.233733	12
1.526109,-0.055735,0.013273	1.520132,-0.050284,-0.072757	0.000000,0.000000,0.000000	1.525429,-0.053165,-0.134333	1.541245,-0.061772,-0.318201	1.431911,-0.054073,-0.409556	1.508270,-0.186872,-0.115516	1.455024,-0.250721,0.069055	1.457858,-0.080741,0.229186	1.537927,0.084538,-0.119059	1.512449,0.185114,0.054979	1.470208,0.038049,0.231414	12
1.537893,-0.056688,0.008742	1.526437,-0.051125,-0.077379	0.000000,0.000000,0.000000	1.530404,-0.053668,-0.139082	1.542251,-0.061266,-0.323326	1.439907,-0.055700,-0.423322	1.512647,-0.186991,-0.121874	1.462946,-0.261387,0.061430	1.478473,-0.088517,0.219387	1.544556,0.083008,-0.125514	1.522150,0.184404,0.050324	1.488807,0.033517,0.227005	12
1.550628,-0.057180,0.003723	1.531307,-0.051577,-0.081731	0.000000,0.000000,0.000000	1.534510,-0.053932,-0.143488	1.544074,-0.060968,-0.327892	1.446888,-0.057222,-0.434436	1.517907,-0.186777,-0.128391	1.465965,-0.271037,0.051986	1.497995,-0.097005,0.206773	1.550999,0.081165,-0.132946	1.529661,0.185127,0.043547	1.509331,0.029358,0.218528	12
1.561101,-0.057393,-0.000750	1.535569,-0.051785,-0.085649	0.000000,0.000000,0.000000	1.538057,-0.054079,-0.147436	1.545486,-0.060934,-0.331929	1.449931,-0.058492,-0.441434	1.523796,-0.186666,-0.133692	1.466407,-0.277114,0.042835	1.514294,-0.101080,0.191696	1.556921,0.079913,-0.138904	1.534397,0.189101,0.034953	1.528295,0.028555,0.207146	12
