joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.675789,0.058710,0.215357	1.666192,0.052151,0.106823	0.000000,0.000000,0.000000	1.665614,0.048166,0.030880	1.664010,0.037097,-0.180089	1.611841,0.034573,-0.342986	1.668769,-0.101115,0.039425	1.720562,-0.345378,0.002148	1.731844,-0.621519,0.008724	1.686627,0.199198,0.029371	1.737975,0.442598,-0.013963	1.713751,0.717153,0.007655	12
1.674903,0.058698,0.215560	1.666372,0.052340,0.107229	0.000000,0.000000,0.000000	1.665733,0.048412,0.031283	1.663956,0.037506,-0.179582	1.612229,0.035078,-0.341452	1.668743,-0.100822,0.039557	1.717670,-0.346123,0.005311	1.735112,-0.621992,0.009691	1.686215,0.199520,0.029845	1.736794,0.443081,-0.013433	1.714001,0.717482,0.011575	12
1.674098,0.058698,0.215896	1.666447,0.052538,0.107870	0.000000,0.000000,0.000000	1.665752,0.048671,0.031923	1.663822,0.037941,-0.178778	1.612510,0.035641,-0.339869	1.668685,-0.100472,0.039716	1.716079,-0.346249,0.006607	1.737483,-0.621907,0.009971	1.685736,0.199834,0.030447	1.735565,0.443579,-0.012619	1.714287,0.717916,0.014616	12
1.673279,0.058698,0.216294	1.666468,0.052731,0.108678	0.000000,0.000000,0.000000	1.665536,0.048928,0.032730	1.662951,0.038387,-0.177750	1.611866,0.036203,-0.340285	1.668605,-0.100105,0.039886	1.715833,-0.345940,0.006933	1.738679,-0.621531,0.009434	1.685197,0.200141,0.031118	1.734704,0.444047,-0.011370	1.714556,0.718427,0.016534	12
1.672565,0.058692,0.216683	1.666467,0.052859,0.109573	0.000000,0.000000,0.000000	1.664973,0.049130,0.033632	1.660840,0.038808,-0.176599	1.609985,0.036567,-0.341432	1.668512,-0.099796,0.040040	1.716248,-0.345488,0.006782	1.739730,-0.621047,0.008337	1.684595,0.200391,0.031802	1.734597,0.444355,-0.009738	1.714588,0.718791,0.017859	12
1.672161,0.058024,0.217144	1.666459,0.052926,0.110486	0.000000,0.000000,0.000000	1.663841,0.049250,0.034577	1.656602,0.039084,-0.175377	1.605870,0.036648,-0.342554	1.667592,-0.099810,0.040726	1.717055,-0.345027,0.006583	1.741218,-0.620536,0.007442	1.681624,0.200811,0.032446	1.735176,0.444254,-0.007536	1.714348,0.718695,0.019466	12
1.671985,0.057001,0.217713	1.666451,0.052955,0.111400	0.000000,0.000000,0.000000	1.662234,0.049310,0.035567	1.650577,0.039236,-0.174061	1.599685,0.036546,-0.343227	1.666170,-0.100002,0.041718	1.717973,-0.344556,0.006377	1.743454,-0.619945,0.005755	1.677973,0.201258,0.033193	1.735861,0.443995,-0.004914	1.714107,0.718468,0.021048	12
1.672211,0.055675,0.218314	1.666442,0.052963,0.112282	0.000000,0.000000,0.000000	1.660846,0.049321,0.036534	1.645383,0.039258,-0.172754	1.594165,0.036222,-0.343486	1.665055,-0.100139,0.042501	1.718814,-0.344137,0.006238	1.747181,-0.619221,0.003408	1.676096,0.201293,0.033450	1.736519,0.443799,-0.002233	1.713957,0.718317,0.022592	12
1.672672,0.054460,0.218922	1.666430,0.052963,0.113140	0.000000,0.000000,0.000000	1.659791,0.049310,0.037470	1.641456,0.039223,-0.171468	1.589743,0.035809,-0.343361	1.664162,-0.100153,0.043035	1.719423,-0.343725,0.006134	1.752541,-0.618217,0.000504	1.675241,0.201135,0.033559	1.737074,0.443472,-0.000995	1.714003,0.717995,0.023372	12
1.673334,0.053608,0.219577	1.666414,0.052960,0.114005	0.000000,0.000000,0.000000	1.659117,0.049299,0.038391	1.638979,0.039194,-0.170267	1.587441,0.035523,-0.341162	1.663552,-0.100104,0.043488	1.719609,-0.343414,0.006030	1.755368,-0.617523,-0.002303	1.674838,0.201105,0.034042	1.737593,0.443214,-0.000508	1.714210,0.717681,0.024237	12
1.674069,0.053002,0.220170	1.666387,0.052957,0.114799	0.000000,0.000000,0.000000	1.658735,0.049291,0.039218	1.637629,0.039177,-0.169245	1.586590,0.035327,-0.338357	1.663100,-0.100035,0.043873	1.719652,-0.343155,0.005923	1.756690,-0.616972,-0.006009	1.674630,0.201139,0.034647	1.738093,0.442989,-0.000422	1.714511,0.717413,0.024641	12
1.674850,0.052655,0.220648	1.666346,0.052955,0.115493	0.000000,0.000000,0.000000	1.658539,0.049289,0.039928	1.637010,0.039177,-0.168449	1.586549,0.035187,-0.335691	1.662686,-0.099961,0.044188	1.719638,-0.342922,0.005816	1.756905,-0.616558,-0.009333	1.674491,0.201207,0.035258	1.738552,0.442797,-0.000489	1.715023,0.717204,0.024832	12
1.675597,0.052445,0.220855	1.666237,0.052954,0.115927	0.000000,0.000000,0.000000	1.658381,0.049289,0.040370	1.636715,0.039181,-0.167992	1.586759,0.035075,-0.333565	1.662283,-0.099898,0.044243	1.719615,-0.342742,0.005710	1.756870,-0.616310,-0.010859	1.674285,0.201107,0.035279	1.738995,0.442516,-0.000511	1.715813,0.716938,0.024981	12
1.676179,0.052288,0.220840	1.666061,0.052953,0.116133	0.000000,0.000000,0.000000	1.658204,0.049289,0.040577	1.636535,0.039185,-0.167802	1.586957,0.034932,-0.331990	1.661881,-0.099876,0.044116	1.719603,-0.342613,0.005494	1.756699,-0.616123,-0.012366	1.674048,0.200964,0.034956	1.739406,0.442247,-0.000484	1.716964,0.716748,0.024835	12
1.676697,0.052090,0.220704	1.665850,0.052953,0.116205	0.000000,0.000000,0.000000	1.658027,0.049290,0.040647	1.636451,0.039186,-0.167763	1.587155,0.034769,-0.330851	1.661483,-0.099891,0.043894	1.719579,-0.342512,0.005109	1.756492,-0.615960,-0.014022	1.673966,0.200830,0.034502	1.739913,0.442016,-0.000497	1.718432,0.716617,0.024576	12
1.677191,0.051870,0.220508	1.665592,0.052952,0.116211	0.000000,0.000000,0.000000	1.657821,0.049290,0.040648	1.636383,0.039186,-0.167796	1.587301,0.034463,-0.330021	1.661074,-0.099938,0.043615	1.719525,-0.342436,0.004600	1.756287,-0.615826,-0.015594	1.673925,0.200643,0.033848	1.740533,0.441739,-0.000508	1.720075,0.716445,0.024275	12
1.677567,0.051701,0.220225	1.665278,0.052952,0.116192	0.000000,0.000000,0.000000	1.657576,0.049293,0.040622	1.636328,0.039199,-0.167860	1.587476,0.034183,-0.329456	1.660003,-0.099888,0.043165	1.719436,-0.342115,0.003959	1.755916,-0.615590,-0.015534	1.673923,0.200399,0.033093	1.741172,0.441420,-0.000529	1.722106,0.716249,0.024009	12
1.677735,0.051592,0.219860	1.664915,0.052952,0.116168	0.000000,0.000000,0.000000	1.657306,0.049304,0.040588	1.636305,0.039238,-0.167994	1.587695,0.034010,-0.329170	1.658912,-0.099775,0.042631	1.719241,-0.341734,0.003144	1.755422,-0.615365,-0.014555	1.673955,0.200201,0.032470	1.741848,0.441120,-0.000578	1.724748,0.716093,0.023789	12
1.677787,0.051519,0.219460	1.664535,0.052952,0.116149	0.000000,0.000000,0.000000	1.657026,0.049314,0.040559	1.636293,0.039270,-0.168172	1.587867,0.033917,-0.329060	1.657948,-0.099790,0.042450	1.718968,-0.341449,0.002194	1.754522,-0.615280,-0.013527	1.674007,0.200100,0.032109	1.742662,0.440853,-0.000575	1.728843,0.716019,0.023629	12
