joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.697365,0.043698,0.196378	1.665575,0.034046,0.112014	0.000000,0.000000,0.000000	1.659091,0.030146,0.048693	1.640416,0.018914,-0.133677	1.597240,0.015474,-0.290694	1.657783,-0.094255,0.049224	1.670361,-0.300525,0.095201	1.632870,-0.338643,0.310217	1.667087,0.157814,0.040293	1.698561,0.362474,0.084435	1.690960,0.424802,0.296916	12
1.696559,0.043465,0.193693	1.665547,0.034051,0.109268	0.000000,0.000000,0.000000	1.659062,0.030145,0.045947	1.640350,0.018873,-0.136767	1.597100,0.015464,-0.293410	1.657712,-0.095280,0.048117	1.670398,-0.301208,0.095611	1.632675,-0.338662,0.310843	1.667013,0.159087,0.039330	1.698815,0.363516,0.084305	1.691228,0.424198,0.297401	12
1.695873,0.043273,0.191805	1.665508,0.034056,0.106880	0.000000,0.000000,0.000000	1.659007,0.030133,0.043562	1.640207,0.018786,-0.139564	1.596793,0.015440,-0.295846	1.657648,-0.096188,0.047490	1.670394,-0.301874,0.096028	1.632411,-0.338699,0.311638	1.666931,0.160188,0.038752	1.699014,0.364419,0.084418	1.691234,0.423942,0.298153	12
1.695448,0.043162,0.190839	1.665455,0.034060,0.105231	0.000000,0.000000,0.000000	1.658943,0.030120,0.041916	1.640066,0.018700,-0.141619	1.596490,0.015418,-0.297580	1.657597,-0.096853,0.047331	1.670318,-0.302422,0.096378	1.632082,-0.338756,0.312364	1.666842,0.160933,0.038489	1.699143,0.365032,0.084586	1.691098,0.423869,0.298843	12
1.695268,0.043127,0.190641	1.665395,0.034064,0.104356	0.000000,0.000000,0.000000	1.658882,0.030113,0.041041	1.639966,0.018638,-0.142865	1.596285,0.015404,-0.298552	1.657563,-0.097247,0.047479	1.670134,-0.302817,0.096553	1.631744,-0.338756,0.312875	1.666751,0.161317,0.038444	1.699209,0.365354,0.084706	1.690908,0.423876,0.299339	12
1.695240,0.043140,0.190903	1.665326,0.034067,0.104036	0.000000,0.000000,0.000000	1.658786,0.030088,0.040726	1.639787,0.018528,-0.143193	1.596046,0.015387,-0.298815	1.657540,-0.097457,0.047818	1.669883,-0.303096,0.096652	1.631356,-0.338733,0.313237	1.666655,0.161456,0.038535	1.699233,0.365479,0.084768	1.690701,0.423914,0.299655	12
1.695261,0.043172,0.191335	1.665239,0.034071,0.103997	0.000000,0.000000,0.000000	1.658636,0.030038,0.040697	1.639514,0.018359,-0.142592	1.595815,0.015376,-0.298608	1.657523,-0.097567,0.048221	1.669602,-0.303302,0.096708	1.630825,-0.338720,0.313466	1.666553,0.161472,0.038678	1.699238,0.365504,0.084791	1.690442,0.423965,0.299842	12
1.695277,0.043206,0.191772	1.665115,0.034075,0.104065	0.000000,0.000000,0.000000	1.658433,0.029972,0.040778	1.639220,0.018176,-0.141183	1.595613,0.015370,-0.298099	1.657508,-0.097631,0.048614	1.669329,-0.303463,0.096750	1.630187,-0.338719,0.313603	1.666441,0.161438,0.038828	1.699232,0.365486,0.084792	1.690145,0.424012,0.299949	12
1.695262,0.043235,0.192141	1.664948,0.034078,0.104148	0.000000,0.000000,0.000000	1.658248,0.029936,0.040865	1.639141,0.018123,-0.139591	1.595546,0.015372,-0.297477	1.657493,-0.097671,0.048944	1.669028,-0.303587,0.096787	1.629443,-0.338734,0.313675	1.666311,0.161393,0.038957	1.699223,0.365451,0.084788	1.689783,0.424054,0.300007	12
1.695129,0.043259,0.192451	1.664727,0.034080,0.104213	0.000000,0.000000,0.000000	1.658062,0.029922,0.040927	1.639200,0.018155,-0.138168	1.595558,0.015379,-0.296837	1.657477,-0.097712,0.049241	1.668641,-0.303712,0.096810	1.628441,-0.338892,0.314581	1.666139,0.161362,0.039091	1.699185,0.365442,0.084728	1.688434,0.428790,0.299506	12
1.693313,0.042411,0.193146	1.664396,0.034081,0.104254	0.000000,0.000000,0.000000	1.657844,0.029919,0.040957	1.639404,0.018205,-0.137177	1.596007,0.015379,-0.296361	1.656521,-0.097623,0.049410	1.668294,-0.303637,0.096768	1.627528,-0.338882,0.314101	1.663467,0.161164,0.038981	1.699298,0.364763,0.084591	1.688114,0.427166,0.299318	12
1.689673,0.040746,0.194067	1.663906,0.034081,0.104277	0.000000,0.000000,0.000000	1.657544,0.029918,0.040960	1.639689,0.018235,-0.136726	1.596734,0.015363,-0.296042	1.654810,-0.097419,0.049505	1.667955,-0.303390,0.096676	1.626402,-0.338922,0.313657	1.659150,0.160773,0.038775	1.699416,0.363524,0.084356	1.688061,0.424729,0.299273	12
1.685758,0.038121,0.194746	1.663266,0.034080,0.104288	0.000000,0.000000,0.000000	1.657155,0.029924,0.040946	1.640001,0.018256,-0.136867	1.597563,0.015337,-0.295842	1.652659,-0.097119,0.049591	1.667515,-0.303020,0.096547	1.625123,-0.339010,0.313192	1.655712,0.160272,0.038481	1.699368,0.362313,0.084163	1.687769,0.423554,0.298966	12
1.682863,0.035489,0.194963	1.662517,0.034080,0.104292	0.000000,0.000000,0.000000	1.656679,0.029922,0.040925	1.640249,0.018218,-0.137431	1.598438,0.015306,-0.295748	1.650744,-0.096753,0.049622	1.666925,-0.302599,0.096396	1.623569,-0.339140,0.312734	1.653869,0.159766,0.038158	1.699154,0.361422,0.084061	1.687343,0.423034,0.298728	12
1.681067,0.033577,0.194842	1.661675,0.034079,0.104293	0.000000,0.000000,0.000000	1.656109,0.029904,0.040902	1.640393,0.018109,-0.138157	1.599277,0.015271,-0.295734	1.649155,-0.096356,0.049632	1.666141,-0.302177,0.096242	1.621759,-0.339316,0.312332	1.653007,0.159267,0.037864	1.698818,0.360758,0.084016	1.686822,0.422859,0.298596	12
