joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.789555,0.044241,0.301525	1.790371,0.035289,0.194135	0.000000,0.000000,0.000000	1.773053,0.031530,0.122396	1.721175,0.020277,-0.091808	1.607977,0.020439,-0.230258	1.812385,-0.104844,0.164278	1.816412,-0.195683,0.392130	1.872506,0.032286,0.522937	1.821219,0.173500,0.163160	1.818082,0.310570,0.366597	1.844336,0.093047,0.522229	12
1.789587,0.044128,0.301483	1.790371,0.035289,0.194078	0.000000,0.000000,0.000000	1.772979,0.031519,0.122358	1.720857,0.020239,-0.091784	1.607778,0.020459,-0.230320	1.812387,-0.104851,0.164334	1.816624,-0.195695,0.392181	1.872441,0.032368,0.522944	1.821218,0.173496,0.163158	1.818072,0.310554,0.366603	1.843758,0.093038,0.522342	12
1.789618,0.044043,0.301438	1.790371,0.035289,0.194022	0.000000,0.000000,0.000000	1.772903,0.031509,0.122321	1.720564,0.020198,-0.091766	1.607581,0.020478,-0.230385	1.812388,-0.104858,0.164390	1.817216,-0.195702,0.392224	1.872275,0.032542,0.522989	1.821216,0.173491,0.163156	1.818066,0.310465,0.366658	1.843193,0.091756,0.520799	12
1.789654,0.043972,0.301392	1.790371,0.035289,0.193967	0.000000,0.000000,0.000000	1.772785,0.031496,0.122295	1.719953,0.020141,-0.091667	1.607337,0.020502,-0.230507	1.812389,-0.104868,0.164469	1.818043,-0.195721,0.392279	1.872053,0.032782,0.523030	1.821214,0.173485,0.163155	1.818062,0.310220,0.366817	1.842562,0.088831,0.517142	12
1.789695,0.043909,0.301345	1.790371,0.035289,0.193912	0.000000,0.000000,0.000000	1.772242,0.031488,0.122378	1.716371,0.020121,-0.090814	1.606061,0.020518,-0.230729	1.812391,-0.104878,0.164557	1.819014,-0.195740,0.392338	1.871833,0.033017,0.523131	1.821214,0.173478,0.163154	1.818056,0.309926,0.367007	1.841862,0.085598,0.513010	12
1.789736,0.043861,0.301296	1.790371,0.035289,0.193857	0.000000,0.000000,0.000000	1.771473,0.031483,0.122524	1.712807,0.020114,-0.089919	1.603959,0.020526,-0.230749	1.812393,-0.104888,0.164650	1.820140,-0.195756,0.392393	1.871608,0.033261,0.523270	1.821214,0.173469,0.163153	1.818050,0.309576,0.367234	1.842129,0.086051,0.514454	12
1.789779,0.043826,0.301244	1.790371,0.035289,0.193800	0.000000,0.000000,0.000000	1.770725,0.031479,0.122669	1.710161,0.020096,-0.089239	1.601471,0.020532,-0.230392	1.812393,-0.104889,0.164697	1.821326,-0.195764,0.392394	1.871441,0.033411,0.523519	1.821216,0.173460,0.163152	1.818045,0.309163,0.367502	1.842174,0.085460,0.514471	12
1.789821,0.043796,0.301191	1.790371,0.035289,0.193743	0.000000,0.000000,0.000000	1.770226,0.031466,0.122750	1.709132,0.020011,-0.088998	1.599571,0.020553,-0.229971	1.812395,-0.104901,0.164807	1.822573,-0.195802,0.392442	1.871276,0.033603,0.523698	1.821219,0.173449,0.163151	1.818056,0.308990,0.367609	1.841890,0.084014,0.512669	12
1.789861,0.043771,0.301138	1.790371,0.035289,0.193687	0.000000,0.000000,0.000000	1.769884,0.031449,0.122791	1.708215,0.019934,-0.088784	1.598063,0.020582,-0.229526	1.812393,-0.104884,0.164770	1.823856,-0.195779,0.392347	1.871145,0.033814,0.523794	1.821223,0.173439,0.163150	1.818076,0.308894,0.367666	1.841227,0.081545,0.509059	12
