joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.663693,0.018636,0.300728	1.632779,0.021617,0.198579	0.000000,0.000000,0.000000	1.619297,0.021863,0.123223	1.579633,0.022586,-0.098464	1.523319,0.021455,-0.274948	1.647059,-0.136555,0.134130	1.584147,-0.365088,0.225814	1.499368,-0.381770,0.510199	1.637392,0.182754,0.140361	1.649978,0.426706,0.210505	1.619754,0.517359,0.491946	12
1.663937,0.018560,0.300092	1.632834,0.021617,0.198170	0.000000,0.000000,0.000000	1.619508,0.021798,0.122786	1.580313,0.022334,-0.098933	1.523814,0.021120,-0.275380	1.647665,-0.136413,0.133385	1.584452,-0.364869,0.225054	1.500159,-0.381778,0.509263	1.638037,0.182536,0.139284	1.650136,0.426791,0.208448	1.619774,0.516724,0.489794	12
1.664054,0.018505,0.299501	1.632888,0.021616,0.197727	0.000000,0.000000,0.000000	1.619753,0.021747,0.122310	1.581137,0.022132,-0.099415	1.524426,0.020861,-0.275813	1.647920,-0.135958,0.131713	1.584946,-0.364242,0.223972	1.501032,-0.381887,0.508201	1.638403,0.182307,0.138045	1.650346,0.426991,0.205695	1.619796,0.516089,0.487239	12
1.664508,0.018642,0.298771	1.632947,0.021615,0.197257	0.000000,0.000000,0.000000	1.619988,0.021707,0.121809	1.581911,0.021978,-0.099882	1.525657,0.020703,-0.274358	1.648091,-0.135536,0.129921	1.585408,-0.363782,0.222471	1.501999,-0.381939,0.507066	1.638989,0.181997,0.136416	1.650570,0.427103,0.202590	1.619870,0.515616,0.484554	12
1.665175,0.018765,0.297618	1.633011,0.021615,0.196572	0.000000,0.000000,0.000000	1.620202,0.021680,0.121098	1.582583,0.021871,-0.100558	1.527130,0.020626,-0.272503	1.648134,-0.135058,0.127658	1.585895,-0.363583,0.219817	1.503120,-0.381895,0.505229	1.639943,0.181727,0.134600	1.650783,0.427375,0.198852	1.619999,0.514977,0.481739	12
1.665679,0.018843,0.294943	1.633074,0.021614,0.194343	0.000000,0.000000,0.000000	1.620335,0.021663,0.118858	1.582953,0.021807,-0.102644	1.527593,0.020605,-0.273951	1.648123,-0.134806,0.124287	1.586282,-0.363719,0.215747	1.504403,-0.381721,0.502650	1.640456,0.181657,0.131621	1.651116,0.427638,0.194635	1.620133,0.514619,0.478917	12
1.665744,0.018947,0.290660	1.633471,0.021652,0.190023	0.000000,0.000000,0.000000	1.620631,0.021684,0.114554	1.582994,0.021777,-0.106666	1.527210,0.020599,-0.278236	1.648194,-0.135509,0.121068	1.586327,-0.365069,0.210864	1.506076,-0.381194,0.498737	1.640825,0.182086,0.127734	1.651581,0.428026,0.190899	1.620389,0.514012,0.475868	12
1.665572,0.018978,0.285676	1.634107,0.021689,0.184456	0.000000,0.000000,0.000000	1.621073,0.021700,0.109020	1.582895,0.021731,-0.111946	1.526542,0.020594,-0.284135	1.648313,-0.136525,0.117539	1.586374,-0.366784,0.205471	1.507799,-0.380620,0.493884	1.641219,0.182922,0.123903	1.652104,0.428428,0.188691	1.620593,0.513758,0.473784	12
1.665599,0.018925,0.280494	1.634865,0.021712,0.178508	0.000000,0.000000,0.000000	1.621601,0.021700,0.103112	1.582749,0.021662,-0.117737	1.525855,0.020585,-0.290607	1.648413,-0.137153,0.112814	1.586776,-0.367728,0.200143	1.508673,-0.380396,0.488419	1.641600,0.183461,0.119092	1.652656,0.428088,0.187044	1.620876,0.513788,0.471667	12
1.665785,0.018837,0.276058	1.635682,0.021725,0.173219	0.000000,0.000000,0.000000	1.622158,0.021654,0.097870	1.582523,0.021445,-0.122964	1.525034,0.020424,-0.296396	1.648811,-0.138005,0.109611	1.587241,-0.368654,0.196801	1.508142,-0.380402,0.484942	1.641955,0.184113,0.115567	1.653290,0.428321,0.185000	1.621112,0.513978,0.469691	12
1.666522,0.018686,0.272744	1.636534,0.021730,0.169161	0.000000,0.000000,0.000000	1.622774,0.021575,0.093855	1.582391,0.021120,-0.127154	1.524414,0.020142,-0.301040	1.649619,-0.138567,0.107210	1.587931,-0.369244,0.194243	1.508098,-0.380430,0.482244	1.642547,0.184529,0.112904	1.653978,0.428777,0.182206	1.621442,0.514370,0.466916	12
1.667902,0.018508,0.269711	1.637386,0.021732,0.165587	0.000000,0.000000,0.000000	1.623401,0.021493,0.090323	1.582292,0.020789,-0.130905	1.523966,0.019726,-0.305154	1.650128,-0.138552,0.103883	1.589135,-0.368813,0.192475	1.509211,-0.380601,0.480720	1.643448,0.184700,0.110226	1.654718,0.429369,0.178041	1.622128,0.515027,0.463021	12
1.669887,0.018315,0.266727	1.638240,0.021732,0.162388	0.000000,0.000000,0.000000	1.624069,0.021412,0.087160	1.582349,0.020469,-0.134311	1.523866,0.019243,-0.308875	1.650425,-0.137942,0.099340	1.590767,-0.367415,0.190808	1.511033,-0.380963,0.479644	1.644497,0.184305,0.106250	1.655463,0.429333,0.172809	1.623828,0.514657,0.458623	12
1.671643,0.018106,0.264177	1.639085,0.021732,0.159674	0.000000,0.000000,0.000000	1.624725,0.021349,0.084481	1.582396,0.020220,-0.137167	1.523759,0.018788,-0.311960	1.650904,-0.137844,0.096639	1.592170,-0.367070,0.189338	1.512968,-0.381061,0.478959	1.645460,0.184270,0.103831	1.656311,0.429318,0.170347	1.626085,0.514444,0.457034	12
1.673101,0.017876,0.262046	1.639896,0.021731,0.157493	0.000000,0.000000,0.000000	1.625335,0.021298,0.082340	1.582383,0.020020,-0.139338	1.523585,0.018371,-0.314293	1.651417,-0.137957,0.095091	1.593337,-0.367447,0.187564	1.514733,-0.380974,0.477881	1.645993,0.184330,0.102253	1.657238,0.429199,0.169360	1.628981,0.514453,0.456722	12
1.674066,0.017608,0.260410	1.640695,0.021731,0.155796	0.000000,0.000000,0.000000	1.625917,0.021246,0.080685	1.582327,0.019816,-0.140871	1.523346,0.017968,-0.315932	1.651667,-0.138132,0.094291	1.594536,-0.368334,0.185572	1.516388,-0.380768,0.476178	1.646235,0.184105,0.100447	1.658199,0.428541,0.168982	1.632341,0.514446,0.456493	12
1.674756,0.017396,0.259170	1.641482,0.021730,0.154525	0.000000,0.000000,0.000000	1.626484,0.021200,0.079458	1.582273,0.019636,-0.141829	1.523124,0.017596,-0.316965	1.651782,-0.138248,0.093815	1.595344,-0.368794,0.184663	1.517458,-0.380731,0.474792	1.646329,0.183533,0.098129	1.659074,0.427334,0.168737	1.635350,0.514342,0.455525	12
