joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.707628,0.030957,0.235102	1.697464,0.033516,0.142728	0.000000,0.000000,0.000000	1.688259,0.030162,0.074586	1.662853,0.020905,-0.113493	1.622278,0.018200,-0.271960	1.694712,-0.098218,0.092442	1.680835,-0.314428,0.165217	1.654008,-0.295771,0.413451	1.697513,0.163907,0.088978	1.733461,0.379639,0.155325	1.682131,0.393333,0.399998	12
1.705262,0.030911,0.235775	1.697165,0.033486,0.142966	0.000000,0.000000,0.000000	1.687887,0.030121,0.074835	1.662285,0.020836,-0.113176	1.621643,0.018181,-0.271771	1.694068,-0.098341,0.093685	1.678875,-0.314824,0.165367	1.652546,-0.295905,0.413635	1.697113,0.164000,0.090214	1.732364,0.380135,0.155613	1.681249,0.393031,0.400375	12
1.702940,0.030594,0.236694	1.696780,0.033452,0.143417	0.000000,0.000000,0.000000	1.687461,0.030092,0.075291	1.661754,0.020824,-0.112642	1.621090,0.018167,-0.271387	1.693617,-0.098301,0.094710	1.677702,-0.315090,0.165305	1.650430,-0.296282,0.413478	1.696556,0.164052,0.091609	1.731115,0.380597,0.156018	1.680267,0.392739,0.400874	12
1.701051,0.030178,0.238168	1.696323,0.033415,0.144547	0.000000,0.000000,0.000000	1.687023,0.030076,0.076417	1.661371,0.020866,-0.111499	1.620763,0.018154,-0.270381	1.693260,-0.098089,0.095857	1.676836,-0.315268,0.165125	1.648689,-0.296634,0.413213	1.695849,0.163807,0.092869	1.729548,0.380707,0.156540	1.679263,0.392555,0.401528	12
1.699730,0.029756,0.240105	1.695759,0.033376,0.146338	0.000000,0.000000,0.000000	1.686536,0.030067,0.078197	1.661091,0.020939,-0.109787	1.620653,0.018127,-0.268782	1.692781,-0.097679,0.096991	1.676764,-0.315315,0.164904	1.646666,-0.297116,0.412790	1.694867,0.163341,0.094112	1.727859,0.380502,0.157265	1.677668,0.392556,0.402262	12
1.698774,0.029328,0.242548	1.695056,0.033336,0.148927	0.000000,0.000000,0.000000	1.685979,0.030067,0.080764	1.660925,0.021044,-0.107377	1.620761,0.018101,-0.266454	1.692247,-0.097058,0.098164	1.677066,-0.315172,0.164720	1.645187,-0.297728,0.412438	1.693752,0.162634,0.095376	1.725843,0.380039,0.158153	1.675470,0.392682,0.403082	12
1.698152,0.028908,0.246491	1.694121,0.033296,0.152257	0.000000,0.000000,0.000000	1.685277,0.030065,0.084061	1.660852,0.021142,-0.104279	1.620962,0.018043,-0.263337	1.691780,-0.096326,0.099528	1.677502,-0.314928,0.164673	1.645396,-0.298557,0.410416	1.692328,0.161647,0.096496	1.723725,0.379194,0.159135	1.673157,0.392846,0.401917	12
1.697798,0.028567,0.250704	1.693008,0.033256,0.155585	0.000000,0.000000,0.000000	1.684441,0.030054,0.087353	1.660768,0.021207,-0.101180	1.621145,0.017937,-0.260135	1.691243,-0.095715,0.100954	1.677996,-0.314736,0.164900	1.645615,-0.299006,0.407743	1.691362,0.160695,0.097484	1.721311,0.378318,0.160553	1.670732,0.392974,0.400329	12
1.697580,0.028329,0.254477	1.691778,0.033216,0.158475	0.000000,0.000000,0.000000	1.683502,0.030032,0.090206	1.660627,0.021234,-0.098487	1.621228,0.017803,-0.257268	1.690678,-0.095340,0.102333	1.678241,-0.314543,0.165827	1.645828,-0.299271,0.405528	1.690643,0.159949,0.098347	1.718899,0.377499,0.162432	1.668494,0.393074,0.398978	12
