joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.725906,0.048159,0.344780	1.680119,0.047284,0.234732	0.000000,0.000000,0.000000	1.658570,0.044930,0.161907	1.594253,0.037902,-0.055457	1.537262,0.035754,-0.211475	1.687743,-0.109642,0.177051	1.658452,-0.347034,0.258173	1.558688,-0.402644,0.536681	1.682562,0.205406,0.179937	1.688916,0.443051,0.265250	1.663646,0.560567,0.541227	12
1.725864,0.048160,0.344745	1.680119,0.047284,0.234732	0.000000,0.000000,0.000000	1.658574,0.044930,0.161906	1.594273,0.037902,-0.055447	1.537274,0.035754,-0.211454	1.687733,-0.109620,0.177007	1.658227,-0.346964,0.257981	1.557805,-0.402673,0.536309	1.682457,0.205402,0.179939	1.688722,0.442991,0.265214	1.663233,0.560569,0.541221	12
1.725605,0.048151,0.344732	1.680119,0.047284,0.234732	0.000000,0.000000,0.000000	1.658645,0.044930,0.161885	1.594572,0.037904,-0.055471	1.537359,0.035790,-0.211416	1.686287,-0.109512,0.176551	1.658230,-0.346872,0.257821	1.556726,-0.402662,0.535805	1.682039,0.205268,0.179529	1.688511,0.442691,0.265097	1.662866,0.560535,0.541043	12
1.725167,0.048137,0.344710	1.680119,0.047284,0.234732	0.000000,0.000000,0.000000	1.658752,0.044929,0.161854	1.595030,0.037906,-0.055486	1.537471,0.035843,-0.211352	1.683562,-0.109359,0.175905	1.658452,-0.346858,0.257697	1.555468,-0.402664,0.535186	1.681511,0.205074,0.178914	1.688298,0.442317,0.264955	1.662557,0.560481,0.540811	12
1.724573,0.048114,0.344712	1.680119,0.047284,0.234732	0.000000,0.000000,0.000000	1.658876,0.044928,0.161817	1.595570,0.037907,-0.055473	1.537598,0.035875,-0.211266	1.681675,-0.109221,0.175353	1.658462,-0.346844,0.257567	1.554119,-0.402680,0.534583	1.680889,0.204847,0.178176	1.688099,0.441930,0.264813	1.662460,0.560404,0.540585	12
1.723872,0.048084,0.344749	1.680119,0.047284,0.234732	0.000000,0.000000,0.000000	1.659017,0.044927,0.161777	1.596182,0.037908,-0.055456	1.537735,0.035890,-0.211183	1.680932,-0.109213,0.175202	1.658179,-0.346994,0.257424	1.552956,-0.402540,0.534189	1.680410,0.204717,0.177716	1.687883,0.441755,0.264750	1.662489,0.560330,0.540524	12
1.723228,0.048061,0.344771	1.680119,0.047284,0.234732	0.000000,0.000000,0.000000	1.659166,0.044926,0.161734	1.596829,0.037909,-0.055441	1.537871,0.035895,-0.211114	1.680836,-0.109217,0.175107	1.657748,-0.347065,0.257382	1.551746,-0.402438,0.533896	1.680048,0.204638,0.177401	1.687674,0.441682,0.264724	1.662527,0.560260,0.540530	12
1.722530,0.048044,0.344810	1.680119,0.047284,0.234732	0.000000,0.000000,0.000000	1.659317,0.044924,0.161691	1.597483,0.037909,-0.055425	1.538002,0.035895,-0.211060	1.681115,-0.109227,0.175025	1.657189,-0.347077,0.257389	1.550494,-0.402347,0.533660	1.679931,0.204547,0.177032	1.687467,0.441589,0.264685	1.662582,0.560177,0.540512	12
1.721828,0.048034,0.344844	1.680119,0.047284,0.234732	0.000000,0.000000,0.000000	1.659462,0.044923,0.161650	1.598112,0.037910,-0.055403	1.538125,0.035895,-0.211020	1.681352,-0.109234,0.174911	1.656578,-0.347059,0.257422	1.549175,-0.402229,0.533435	1.679943,0.204456,0.176641	1.687251,0.441494,0.264632	1.662640,0.560092,0.540477	12
1.721458,0.048194,0.344667	1.680119,0.047284,0.234732	0.000000,0.000000,0.000000	1.659574,0.044958,0.161617	1.598616,0.038055,-0.055324	1.538300,0.035979,-0.210992	1.681563,-0.109115,0.174370	1.655981,-0.346746,0.257376	1.548300,-0.402241,0.533211	1.679966,0.204418,0.176292	1.687033,0.441420,0.264573	1.662699,0.560048,0.540425	12
1.721250,0.048443,0.344175	1.680122,0.047382,0.234527	0.000000,0.000000,0.000000	1.659671,0.045087,0.161385	1.599038,0.038285,-0.055455	1.538619,0.036096,-0.211271	1.681901,-0.108968,0.173776	1.655383,-0.346334,0.257257	1.547647,-0.402306,0.532977	1.680006,0.204607,0.176048	1.686835,0.441538,0.264550	1.662742,0.560036,0.540482	12
1.721130,0.048621,0.343483	1.680131,0.047462,0.234164	0.000000,0.000000,0.000000	1.659764,0.045191,0.160999	1.599414,0.038461,-0.055799	1.538955,0.036179,-0.211806	1.682334,-0.108914,0.173263	1.654815,-0.346014,0.257130	1.547169,-0.402382,0.532835	1.680060,0.204813,0.175786	1.686657,0.441688,0.264416	1.662786,0.559991,0.540482	12
1.721156,0.048722,0.342695	1.680146,0.047514,0.233737	0.000000,0.000000,0.000000	1.659860,0.045247,0.160549	1.599742,0.038529,-0.056355	1.539242,0.036114,-0.212518	1.683034,-0.108970,0.172963	1.654163,-0.345833,0.256958	1.547188,-0.402503,0.532946	1.680264,0.204997,0.175525	1.686500,0.441839,0.264184	1.662834,0.559895,0.540459	12
1.721233,0.048770,0.341947	1.680162,0.047544,0.233302	0.000000,0.000000,0.000000	1.659958,0.045278,0.160091	1.600022,0.038556,-0.057095	1.539476,0.036029,-0.213351	1.683884,-0.109075,0.172791	1.653338,-0.345708,0.256718	1.547215,-0.402646,0.533128	1.680577,0.205149,0.175286	1.686360,0.441986,0.263872	1.662884,0.559805,0.540413	12
