joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.660215,0.024160,0.198254	1.657019,0.027443,0.103254	0.000000,0.000000,0.000000	1.650182,0.024637,0.033621	1.631653,0.017033,-0.155092	1.593838,0.015742,-0.316045	1.656477,-0.106506,0.047449	1.673001,-0.338347,0.052043	1.639542,-0.571888,0.113537	1.664010,0.159207,0.042868	1.726683,0.381311,0.070897	1.712335,0.619963,0.118667	12
1.660215,0.024160,0.198280	1.657018,0.027443,0.103277	0.000000,0.000000,0.000000	1.650182,0.024657,0.033643	1.631650,0.017103,-0.155118	1.593833,0.015789,-0.316065	1.656475,-0.106498,0.047452	1.672973,-0.338340,0.052038	1.639668,-0.571784,0.113130	1.664010,0.159227,0.042936	1.726697,0.381320,0.071028	1.712744,0.619873,0.118311	12
1.660216,0.024159,0.198303	1.657017,0.027443,0.103299	0.000000,0.000000,0.000000	1.650182,0.024677,0.033664	1.631647,0.017176,-0.155144	1.593828,0.015837,-0.316086	1.656474,-0.106490,0.047455	1.672953,-0.338334,0.052023	1.639742,-0.571649,0.112727	1.664010,0.159251,0.043008	1.726694,0.381353,0.071035	1.712798,0.619750,0.117911	12
1.660216,0.024159,0.198321	1.657017,0.027443,0.103321	0.000000,0.000000,0.000000	1.650182,0.024698,0.033685	1.631645,0.017252,-0.155168	1.593823,0.015887,-0.316106	1.656472,-0.106484,0.047457	1.672947,-0.338328,0.051994	1.639842,-0.571566,0.112170	1.664010,0.159275,0.043080	1.726698,0.381391,0.070980	1.712649,0.619619,0.117529	12
1.660217,0.024158,0.198335	1.657016,0.027443,0.103343	0.000000,0.000000,0.000000	1.650182,0.024719,0.033707	1.631643,0.017329,-0.155194	1.593817,0.015938,-0.316127	1.656471,-0.106477,0.047460	1.672948,-0.338323,0.051957	1.639968,-0.571553,0.111446	1.664010,0.159300,0.043152	1.726702,0.381419,0.071020	1.712400,0.619495,0.117263	12
1.660218,0.024158,0.198347	1.657015,0.027443,0.103366	0.000000,0.000000,0.000000	1.650181,0.024740,0.033728	1.631640,0.017405,-0.155222	1.593811,0.015987,-0.316152	1.656469,-0.106472,0.047462	1.672948,-0.338318,0.051905	1.640018,-0.571535,0.110777	1.664010,0.159326,0.043225	1.726701,0.381452,0.071041	1.712123,0.619390,0.117015	12
1.660218,0.024157,0.198356	1.657014,0.027443,0.103389	0.000000,0.000000,0.000000	1.650181,0.024760,0.033751	1.631637,0.017477,-0.155254	1.593804,0.016033,-0.316180	1.656468,-0.106466,0.047464	1.672950,-0.338314,0.051831	1.640034,-0.571520,0.110119	1.664010,0.159353,0.043301	1.726694,0.381466,0.071233	1.711862,0.619291,0.116901	12
1.660219,0.024157,0.198364	1.657013,0.027443,0.103413	0.000000,0.000000,0.000000	1.650181,0.024780,0.033774	1.631633,0.017551,-0.155290	1.593795,0.016082,-0.316210	1.656466,-0.106462,0.047466	1.672960,-0.338310,0.051731	1.640061,-0.571530,0.109464	1.664010,0.159384,0.043383	1.726700,0.381494,0.071323	1.711518,0.619188,0.116912	12
1.660220,0.024157,0.198370	1.657012,0.027443,0.103436	0.000000,0.000000,0.000000	1.650180,0.024801,0.033796	1.631629,0.017626,-0.155329	1.593784,0.016132,-0.316242	1.656464,-0.106457,0.047468	1.672979,-0.338307,0.051597	1.640146,-0.571612,0.108697	1.664010,0.159416,0.043466	1.726730,0.381526,0.071338	1.711054,0.619124,0.116850	12
