joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.594873,0.027720,0.368644	1.612088,0.028749,0.266075	0.000000,0.000000,0.000000	1.615213,0.028900,0.194840	1.623678,0.029310,0.001871	1.593990,0.025354,-0.158013	1.618929,-0.099951,0.200744	1.647247,-0.333776,0.224413	1.641189,-0.580955,0.290799	1.618510,0.160949,0.208103	1.672309,0.389278,0.239838	1.655649,0.638292,0.296897	12
1.594873,0.027718,0.368644	1.612088,0.028749,0.266075	0.000000,0.000000,0.000000	1.615213,0.028900,0.194840	1.623678,0.029310,0.001867	1.593985,0.025354,-0.158013	1.618929,-0.099960,0.200732	1.647227,-0.333790,0.224370	1.640796,-0.581660,0.290815	1.618526,0.160960,0.208097	1.672412,0.389260,0.239899	1.655544,0.638951,0.297042	12
1.594873,0.027717,0.368644	1.612088,0.028749,0.266075	0.000000,0.000000,0.000000	1.615213,0.028900,0.194840	1.623678,0.029310,0.001862	1.593980,0.025354,-0.158012	1.618930,-0.099966,0.200716	1.647232,-0.333797,0.224330	1.640341,-0.582138,0.291056	1.618544,0.160970,0.208090	1.672510,0.389239,0.239982	1.655494,0.639494,0.297041	12
1.594873,0.027715,0.368644	1.612088,0.028749,0.266075	0.000000,0.000000,0.000000	1.615213,0.028900,0.194840	1.623678,0.029310,0.001856	1.593976,0.025354,-0.158012	1.618931,-0.099970,0.200698	1.647254,-0.333802,0.224285	1.639852,-0.582451,0.291435	1.618561,0.160980,0.208085	1.672607,0.389215,0.240079	1.655470,0.639937,0.296958	12
1.594873,0.027713,0.368644	1.612088,0.028750,0.266075	0.000000,0.000000,0.000000	1.615213,0.028901,0.194840	1.623678,0.029310,0.001849	1.593971,0.025354,-0.158012	1.618931,-0.099974,0.200680	1.647285,-0.333805,0.224239	1.639328,-0.582656,0.291859	1.618575,0.160990,0.208079	1.672700,0.389195,0.240153	1.655422,0.640269,0.296951	12
1.594873,0.027712,0.368643	1.612088,0.028750,0.266075	0.000000,0.000000,0.000000	1.615212,0.028901,0.194840	1.623678,0.029310,0.001841	1.593966,0.025354,-0.158011	1.618932,-0.099978,0.200663	1.647319,-0.333807,0.224199	1.638789,-0.582796,0.292253	1.618806,0.160989,0.208077	1.672790,0.389218,0.240225	1.655364,0.640568,0.296962	12
1.594873,0.027710,0.368643	1.612088,0.028750,0.266074	0.000000,0.000000,0.000000	1.615212,0.028901,0.194840	1.623678,0.029310,0.001833	1.593960,0.025354,-0.158011	1.618932,-0.099980,0.200645	1.647366,-0.333808,0.224138	1.638154,-0.582950,0.292347	1.619126,0.160985,0.208077	1.672892,0.389256,0.240285	1.655298,0.640828,0.296953	12
1.594873,0.027708,0.368643	1.612088,0.028750,0.266074	0.000000,0.000000,0.000000	1.615212,0.028901,0.194840	1.623677,0.029310,0.001822	1.593955,0.025354,-0.158011	1.618933,-0.099983,0.200629	1.647440,-0.333812,0.224024	1.637544,-0.581424,0.291827	1.619479,0.160978,0.208078	1.672928,0.389321,0.240299	1.655385,0.639392,0.296551	12
1.594873,0.027707,0.368643	1.612088,0.028751,0.266074	0.000000,0.000000,0.000000	1.615211,0.028901,0.194840	1.623676,0.029310,0.001805	1.593949,0.025354,-0.158012	1.618934,-0.099984,0.200608	1.647520,-0.333816,0.223874	1.637022,-0.579318,0.291020	1.619733,0.160974,0.208077	1.672930,0.389381,0.240271	1.655540,0.637341,0.295985	12
1.594873,0.027705,0.368643	1.612088,0.028751,0.266074	0.000000,0.000000,0.000000	1.615211,0.028901,0.194840	1.623675,0.029310,0.001783	1.593942,0.025355,-0.158014	1.618935,-0.099985,0.200587	1.647595,-0.333823,0.223698	1.637002,-0.577258,0.290144	1.620007,0.160970,0.208077	1.672921,0.389450,0.240215	1.655699,0.635309,0.295391	12
1.594873,0.027703,0.368643	1.612088,0.028751,0.266074	0.000000,0.000000,0.000000	1.615210,0.028902,0.194840	1.623674,0.029310,0.001756	1.593934,0.025355,-0.158016	1.618936,-0.099990,0.200577	1.647658,-0.333838,0.223517	1.637247,-0.575479,0.289447	1.620041,0.160976,0.208071	1.672919,0.389476,0.240129	1.655868,0.633537,0.294798	12
1.594873,0.027701,0.368643	1.612088,0.028752,0.266074	0.000000,0.000000,0.000000	1.615210,0.028902,0.194840	1.623673,0.029310,0.001725	1.593925,0.025355,-0.158018	1.618937,-0.099994,0.200567	1.647714,-0.333852,0.223334	1.637579,-0.574062,0.288891	1.619953,0.160989,0.208063	1.672924,0.389479,0.240029	1.656028,0.632124,0.294244	12
1.594873,0.027700,0.368643	1.612088,0.028752,0.266074	0.000000,0.000000,0.000000	1.615209,0.028902,0.194840	1.623673,0.029309,0.001689	1.593917,0.025355,-0.158020	1.618938,-0.099998,0.200555	1.647781,-0.333867,0.223124	1.637863,-0.572954,0.288508	1.619797,0.161003,0.208054	1.672925,0.389470,0.239929	1.656193,0.631061,0.293684	12
1.594873,0.027697,0.368643	1.612088,0.028752,0.266074	0.000000,0.000000,0.000000	1.615209,0.028902,0.194839	1.623672,0.029309,0.001651	1.593907,0.025355,-0.158023	1.618938,-0.100001,0.200544	1.647853,-0.333872,0.222998	1.638660,-0.572288,0.288088	1.619616,0.161019,0.208044	1.672919,0.389459,0.239821	1.656367,0.630392,0.293118	12
1.594873,0.027695,0.368643	1.612088,0.028753,0.266074	0.000000,0.000000,0.000000	1.615208,0.028903,0.194839	1.623672,0.029309,0.001611	1.593898,0.025355,-0.158025	1.618939,-0.100001,0.200526	1.647895,-0.333873,0.222919	1.639933,-0.572063,0.287625	1.619447,0.161033,0.208034	1.672904,0.389452,0.239709	1.656538,0.630123,0.292580	12
1.594873,0.027693,0.368643	1.612088,0.028753,0.266074	0.000000,0.000000,0.000000	1.615207,0.028903,0.194839	1.623671,0.029309,0.001569	1.593889,0.025355,-0.158028	1.618940,-0.100001,0.200508	1.647929,-0.333874,0.222847	1.640783,-0.572271,0.287108	1.619380,0.161043,0.208027	1.672880,0.389466,0.239595	1.656687,0.630283,0.292128	12
1.594873,0.027690,0.368643	1.612088,0.028753,0.266074	0.000000,0.000000,0.000000	1.615207,0.028903,0.194839	1.623671,0.029309,0.001524	1.593880,0.025355,-0.158030	1.618940,-0.099991,0.200469	1.647923,-0.333868,0.222768	1.641541,-0.572746,0.286710	1.619341,0.161052,0.208020	1.672856,0.389479,0.239535	1.656771,0.630717,0.291862	12
1.594873,0.027687,0.368642	1.612088,0.028753,0.266074	0.000000,0.000000,0.000000	1.615206,0.028903,0.194839	1.623670,0.029309,0.001479	1.593870,0.025355,-0.158033	1.618939,-0.099984,0.200432	1.647826,-0.333877,0.222693	1.641863,-0.572748,0.287073	1.619328,0.161062,0.208013	1.672820,0.389499,0.239489	1.656792,0.630851,0.291761	12
1.594873,0.027684,0.368642	1.612088,0.028753,0.266074	0.000000,0.000000,0.000000	1.615205,0.028903,0.194839	1.623670,0.029309,0.001432	1.593861,0.025355,-0.158036	1.618940,-0.099997,0.200438	1.647694,-0.333913,0.222627	1.641914,-0.572044,0.287913	1.619325,0.161069,0.208006	1.672778,0.389520,0.239449	1.656837,0.630424,0.291546	12
1.594873,0.027682,0.368642	1.612088,0.028754,0.266074	0.000000,0.000000,0.000000	1.615205,0.028903,0.194839	1.623670,0.029309,0.001384	1.593851,0.025355,-0.158039	1.618941,-0.100035,0.200504	1.647678,-0.333956,0.222658	1.641752,-0.570866,0.289269	1.619326,0.161072,0.208002	1.672777,0.389526,0.239429	1.656857,0.629651,0.291264	12
