joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.564149,0.035285,0.258667	1.567217,0.034335,0.169156	0.000000,0.000000,0.000000	1.575439,0.032146,0.106766	1.598551,0.025992,-0.068606	1.552288,0.022800,-0.219597	1.551758,-0.091123,0.090723	1.494262,-0.125302,-0.107330	1.313389,-0.057182,-0.250844	1.560404,0.154862,0.082221	1.498118,0.165568,-0.117040	1.319400,0.106911,-0.267281	12
1.564195,0.035174,0.257683	1.567218,0.034335,0.167747	0.000000,0.000000,0.000000	1.575384,0.032162,0.105350	1.598457,0.026020,-0.070944	1.552229,0.022725,-0.221237	1.551715,-0.091657,0.090448	1.494945,-0.124765,-0.107996	1.312008,-0.056864,-0.252440	1.560541,0.155253,0.081583	1.498044,0.165389,-0.117641	1.318010,0.106700,-0.269577	12
1.564222,0.035062,0.256885	1.567218,0.034335,0.166317	0.000000,0.000000,0.000000	1.575394,0.032159,0.103921	1.598603,0.025983,-0.073217	1.552066,0.022611,-0.222837	1.551681,-0.092161,0.090188	1.495567,-0.124273,-0.108607	1.311147,-0.056486,-0.253385	1.560605,0.155622,0.080969	1.498002,0.165288,-0.118246	1.317230,0.106729,-0.271408	12
1.564226,0.034944,0.256572	1.567218,0.034335,0.165290	0.000000,0.000000,0.000000	1.575441,0.032146,0.102901	1.598854,0.025915,-0.074733	1.551914,0.022459,-0.223980	1.551676,-0.092478,0.090061	1.495705,-0.124129,-0.108850	1.310696,-0.055931,-0.254151	1.560646,0.155787,0.080504	1.498061,0.165244,-0.118727	1.316539,0.107018,-0.272514	12
1.564324,0.034707,0.256318	1.567219,0.034335,0.164464	0.000000,0.000000,0.000000	1.575446,0.032104,0.102077	1.598874,0.025752,-0.075574	1.551969,0.022254,-0.224973	1.551957,-0.090895,0.086866	1.494942,-0.124795,-0.111361	1.309054,-0.054468,-0.255429	1.560684,0.154781,0.078482	1.497764,0.165424,-0.120580	1.315111,0.106494,-0.273629	12
1.564630,0.034401,0.254594	1.567219,0.034335,0.162325	0.000000,0.000000,0.000000	1.575290,0.031911,0.099925	1.598234,0.025024,-0.077450	1.551404,0.021495,-0.227235	1.552176,-0.089621,0.082714	1.493959,-0.125583,-0.114798	1.306926,-0.052505,-0.256570	1.560650,0.153541,0.074692	1.497024,0.165745,-0.124053	1.312790,0.105000,-0.275024	12
1.565057,0.034083,0.252035	1.567219,0.034335,0.159499	0.000000,0.000000,0.000000	1.575153,0.031648,0.097092	1.597635,0.024039,-0.079739	1.550667,0.020698,-0.229973	1.552333,-0.088543,0.078191	1.492995,-0.126365,-0.118643	1.304777,-0.050127,-0.257460	1.560542,0.153101,0.071270	1.496452,0.165935,-0.127290	1.311190,0.104527,-0.277043	12
1.565522,0.033714,0.249830	1.567219,0.034335,0.157095	0.000000,0.000000,0.000000	1.575063,0.031346,0.094690	1.597198,0.022913,-0.081425	1.550059,0.019748,-0.232115	1.552318,-0.088780,0.076184	1.493124,-0.126246,-0.120769	1.304056,-0.048583,-0.257647	1.560408,0.153173,0.069016	1.496311,0.165973,-0.129546	1.311281,0.105302,-0.279873	12
1.565829,0.033438,0.248293	1.567219,0.034335,0.155372	0.000000,0.000000,0.000000	1.574994,0.031129,0.092970	1.596843,0.022120,-0.082400	1.549678,0.019030,-0.233554	1.552273,-0.089209,0.075233	1.494044,-0.125620,-0.122201	1.304111,-0.048521,-0.257534	1.560356,0.153347,0.067631	1.496146,0.165985,-0.130905	1.311409,0.105677,-0.281127	12
1.566037,0.033222,0.247400	1.567220,0.034335,0.154290	0.000000,0.000000,0.000000	1.574933,0.030987,0.091887	1.596525,0.021615,-0.082792	1.549512,0.018481,-0.234431	1.552232,-0.089598,0.074895	1.495384,-0.124751,-0.123166	1.305027,-0.049463,-0.257768	1.560364,0.153425,0.066776	1.496225,0.165953,-0.131790	1.311625,0.106004,-0.281287	12
1.566191,0.033082,0.247040	1.567220,0.034335,0.153753	0.000000,0.000000,0.000000	1.574861,0.030969,0.091342	1.596178,0.021577,-0.082791	1.549460,0.018186,-0.234925	1.552213,-0.089800,0.074890	1.496050,-0.124354,-0.123478	1.306492,-0.050522,-0.259651	1.560385,0.153713,0.066827	1.496474,0.165844,-0.131836	1.311538,0.106121,-0.280706	12
1.566273,0.033004,0.247002	1.567221,0.034335,0.153567	0.000000,0.000000,0.000000	1.574811,0.031020,0.091147	1.595940,0.021790,-0.082608	1.549536,0.018072,-0.235227	1.552211,-0.089878,0.075065	1.496336,-0.124225,-0.123424	1.308837,-0.051603,-0.264007	1.560450,0.153806,0.066981	1.496816,0.165739,-0.131783	1.310105,0.106323,-0.279502	12
1.566318,0.032958,0.247066	1.567221,0.034335,0.153512	0.000000,0.000000,0.000000	1.574789,0.031106,0.091085	1.595825,0.022131,-0.082444	1.549607,0.018054,-0.235452	1.552223,-0.089849,0.075197	1.496538,-0.124169,-0.123351	1.310499,-0.052197,-0.267725	1.560530,0.153782,0.067100	1.497214,0.165638,-0.131771	1.307759,0.106748,-0.277654	12
1.566303,0.032915,0.247138	1.567222,0.034334,0.153490	0.000000,0.000000,0.000000	1.574782,0.031204,0.091057	1.595782,0.022508,-0.082370	1.549642,0.018078,-0.235643	1.552241,-0.089776,0.075272	1.496707,-0.124145,-0.123309	1.312276,-0.052719,-0.270953	1.560618,0.153708,0.067165	1.497640,0.165553,-0.131814	1.308313,0.106670,-0.278807	12
1.566227,0.032885,0.247188	1.567222,0.034334,0.153465	0.000000,0.000000,0.000000	1.574786,0.031301,0.091028	1.595791,0.022878,-0.082361	1.549651,0.018114,-0.235806	1.552260,-0.089691,0.075303	1.496845,-0.124161,-0.123294	1.314076,-0.053101,-0.273217	1.560710,0.153616,0.067183	1.498061,0.165478,-0.131899	1.311061,0.106393,-0.281748	12
1.566155,0.032871,0.247209	1.567223,0.034334,0.153430	0.000000,0.000000,0.000000	1.574796,0.031394,0.090989	1.595824,0.023232,-0.082395	1.549647,0.018149,-0.235948	1.552278,-0.089610,0.075306	1.496983,-0.124193,-0.123305	1.316462,-0.053571,-0.274763	1.560820,0.153527,0.067169	1.498208,0.165458,-0.131921	1.315018,0.105488,-0.284668	12
1.566100,0.033023,0.247112	1.567223,0.034334,0.153357	0.000000,0.000000,0.000000	1.574812,0.031469,0.090914	1.595875,0.023517,-0.082407	1.549912,0.018261,-0.236049	1.552347,-0.089310,0.074709	1.496983,-0.124342,-0.123802	1.318136,-0.053702,-0.274800	1.561184,0.152780,0.066022	1.497923,0.165591,-0.132805	1.318586,0.104322,-0.287195	12
1.566060,0.033256,0.246858	1.567224,0.034334,0.153237	0.000000,0.000000,0.000000	1.574838,0.031529,0.090795	1.595945,0.023756,-0.082291	1.550382,0.018436,-0.235972	1.552441,-0.089006,0.073745	1.496891,-0.124553,-0.124623	1.319221,-0.053978,-0.274343	1.561722,0.151642,0.064045	1.497351,0.165833,-0.134328	1.320421,0.103473,-0.288477	12
1.566040,0.033445,0.243929	1.567287,0.034310,0.150385	0.000000,0.000000,0.000000	1.574938,0.031492,0.087948	1.596084,0.023704,-0.084636	1.550493,0.018448,-0.238145	1.552449,-0.088590,0.069790	1.495873,-0.125324,-0.128067	1.318319,-0.053416,-0.274733	1.562045,0.151304,0.060359	1.496216,0.166107,-0.137492	1.320000,0.102237,-0.289409	12
1.566046,0.033581,0.238736	1.567375,0.034285,0.144955	0.000000,0.000000,0.000000	1.575115,0.031406,0.082532	1.596668,0.023385,-0.091297	1.549533,0.018295,-0.244148	1.552438,-0.088241,0.063532	1.494232,-0.126465,-0.133567	1.316026,-0.052158,-0.275843	1.562189,0.151923,0.055517	1.494771,0.166290,-0.141832	1.318201,0.100653,-0.290314	12
1.566060,0.033559,0.233475	1.567478,0.034263,0.139148	0.000000,0.000000,0.000000	1.575286,0.031262,0.076739	1.597025,0.022908,-0.096998	1.548811,0.018002,-0.249293	1.552380,-0.089236,0.059339	1.493512,-0.126713,-0.137709	1.313228,-0.050832,-0.277638	1.562387,0.153280,0.051642	1.493814,0.166218,-0.145406	1.315241,0.099200,-0.291917	12
