joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.433760,-0.147719,0.034784	1.422224,-0.145266,-0.057495	0.000000,0.000000,0.000000	1.425392,-0.153266,-0.120683	1.434667,-0.176688,-0.305683	1.338889,-0.163290,-0.417867	1.370219,-0.272386,-0.096700	1.259130,-0.349414,0.059898	1.338164,-0.195293,0.220815	1.465219,-0.017485,-0.104644	1.427529,0.103016,0.059273	1.404156,-0.064901,0.224018	12
1.433542,-0.147722,0.034816	1.422295,-0.145279,-0.057495	0.000000,0.000000,0.000000	1.425476,-0.153369,-0.120670	1.434772,-0.177004,-0.305246	1.334799,-0.162441,-0.415158	1.370219,-0.272401,-0.096705	1.258769,-0.345675,0.060431	1.334599,-0.192901,0.222104	1.464837,-0.017333,-0.104700	1.427161,0.103479,0.058013	1.405236,-0.064247,0.221163	12
1.433201,-0.147725,0.034854	1.422287,-0.145293,-0.057495	0.000000,0.000000,0.000000	1.425500,-0.153449,-0.120659	1.434856,-0.177202,-0.304605	1.333500,-0.162084,-0.414665	1.370213,-0.272426,-0.096713	1.258715,-0.343566,0.060338	1.333229,-0.191518,0.222506	1.464402,-0.017207,-0.104747	1.426773,0.103844,0.056771	1.406899,-0.066285,0.216826	12
1.432792,-0.147728,0.034896	1.422257,-0.145306,-0.057495	0.000000,0.000000,0.000000	1.425496,-0.153499,-0.120653	1.434898,-0.177272,-0.303929	1.334157,-0.162118,-0.415714	1.370224,-0.272452,-0.096721	1.258752,-0.342029,0.060050	1.333517,-0.190346,0.221797	1.463963,-0.017102,-0.104785	1.426387,0.104162,0.055597	1.409226,-0.066519,0.214734	12
1.432305,-0.147731,0.034946	1.422227,-0.145320,-0.057495	0.000000,0.000000,0.000000	1.425488,-0.153531,-0.120649	1.434916,-0.177280,-0.303290	1.335677,-0.162329,-0.417325	1.370257,-0.272474,-0.096727	1.258877,-0.341038,0.059584	1.334936,-0.190253,0.221017	1.463507,-0.017005,-0.104821	1.425957,0.104541,0.054398	1.413817,-0.066755,0.212759	12
1.431773,-0.147734,0.035001	1.422206,-0.145333,-0.057494	0.000000,0.000000,0.000000	1.425481,-0.153555,-0.120646	1.434921,-0.177260,-0.302710	1.338079,-0.162690,-0.417437	1.370302,-0.272485,-0.096731	1.259189,-0.341101,0.058825	1.336782,-0.191021,0.219722	1.463040,-0.016916,-0.104854	1.425555,0.104853,0.053308	1.422791,-0.067444,0.210421	12
1.431463,-0.147801,0.037604	1.422190,-0.145345,-0.055532	0.000000,0.000000,0.000000	1.425457,-0.153523,-0.118689	1.434841,-0.177009,-0.300078	1.341504,-0.163259,-0.415531	1.370530,-0.272063,-0.096541	1.259641,-0.341161,0.058232	1.336004,-0.191322,0.219554	1.462405,-0.017377,-0.104673	1.425374,0.105102,0.052332	1.432029,-0.069369,0.206487	12
1.431302,-0.147920,0.042170	1.422177,-0.145358,-0.051136	0.000000,0.000000,0.000000	1.425415,-0.153434,-0.114309	1.434661,-0.176497,-0.294710	1.346350,-0.164096,-0.411995	1.370980,-0.271098,-0.096055	1.260131,-0.341202,0.057747	1.331881,-0.191545,0.220972	1.461578,-0.018530,-0.104155	1.425754,0.105319,0.051515	1.442167,-0.072295,0.200951	12
1.431026,-0.148023,0.047436	1.422165,-0.145372,-0.045441	0.000000,0.000000,0.000000	1.425374,-0.153338,-0.108628	1.434461,-0.175894,-0.287508	1.352114,-0.164990,-0.407697	1.371540,-0.269855,-0.095344	1.260519,-0.341260,0.057422	1.335931,-0.191278,0.218401	1.460660,-0.020031,-0.103377	1.426458,0.105999,0.050585	1.449808,-0.073605,0.196587	12
1.430487,-0.148062,0.052797	1.422129,-0.145385,-0.039435	0.000000,0.000000,0.000000	1.425331,-0.153268,-0.102634	1.434416,-0.175634,-0.281943	1.356390,-0.165432,-0.404646	1.372096,-0.268600,-0.094505	1.260617,-0.341332,0.057219	1.346593,-0.192418,0.213353	1.459731,-0.021565,-0.102462	1.427297,0.107007,0.049688	1.455984,-0.073006,0.194132	12
1.429775,-0.148042,0.057278	1.422063,-0.145424,-0.034502	0.000000,0.000000,0.000000	1.425265,-0.153206,-0.097713	1.434413,-0.175439,-0.278309	1.359271,-0.165636,-0.403147	1.372482,-0.267751,-0.093826	1.260392,-0.341496,0.057128	1.357962,-0.194409,0.207844	1.458929,-0.022682,-0.101711	1.428253,0.108543,0.048701	1.460882,-0.072911,0.190322	12
1.429068,-0.148013,0.060340	1.421968,-0.145460,-0.031219	0.000000,0.000000,0.000000	1.425179,-0.153102,-0.094447	1.434427,-0.175106,-0.276551	1.360904,-0.165723,-0.402962	1.372639,-0.267441,-0.093464	1.259826,-0.341808,0.057056	1.359213,-0.195120,0.207155	1.458343,-0.023184,-0.101311	1.429433,0.110590,0.047617	1.463530,-0.072069,0.187171	12
1.428410,-0.147983,0.062240	1.421802,-0.145484,-0.029343	0.000000,0.000000,0.000000	1.425038,-0.152931,-0.092592	1.434427,-0.174535,-0.276116	1.362715,-0.165966,-0.404521	1.372576,-0.267563,-0.093388	1.258726,-0.342372,0.056771	1.351778,-0.195241,0.210274	1.457898,-0.023183,-0.101234	1.430814,0.113129,0.046385	1.465854,-0.070677,0.184025	12
1.427938,-0.147683,0.063181	1.421455,-0.145497,-0.028454	0.000000,0.000000,0.000000	1.424572,-0.152288,-0.091781	1.433668,-0.172108,-0.276669	1.365477,-0.166435,-0.408128	1.371678,-0.267594,-0.093848	1.256774,-0.343303,0.055743	1.349561,-0.197516,0.210706	1.456894,-0.022567,-0.101218	1.432338,0.116047,0.045399	1.468417,-0.071086,0.177977	12
1.427380,-0.147190,0.063120	1.420347,-0.145502,-0.028133	0.000000,0.000000,0.000000	1.423296,-0.151269,-0.091566	1.431949,-0.168182,-0.277674	1.368337,-0.166314,-0.412495	1.370349,-0.267729,-0.094645	1.252664,-0.345296,0.053332	1.349631,-0.203000,0.208900	1.455597,-0.021916,-0.101254	1.433876,0.118597,0.045571	1.472350,-0.074096,0.168841	12
1.426988,-0.146508,0.063058	1.418518,-0.145504,-0.028083	0.000000,0.000000,0.000000	1.421173,-0.149983,-0.091630	1.428992,-0.163168,-0.278782	1.370003,-0.165298,-0.416443	1.368911,-0.267959,-0.095589	1.247643,-0.347393,0.050238	1.350825,-0.199322,0.195607	1.454029,-0.021409,-0.101242	1.435482,0.121279,0.045700	1.475212,-0.078632,0.156040	12
1.426771,-0.145684,0.062935	1.416025,-0.145504,-0.028131	0.000000,0.000000,0.000000	1.418253,-0.148940,-0.091764	1.424831,-0.159088,-0.279717	1.369052,-0.163569,-0.419148	1.367614,-0.268416,-0.096410	1.243584,-0.348217,0.048603	1.352142,-0.192779,0.181584	1.452132,-0.021100,-0.101159	1.437439,0.124120,0.045390	1.477368,-0.081234,0.145425	12
1.426860,-0.144769,0.062727	1.413418,-0.145504,-0.028197	0.000000,0.000000,0.000000	1.415174,-0.148273,-0.091882	1.420374,-0.156476,-0.280417	1.366500,-0.161640,-0.420715	1.366527,-0.268890,-0.097120	1.239936,-0.348312,0.047344	1.355189,-0.190515,0.172012	1.450126,-0.020915,-0.101029	1.439747,0.127242,0.044357	1.480237,-0.081324,0.137699	12
1.427067,-0.143848,0.062483	1.411124,-0.145503,-0.028251	0.000000,0.000000,0.000000	1.412646,-0.147920,-0.091960	1.417163,-0.155098,-0.280897	1.364024,-0.160200,-0.421412	1.365606,-0.269183,-0.097790	1.236887,-0.348112,0.046245	1.358381,-0.192556,0.168094	1.448781,-0.020920,-0.100813	1.442515,0.130352,0.042757	1.482867,-0.079041,0.134487	12
1.426957,-0.142903,0.062349	1.409474,-0.145502,-0.028286	0.000000,0.000000,0.000000	1.410926,-0.147768,-0.092003	1.415240,-0.154504,-0.281225	1.362200,-0.159363,-0.421644	1.364911,-0.269283,-0.098339	1.235433,-0.348260,0.045928	1.359173,-0.194709,0.168225	1.447879,-0.020963,-0.100599	1.445923,0.132335,0.041901	1.482342,-0.077799,0.133450	12
1.426641,-0.141984,0.062259	1.408493,-0.145502,-0.028376	0.000000,0.000000,0.000000	1.409942,-0.147722,-0.092093	1.414255,-0.154330,-0.281524	1.360971,-0.158961,-0.421721	1.364375,-0.269311,-0.098718	1.234854,-0.348660,0.046029	1.359202,-0.196190,0.169072	1.447467,-0.020959,-0.100429	1.448982,0.133703,0.041369	1.481259,-0.076902,0.133250	12
1.426137,-0.141142,0.062058	1.407948,-0.145502,-0.028650	0.000000,0.000000,0.000000	1.409432,-0.147721,-0.092365	1.413848,-0.154328,-0.281955	1.360099,-0.158816,-0.421882	1.363869,-0.269281,-0.099127	1.234746,-0.349175,0.046236	1.358746,-0.197321,0.170335	1.447265,-0.020807,-0.100312	1.451830,0.134773,0.041010	1.480032,-0.076221,0.133247	12
1.425755,-0.140513,0.061699	1.407690,-0.145502,-0.029089	0.000000,0.000000,0.000000	1.409199,-0.147757,-0.092801	1.413694,-0.154476,-0.282515	1.359417,-0.158784,-0.422188	1.363290,-0.269241,-0.099512	1.234713,-0.349806,0.046402	1.358144,-0.197738,0.170748	1.447231,-0.020628,-0.100395	1.453650,0.135266,0.040972	1.479235,-0.076028,0.133256	12
1.425430,-0.140215,0.061246	1.407557,-0.145502,-0.029629	0.000000,0.000000,0.000000	1.409109,-0.147810,-0.093338	1.413733,-0.154688,-0.283147	1.358934,-0.158784,-0.422622	1.363008,-0.269302,-0.099928	1.234766,-0.350381,0.046346	1.357310,-0.197733,0.170811	1.447256,-0.020434,-0.100586	1.454969,0.135575,0.040941	1.478758,-0.075999,0.133041	12
1.425119,-0.140218,0.060640	1.407459,-0.145502,-0.030328	0.000000,0.000000,0.000000	1.409069,-0.147867,-0.094033	1.413868,-0.154916,-0.283915	1.358517,-0.158790,-0.423219	1.362857,-0.269448,-0.100392	1.234808,-0.350906,0.046116	1.355794,-0.197371,0.170974	1.447305,-0.020201,-0.100845	1.455824,0.135790,0.040931	1.478628,-0.076173,0.132357	12
1.424767,-0.140362,0.059935	1.407330,-0.145502,-0.031125	0.000000,0.000000,0.000000	1.409015,-0.147921,-0.094825	1.414036,-0.155135,-0.284763	1.358116,-0.158791,-0.423913	1.362751,-0.269643,-0.100865	1.234608,-0.351126,0.045767	1.353656,-0.196779,0.171459	1.447311,-0.019920,-0.101072	1.456481,0.136098,0.040849	1.478666,-0.076367,0.131228	12
1.424404,-0.140577,0.059174	1.407164,-0.145502,-0.031967	0.000000,0.000000,0.000000	1.408932,-0.147974,-0.095663	1.414203,-0.155347,-0.285642	1.357716,-0.158782,-0.424643	1.362660,-0.269845,-0.101350	1.234265,-0.351219,0.045297	1.350389,-0.195932,0.172534	1.447292,-0.019642,-0.101283	1.456636,0.136423,0.040748	1.479035,-0.076657,0.129583	12
1.424046,-0.140809,0.058388	1.406976,-0.145502,-0.032823	0.000000,0.000000,0.000000	1.408829,-0.148023,-0.096515	1.414357,-0.155545,-0.286525	1.357315,-0.158766,-0.425373	1.362572,-0.270040,-0.101821	1.233884,-0.351215,0.044820	1.345672,-0.194769,0.174459	1.447251,-0.019379,-0.101474	1.456536,0.136731,0.040649	1.479582,-0.077057,0.127571	12
1.423645,-0.141033,0.057612	1.406771,-0.145502,-0.033668	0.000000,0.000000,0.000000	1.408712,-0.148070,-0.097355	1.414503,-0.155732,-0.287387	1.356915,-0.158744,-0.426075	1.362476,-0.270246,-0.102204	1.233456,-0.351176,0.044394	1.339043,-0.193124,0.177192	1.447191,-0.019144,-0.101641	1.456322,0.137009,0.040557	1.480235,-0.077707,0.124897	12
