joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.504560,0.034389,0.411969	1.522246,0.040923,0.303949	0.000000,0.000000,0.000000	1.526236,0.039795,0.228076	1.537537,0.036602,0.013185	1.503951,0.033606,-0.152634	1.538731,-0.118225,0.223733	1.527406,-0.350548,0.172726	1.473770,-0.621642,0.174542	1.538866,0.201540,0.226744	1.599708,0.426129,0.176133	1.621259,0.701636,0.178145	12
1.504859,0.034457,0.410193	1.522246,0.040923,0.303708	0.000000,0.000000,0.000000	1.526240,0.039806,0.227836	1.537554,0.036644,0.012938	1.503906,0.033648,-0.152871	1.538737,-0.118260,0.223710	1.527349,-0.350583,0.172696	1.473570,-0.621651,0.174136	1.538967,0.201566,0.226733	1.599656,0.426188,0.176063	1.621372,0.701685,0.177354	12
1.505146,0.034450,0.408466	1.522246,0.040923,0.303465	0.000000,0.000000,0.000000	1.526245,0.039805,0.227593	1.537572,0.036638,0.012689	1.503861,0.033667,-0.153110	1.538743,-0.118295,0.223691	1.527287,-0.350614,0.172673	1.473371,-0.621656,0.173680	1.539090,0.201588,0.226723	1.599602,0.426242,0.175977	1.621592,0.701719,0.176396	12
1.505378,0.034383,0.407047	1.522246,0.040923,0.303323	0.000000,0.000000,0.000000	1.526248,0.039798,0.227451	1.537584,0.036610,0.012543	1.503835,0.033672,-0.153251	1.538747,-0.118293,0.223695	1.527227,-0.350598,0.172652	1.473175,-0.621615,0.173101	1.539227,0.201571,0.226731	1.599539,0.426247,0.175869	1.621878,0.701696,0.175192	12
1.505369,0.034154,0.405918	1.522246,0.040923,0.303264	0.000000,0.000000,0.000000	1.526257,0.039737,0.227393	1.537618,0.036377,0.012481	1.503828,0.033548,-0.153307	1.538737,-0.118312,0.223899	1.527160,-0.350633,0.172620	1.472964,-0.621622,0.172503	1.539460,0.201425,0.226654	1.599475,0.426243,0.175743	1.622013,0.701670,0.173915	12
1.505223,0.033920,0.405036	1.522246,0.040923,0.303244	0.000000,0.000000,0.000000	1.526271,0.039654,0.227375	1.537672,0.036058,0.012459	1.503838,0.033379,-0.153324	1.538731,-0.118261,0.224031	1.527087,-0.350636,0.172578	1.472764,-0.621598,0.171894	1.539697,0.201295,0.226679	1.599412,0.426249,0.175585	1.622083,0.701654,0.172474	12
1.504979,0.033838,0.404354	1.522246,0.040923,0.303242	0.000000,0.000000,0.000000	1.526288,0.039591,0.227375	1.537737,0.035816,0.012453	1.503855,0.033325,-0.153325	1.538714,-0.118181,0.224122	1.527002,-0.350616,0.172539	1.472561,-0.621555,0.171660	1.539917,0.201203,0.226801	1.599344,0.426266,0.175428	1.622118,0.701648,0.171152	12
1.504694,0.033814,0.403819	1.522246,0.040923,0.303245	0.000000,0.000000,0.000000	1.526307,0.039541,0.227380	1.537810,0.035626,0.012452	1.503913,0.033310,-0.153328	1.538703,-0.118093,0.224184	1.526910,-0.350586,0.172528	1.472366,-0.621503,0.171572	1.540127,0.201092,0.226868	1.599270,0.426251,0.175234	1.622135,0.701599,0.169498	12
1.504498,0.033813,0.403408	1.522246,0.040923,0.303248	0.000000,0.000000,0.000000	1.526326,0.039509,0.227385	1.537886,0.035503,0.012448	1.503991,0.033316,-0.153335	1.538699,-0.118010,0.224229	1.526821,-0.350552,0.172521	1.472179,-0.621449,0.171543	1.540321,0.200976,0.226890	1.599187,0.426219,0.175016	1.622138,0.701518,0.167588	12
1.504354,0.033799,0.403023	1.522246,0.040923,0.303250	0.000000,0.000000,0.000000	1.526370,0.039492,0.227389	1.538056,0.035437,0.012437	1.504170,0.033329,-0.153360	1.538812,-0.117930,0.224270	1.526726,-0.350506,0.172515	1.472013,-0.621389,0.171531	1.540446,0.200873,0.226889	1.599071,0.426177,0.174755	1.622145,0.701425,0.165908	12
1.504029,0.033697,0.403835	1.522246,0.040923,0.303249	0.000000,0.000000,0.000000	1.526412,0.039484,0.227391	1.538217,0.035406,0.012429	1.504348,0.033338,-0.153386	1.538875,-0.117861,0.224270	1.526630,-0.350469,0.172497	1.471848,-0.621338,0.171517	1.540486,0.200714,0.226693	1.598938,0.426085,0.174464	1.622138,0.701278,0.164308	12
1.503651,0.033561,0.405089	1.522246,0.040923,0.303247	0.000000,0.000000,0.000000	1.526450,0.039480,0.227391	1.538364,0.035390,0.012434	1.504515,0.033341,-0.153402	1.538915,-0.117812,0.224250	1.526536,-0.350448,0.172466	1.471706,-0.621308,0.171489	1.540492,0.200547,0.226420	1.598800,0.425976,0.174109	1.622119,0.701120,0.162915	12
1.503334,0.033455,0.406384	1.522246,0.040923,0.303244	0.000000,0.000000,0.000000	1.526509,0.039489,0.227391	1.538586,0.035424,0.012452	1.504662,0.033359,-0.153392	1.539083,-0.117760,0.224213	1.526432,-0.350421,0.172434	1.471339,-0.621227,0.171451	1.540486,0.200476,0.226304	1.598635,0.425916,0.173692	1.622111,0.701062,0.162903	12
1.503089,0.033382,0.407532	1.522247,0.040923,0.303241	0.000000,0.000000,0.000000	1.526573,0.039498,0.227391	1.538831,0.035461,0.012480	1.504792,0.033374,-0.153378	1.539292,-0.117715,0.224168	1.526327,-0.350399,0.172386	1.470880,-0.621132,0.171329	1.540480,0.200461,0.226273	1.598444,0.425879,0.173187	1.622110,0.701032,0.163021	12
