joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.656991,0.021167,0.206924	1.653243,0.021279,0.106575	0.000000,0.000000,0.000000	1.648909,0.019603,0.037889	1.637245,0.015093,-0.146955	1.601491,0.013443,-0.307067	1.655004,-0.111492,0.044953	1.659355,-0.338334,0.072504	1.642066,-0.557156,0.152740	1.660287,0.153562,0.044284	1.709858,0.374388,0.076122	1.691605,0.601405,0.128562	12
1.657453,0.021209,0.206915	1.653484,0.021273,0.106575	0.000000,0.000000,0.000000	1.649101,0.019626,0.037891	1.637306,0.015194,-0.146949	1.601506,0.013486,-0.307054	1.655054,-0.111432,0.044857	1.659862,-0.338229,0.072700	1.642550,-0.557115,0.153121	1.660715,0.153578,0.044402	1.710386,0.374418,0.075988	1.691591,0.601485,0.128574	12
1.658228,0.021263,0.206892	1.653737,0.021273,0.106575	0.000000,0.000000,0.000000	1.649308,0.019684,0.037893	1.637388,0.015409,-0.146951	1.601550,0.013600,-0.307064	1.655276,-0.111332,0.044745	1.660397,-0.338083,0.072903	1.643011,-0.557160,0.153168	1.661365,0.153576,0.044554	1.710835,0.374509,0.075806	1.691602,0.601624,0.128609	12
1.659268,0.021360,0.206853	1.653997,0.021274,0.106574	0.000000,0.000000,0.000000	1.649538,0.019740,0.037894	1.637535,0.015613,-0.146966	1.601607,0.013724,-0.307089	1.655624,-0.111235,0.044681	1.660945,-0.337950,0.073091	1.643344,-0.557286,0.153026	1.661946,0.153546,0.044665	1.711409,0.374529,0.075572	1.691607,0.601686,0.128628	12
1.660470,0.021473,0.206798	1.654262,0.021275,0.106574	0.000000,0.000000,0.000000	1.649783,0.019791,0.037894	1.637727,0.015794,-0.146990	1.601670,0.013848,-0.307129	1.656035,-0.111139,0.044642	1.661486,-0.337825,0.073260	1.644017,-0.557483,0.152813	1.662483,0.153499,0.044756	1.711942,0.374532,0.075313	1.691685,0.601760,0.128613	12
1.661679,0.021606,0.206735	1.654521,0.021277,0.106574	0.000000,0.000000,0.000000	1.650029,0.019839,0.037893	1.637935,0.015968,-0.147025	1.601737,0.013973,-0.307189	1.656428,-0.111039,0.044612	1.662114,-0.337703,0.073366	1.644133,-0.557635,0.152573	1.662948,0.153443,0.044837	1.712601,0.374480,0.075042	1.691778,0.601805,0.128496	12
1.662841,0.021743,0.206667	1.654779,0.021277,0.106574	0.000000,0.000000,0.000000	1.650273,0.019873,0.037893	1.638141,0.016093,-0.147065	1.601798,0.014064,-0.307265	1.656844,-0.110938,0.044592	1.662737,-0.337565,0.073592	1.644058,-0.557735,0.152407	1.663404,0.153376,0.044910	1.712763,0.374509,0.074900	1.692091,0.602001,0.128343	12
1.663969,0.021895,0.206593	1.655029,0.021278,0.106574	0.000000,0.000000,0.000000	1.650497,0.019894,0.037895	1.638289,0.016167,-0.147102	1.601840,0.014120,-0.307353	1.657236,-0.110834,0.044574	1.663388,-0.337408,0.073922	1.643884,-0.557770,0.152269	1.663702,0.153313,0.044980	1.712662,0.374553,0.074826	1.692623,0.602214,0.128187	12
1.664758,0.022007,0.206543	1.655270,0.021278,0.106574	0.000000,0.000000,0.000000	1.650703,0.019905,0.037897	1.638398,0.016205,-0.147137	1.601871,0.014149,-0.307448	1.657615,-0.110748,0.044587	1.664131,-0.337256,0.074369	1.643645,-0.557788,0.152104	1.663826,0.153247,0.045014	1.712553,0.374546,0.074806	1.693413,0.602356,0.128034	12
