joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.619739,-0.010555,0.389793	1.617685,-0.002322,0.291415	0.000000,0.000000,0.000000	1.612015,-0.001135,0.222521	1.595571,0.002310,0.022700	1.559628,0.003663,-0.131213	1.606617,-0.135058,0.241855	1.504451,-0.277081,0.390432	1.466264,-0.089777,0.553750	1.615057,0.133093,0.248367	1.487950,0.266428,0.385296	1.455111,0.099918,0.570826	12
1.619766,-0.010730,0.392742	1.617580,-0.002306,0.293958	0.000000,0.000000,0.000000	1.611895,-0.001133,0.225066	1.595448,0.002260,0.025762	1.560138,0.003644,-0.128304	1.606610,-0.134652,0.242667	1.504205,-0.277288,0.390487	1.466612,-0.092745,0.557020	1.615003,0.132603,0.248577	1.487964,0.266464,0.385048	1.454225,0.100901,0.571258	12
1.619795,-0.010871,0.395414	1.617471,-0.002288,0.296288	0.000000,0.000000,0.000000	1.611770,-0.001128,0.227398	1.595316,0.002218,0.028562	1.560670,0.003629,-0.125649	1.606608,-0.134403,0.243564	1.503901,-0.277540,0.390684	1.467564,-0.096262,0.561019	1.614944,0.132206,0.248775	1.487936,0.266512,0.384833	1.453128,0.102505,0.572210	12
1.619811,-0.010945,0.397499	1.617357,-0.002269,0.298098	0.000000,0.000000,0.000000	1.611628,-0.001121,0.229211	1.595122,0.002189,0.030751	1.561103,0.003617,-0.123584	1.606599,-0.134373,0.244421	1.503558,-0.277900,0.390922	1.468195,-0.097387,0.562319	1.614883,0.131985,0.248918	1.487846,0.266537,0.384703	1.451735,0.104702,0.573704	12
1.619805,-0.010939,0.398874	1.617242,-0.002250,0.299255	0.000000,0.000000,0.000000	1.611470,-0.001109,0.230372	1.594868,0.002175,0.032198	1.561400,0.003612,-0.122243	1.606575,-0.134577,0.245187	1.503117,-0.278225,0.391270	1.468501,-0.097466,0.562579	1.614819,0.131975,0.248989	1.487707,0.266494,0.384730	1.450036,0.107205,0.575572	12
1.619784,-0.010825,0.399691	1.617129,-0.002229,0.299894	0.000000,0.000000,0.000000	1.611309,-0.001093,0.231016	1.594583,0.002171,0.033052	1.561580,0.003611,-0.121479	1.606533,-0.134945,0.245825	1.502604,-0.278453,0.391706	1.468726,-0.097012,0.562440	1.614758,0.132163,0.249055	1.487486,0.266470,0.384850	1.448061,0.109604,0.577340	12
1.619682,-0.010655,0.400142	1.617023,-0.002207,0.300200	0.000000,0.000000,0.000000	1.611141,-0.001076,0.231328	1.594243,0.002175,0.033464	1.561665,0.003613,-0.121155	1.606489,-0.135420,0.246382	1.502034,-0.278641,0.392165	1.468891,-0.096299,0.562076	1.614700,0.132470,0.249098	1.487228,0.266438,0.385034	1.446097,0.109954,0.577487	12
1.619592,-0.010448,0.400387	1.616921,-0.002185,0.300327	0.000000,0.000000,0.000000	1.611007,-0.001056,0.231458	1.594011,0.002188,0.033575	1.561683,0.003615,-0.121107	1.606445,-0.135928,0.246849	1.501470,-0.278780,0.392615	1.468976,-0.095513,0.561646	1.614650,0.132856,0.249172	1.486921,0.266421,0.385260	1.444282,0.109302,0.576862	12
1.619533,-0.010234,0.400432	1.616831,-0.002164,0.300276	0.000000,0.000000,0.000000	1.610918,-0.001036,0.231409	1.593918,0.002208,0.033398	1.561638,0.003619,-0.121320	1.606398,-0.136526,0.247392	1.500825,-0.278925,0.393164	1.469094,-0.094609,0.561191	1.614603,0.133297,0.249235	1.486626,0.266409,0.385527	1.442530,0.108820,0.576408	12
1.619495,-0.010016,0.400358	1.616782,-0.002143,0.300123	0.000000,0.000000,0.000000	1.610879,-0.001015,0.231256	1.593888,0.002233,0.033036	1.561552,0.003624,-0.121714	1.606366,-0.136966,0.247469	1.500361,-0.278788,0.393486	1.469116,-0.093745,0.560801	1.614589,0.133767,0.249304	1.486315,0.266400,0.385780	1.440969,0.108428,0.576046	12
1.619473,-0.009800,0.400224	1.616755,-0.002121,0.299924	0.000000,0.000000,0.000000	1.610865,-0.000991,0.231056	1.593892,0.002265,0.032593	1.561451,0.003629,-0.122189	1.606339,-0.137302,0.247269	1.500029,-0.278511,0.393652	1.469095,-0.092795,0.560274	1.614593,0.134221,0.249318	1.485969,0.266478,0.385824	1.440688,0.108146,0.575803	12
1.619456,-0.009593,0.399938	1.616749,-0.002100,0.299584	0.000000,0.000000,0.000000	1.610872,-0.000965,0.230716	1.593916,0.002307,0.032016	1.561323,0.003639,-0.122792	1.606366,-0.136939,0.245234	1.500638,-0.277655,0.392505	1.468740,-0.092471,0.559528	1.614610,0.134686,0.249275	1.485806,0.266737,0.385807	1.440872,0.107864,0.575410	12
1.619517,-0.009534,0.397914	1.616745,-0.002079,0.297527	0.000000,0.000000,0.000000	1.610899,-0.000942,0.228657	1.594020,0.002342,0.029824	1.561269,0.003745,-0.124963	1.606338,-0.136714,0.241853	1.501614,-0.276579,0.390634	1.468256,-0.092201,0.558251	1.614617,0.134731,0.246397	1.487090,0.265784,0.385049	1.439525,0.109069,0.575768	12
1.619624,-0.009510,0.394267	1.616745,-0.002060,0.293856	0.000000,0.000000,0.000000	1.610928,-0.000918,0.224985	1.594126,0.002380,0.026050	1.561109,0.003852,-0.128638	1.606337,-0.136497,0.236921	1.503252,-0.274544,0.388493	1.467773,-0.090493,0.556025	1.614626,0.134692,0.241724	1.489121,0.264001,0.383780	1.437451,0.111269,0.576593	12
1.619774,-0.009563,0.389721	1.616746,-0.002058,0.289300	0.000000,0.000000,0.000000	1.610947,-0.000905,0.220428	1.594184,0.002428,0.021360	1.560858,0.003953,-0.133252	1.606324,-0.136956,0.232923	1.504428,-0.273008,0.387079	1.468276,-0.086409,0.551585	1.614626,0.135025,0.237450	1.490749,0.262346,0.382697	1.436049,0.112441,0.576916	12
1.620332,-0.009667,0.384755	1.616748,-0.002066,0.284344	0.000000,0.000000,0.000000	1.611033,-0.000919,0.215466	1.594504,0.002399,0.016271	1.560465,0.003977,-0.138250	1.606501,-0.138066,0.230561	1.504887,-0.272303,0.386497	1.468706,-0.083760,0.548772	1.614970,0.135995,0.235046	1.491286,0.261340,0.382187	1.436510,0.110757,0.575891	12
