joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.671559,-0.001445,0.254523	1.655843,0.000884,0.157368	0.000000,0.000000,0.000000	1.645169,0.000715,0.089723	1.613310,0.000211,-0.112175	1.578177,-0.000316,-0.259567	1.636035,-0.130697,0.102927	1.517702,-0.264008,0.242472	1.487245,-0.110320,0.436085	1.645997,0.131692,0.098531	1.522911,0.277917,0.219838	1.462266,0.159067,0.430146	12
1.671046,-0.001440,0.254545	1.655801,0.000893,0.157368	0.000000,0.000000,0.000000	1.645138,0.000724,0.089721	1.613312,0.000221,-0.112200	1.578213,-0.000312,-0.259519	1.636017,-0.130752,0.102905	1.517530,-0.264308,0.242411	1.487045,-0.110388,0.435836	1.645984,0.131760,0.098501	1.522767,0.278355,0.219604	1.463005,0.159672,0.430260	12
1.670544,-0.001436,0.254559	1.655757,0.000901,0.157368	0.000000,0.000000,0.000000	1.645107,0.000733,0.089719	1.613314,0.000231,-0.112222	1.578238,-0.000308,-0.259480	1.636020,-0.130805,0.102883	1.517439,-0.264547,0.242388	1.487002,-0.110631,0.435822	1.645974,0.131822,0.098473	1.522750,0.278669,0.219558	1.463590,0.160497,0.430670	12
1.670050,-0.001432,0.254568	1.655713,0.000911,0.157368	0.000000,0.000000,0.000000	1.645075,0.000742,0.089717	1.613317,0.000239,-0.112241	1.578254,-0.000305,-0.259449	1.636027,-0.130852,0.102864	1.517352,-0.264580,0.242504	1.487012,-0.110835,0.436089	1.645966,0.131880,0.098448	1.522786,0.278976,0.219508	1.463847,0.160915,0.430745	12
1.669579,-0.001431,0.254570	1.655667,0.000918,0.157368	0.000000,0.000000,0.000000	1.645042,0.000750,0.089716	1.613321,0.000248,-0.112258	1.578264,-0.000301,-0.259424	1.636032,-0.130896,0.102846	1.517284,-0.264536,0.242669	1.487130,-0.111158,0.436573	1.645958,0.131932,0.098425	1.522847,0.279248,0.219472	1.463867,0.161053,0.430622	12
1.669136,-0.001431,0.254567	1.655622,0.000924,0.157368	0.000000,0.000000,0.000000	1.645009,0.000757,0.089714	1.613324,0.000258,-0.112273	1.578266,-0.000296,-0.259404	1.636033,-0.130936,0.102830	1.517218,-0.264448,0.242845	1.487309,-0.111574,0.437184	1.645951,0.131978,0.098405	1.522932,0.279528,0.219408	1.463772,0.161115,0.430386	12
1.668713,-0.001432,0.254562	1.655577,0.000929,0.157368	0.000000,0.000000,0.000000	1.644976,0.000764,0.089712	1.613328,0.000269,-0.112287	1.578264,-0.000291,-0.259388	1.636031,-0.130972,0.102815	1.517109,-0.264409,0.242912	1.487402,-0.111696,0.437409	1.645944,0.132019,0.098386	1.523029,0.279807,0.219323	1.463784,0.161205,0.430171	12
1.668323,-0.001433,0.254553	1.655532,0.000934,0.157368	0.000000,0.000000,0.000000	1.644944,0.000770,0.089710	1.613332,0.000280,-0.112299	1.578259,-0.000286,-0.259376	1.636029,-0.131005,0.102802	1.516987,-0.264398,0.242920	1.487471,-0.111758,0.437503	1.645938,0.132057,0.098370	1.523116,0.280053,0.219240	1.463497,0.161161,0.429819	12
1.668145,-0.001434,0.254523	1.655486,0.000942,0.157368	0.000000,0.000000,0.000000	1.644911,0.000778,0.089708	1.613337,0.000292,-0.112311	1.578254,-0.000280,-0.259367	1.636025,-0.131032,0.102790	1.516867,-0.264405,0.242895	1.487527,-0.111804,0.437536	1.645934,0.132093,0.098354	1.523213,0.280307,0.219136	1.463353,0.161422,0.429650	12
