joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.670984,-0.001585,0.226550	1.660451,-0.000114,0.126540	0.000000,0.000000,0.000000	1.645953,0.000032,0.059610	1.605009,0.000444,-0.129418	1.565491,-0.001185,-0.281680	1.630591,-0.129147,0.065494	1.481138,-0.234131,0.211521	1.461244,-0.065720,0.394354	1.645423,0.129357,0.061163	1.486151,0.256490,0.175654	1.415265,0.150066,0.389450	12
1.670174,-0.001529,0.224895	1.660184,0.000355,0.125860	0.000000,0.000000,0.000000	1.645491,0.000369,0.058972	1.603874,0.000410,-0.130486	1.564430,-0.001250,-0.282333	1.630725,-0.129284,0.066523	1.489819,-0.231822,0.223434	1.469003,-0.066880,0.409167	1.645289,0.130035,0.061420	1.490819,0.256276,0.184441	1.423178,0.152240,0.400425	12
1.669407,-0.001417,0.224091	1.659928,0.000938,0.125583	0.000000,0.000000,0.000000	1.645018,0.000783,0.058744	1.602470,0.000337,-0.131970	1.563190,-0.001317,-0.283535	1.630822,-0.130341,0.070869	1.495654,-0.230558,0.234694	1.475157,-0.068287,0.422693	1.645131,0.131591,0.064002	1.493928,0.258175,0.191224	1.432990,0.154095,0.409102	12
1.668843,-0.001290,0.224290	1.659687,0.001556,0.125519	0.000000,0.000000,0.000000	1.644608,0.001215,0.058719	1.601219,0.000231,-0.133470	1.562301,-0.001358,-0.285021	1.630830,-0.132177,0.079047	1.499138,-0.231393,0.245031	1.481532,-0.067178,0.431519	1.644833,0.134864,0.071825	1.495775,0.262606,0.198714	1.443186,0.152953,0.415908	12
1.668531,-0.001192,0.225243	1.659457,0.002179,0.125639	0.000000,0.000000,0.000000	1.644267,0.001647,0.058865	1.600231,0.000100,-0.134713	1.561740,-0.001370,-0.286468	1.630909,-0.133783,0.088854	1.503057,-0.233198,0.254335	1.484747,-0.063321,0.435441	1.644599,0.138093,0.081455	1.497970,0.268154,0.204314	1.450327,0.149536,0.417864	12
1.668475,-0.001163,0.226929	1.659235,0.002798,0.126426	0.000000,0.000000,0.000000	1.644053,0.002075,0.059652	1.599760,-0.000034,-0.135155	1.561618,-0.001352,-0.287223	1.631183,-0.134492,0.097625	1.505663,-0.236157,0.261337	1.489086,-0.059200,0.435591	1.644515,0.140838,0.092397	1.498086,0.273671,0.209517	1.455339,0.145538,0.418575	12
1.668536,-0.001190,0.228784	1.659011,0.003387,0.127626	0.000000,0.000000,0.000000	1.643947,0.002486,0.060827	1.600158,-0.000128,-0.133345	1.562239,-0.001313,-0.285695	1.631679,-0.134129,0.102096	1.509731,-0.238451,0.265519	1.493030,-0.056002,0.434095	1.644622,0.142275,0.099491	1.499109,0.276971,0.213954	1.457830,0.142149,0.419228	12
1.668630,-0.001247,0.230442	1.658786,0.003934,0.128981	0.000000,0.000000,0.000000	1.643900,0.002871,0.062144	1.600891,-0.000193,-0.130954	1.563124,-0.001272,-0.283509	1.632280,-0.133175,0.103415	1.512486,-0.239039,0.266711	1.496007,-0.053168,0.431668	1.644743,0.142529,0.101603	1.501419,0.277622,0.217378	1.459006,0.139796,0.420534	12
1.668713,-0.001314,0.231768	1.658559,0.004289,0.130341	0.000000,0.000000,0.000000	1.643875,0.003125,0.063462	1.601717,-0.000213,-0.128537	1.564081,-0.001244,-0.281222	1.632841,-0.132133,0.103010	1.514610,-0.238659,0.266588	1.498339,-0.052281,0.431067	1.644884,0.141939,0.100580	1.504469,0.277714,0.218519	1.460282,0.139202,0.420847	12
