joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.638267,0.000266,0.263352	1.600559,-0.004434,0.164526	0.000000,0.000000,0.000000	1.593250,-0.006464,0.093865	1.572459,-0.012240,-0.107114	1.533706,-0.014688,-0.262571	1.598784,-0.143297,0.091995	1.737100,-0.354096,0.081658	1.687242,-0.443709,0.318685	1.619987,0.129413,0.085439	1.756110,0.341730,0.077298	1.717392,0.460997,0.303073	12
1.637990,0.000240,0.263006	1.600639,-0.004461,0.164881	0.000000,0.000000,0.000000	1.593309,-0.006482,0.094222	1.572249,-0.012290,-0.108805	1.533253,-0.014707,-0.263965	1.598781,-0.143648,0.092185	1.737274,-0.354250,0.081521	1.686922,-0.444480,0.318253	1.619959,0.129604,0.085415	1.756063,0.341870,0.077269	1.716638,0.461226,0.302921	12
1.637727,0.000213,0.262638	1.600724,-0.004487,0.165068	0.000000,0.000000,0.000000	1.593370,-0.006500,0.094411	1.572063,-0.012333,-0.110305	1.532892,-0.014726,-0.265126	1.598777,-0.144048,0.092372	1.737481,-0.354416,0.081394	1.686575,-0.445343,0.317775	1.619966,0.129848,0.085380	1.755998,0.342080,0.077215	1.716115,0.461292,0.302901	12
1.637488,0.000186,0.262342	1.600813,-0.004504,0.165195	0.000000,0.000000,0.000000	1.593434,-0.006512,0.094541	1.571916,-0.012367,-0.111514	1.532614,-0.014740,-0.265955	1.598774,-0.144455,0.092603	1.737707,-0.354554,0.081257	1.686176,-0.446262,0.317230	1.619990,0.130100,0.085355	1.755867,0.342335,0.077202	1.715478,0.461326,0.302945	12
1.637285,0.000164,0.262120	1.600901,-0.004509,0.165280	0.000000,0.000000,0.000000	1.593499,-0.006515,0.094627	1.571803,-0.012393,-0.112467	1.532424,-0.014745,-0.266539	1.598770,-0.144839,0.092839	1.737922,-0.354667,0.081056	1.686232,-0.446499,0.316971	1.620023,0.130353,0.085335	1.755681,0.342630,0.077238	1.714838,0.461374,0.303054	12
1.637108,0.000144,0.261950	1.600984,-0.004510,0.165312	0.000000,0.000000,0.000000	1.593560,-0.006515,0.094662	1.571712,-0.012415,-0.113238	1.532294,-0.014747,-0.266979	1.598765,-0.145209,0.093080	1.738074,-0.354791,0.080841	1.686783,-0.445972,0.317112	1.620057,0.130605,0.085317	1.755507,0.342903,0.077298	1.713863,0.461325,0.303155	12
1.636959,0.000128,0.261845	1.601066,-0.004508,0.165323	0.000000,0.000000,0.000000	1.593619,-0.006513,0.094676	1.571639,-0.012432,-0.113848	1.532200,-0.014748,-0.267307	1.598760,-0.145557,0.093331	1.738161,-0.354911,0.080640	1.687564,-0.445023,0.317483	1.620061,0.130841,0.085304	1.755288,0.343144,0.077319	1.712530,0.461069,0.303242	12
1.636719,0.000143,0.261951	1.601148,-0.004506,0.165357	0.000000,0.000000,0.000000	1.593545,-0.006506,0.094727	1.571050,-0.012424,-0.114242	1.531922,-0.014583,-0.267546	1.598799,-0.145929,0.093931	1.738262,-0.355098,0.080619	1.688532,-0.443845,0.318170	1.619104,0.131594,0.086234	1.755016,0.343314,0.077324	1.711049,0.460619,0.303350	12
1.636438,0.000186,0.262278	1.601232,-0.004504,0.165422	0.000000,0.000000,0.000000	1.593398,-0.006503,0.094816	1.570176,-0.012427,-0.114467	1.531666,-0.014434,-0.267723	1.598866,-0.146619,0.095793	1.738442,-0.355625,0.080495	1.689479,-0.442396,0.318941	1.617271,0.132996,0.088739	1.754742,0.343629,0.077384	1.709591,0.460183,0.303576	12
