joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.285742,0.081106,0.280680	1.297919,0.082806,0.186880	0.000000,0.000000,0.000000	1.303766,0.076265,0.122780	1.319632,0.058516,-0.051126	1.284284,0.051455,-0.193824	1.300382,-0.051639,0.096052	1.226576,-0.241939,0.008441	1.094837,-0.435561,0.007361	1.294011,0.216348,0.094779	1.241060,0.412870,0.005920	1.078825,0.550796,0.102204	12
1.286796,0.081023,0.280674	1.297987,0.082806,0.186737	0.000000,0.000000,0.000000	1.303810,0.076308,0.122630	1.319610,0.058676,-0.051295	1.284685,0.051542,-0.194206	1.300395,-0.051684,0.095983	1.204770,-0.229907,0.007532	1.053447,-0.408850,0.007751	1.294052,0.216387,0.094703	1.213938,0.403303,0.009673	1.032171,0.520830,0.099787	12
1.290953,0.080815,0.278653	1.299382,0.082793,0.184265	0.000000,0.000000,0.000000	1.305037,0.076313,0.120141	1.320377,0.058733,-0.053825	1.285107,0.051608,-0.196912	1.300991,-0.052388,0.094434	1.183234,-0.217165,0.007251	1.012636,-0.380841,0.008802	1.295298,0.215662,0.091125	1.187913,0.391354,0.013423	0.987761,0.488994,0.093749	12
1.297948,0.080486,0.274903	1.302436,0.082756,0.179927	0.000000,0.000000,0.000000	1.307558,0.076326,0.115754	1.321477,0.058850,-0.058669	1.285821,0.051732,-0.202146	1.302236,-0.053943,0.092319	1.162593,-0.205217,0.008337	0.976740,-0.353039,0.011507	1.298246,0.214680,0.085349	1.158894,0.372176,0.016699	0.950102,0.463997,0.085683	12
1.307037,0.080096,0.269687	1.306538,0.082705,0.174276	0.000000,0.000000,0.000000	1.310778,0.076382,0.110030	1.322366,0.059090,-0.065699	1.286702,0.051916,-0.209829	1.303803,-0.055680,0.089648	1.146438,-0.191172,0.009378	0.948145,-0.321986,0.018348	1.302001,0.214810,0.080156	1.140318,0.354561,0.019213	0.922341,0.431714,0.076526	12
1.315409,0.079672,0.264101	1.310655,0.082650,0.168522	0.000000,0.000000,0.000000	1.313918,0.076475,0.104205	1.322925,0.059390,-0.073776	1.286319,0.052142,-0.218545	1.305356,-0.056626,0.086202	1.140876,-0.180188,0.001874	0.930661,-0.286450,0.026574	1.304814,0.215510,0.076222	1.126899,0.337169,0.022079	0.901375,0.396326,0.068589	12
1.322623,0.079371,0.258420	1.314162,0.082612,0.162945	0.000000,0.000000,0.000000	1.316553,0.076585,0.098575	1.323249,0.059648,-0.082365	1.283354,0.052348,-0.227367	1.306646,-0.056798,0.082156	1.140168,-0.172281,-0.006982	0.922723,-0.261047,0.028758	1.305810,0.215948,0.072595	1.114169,0.316546,0.026641	0.884529,0.367433,0.063451	12
1.327004,0.079225,0.254076	1.316536,0.082589,0.158546	0.000000,0.000000,0.000000	1.318256,0.076660,0.094144	1.323156,0.059722,-0.089836	1.277464,0.052437,-0.234421	1.307787,-0.056992,0.079566	1.136843,-0.163215,-0.012080	0.918268,-0.208244,0.060663	1.306116,0.215451,0.068943	1.103540,0.296712,0.032261	0.871561,0.346619,0.062856	12
1.328785,0.079153,0.251722	1.317813,0.082575,0.155877	0.000000,0.000000,0.000000	1.318867,0.076688,0.091458	1.321920,0.059629,-0.095196	1.270639,0.052387,-0.239222	1.308197,-0.057000,0.078714	1.119853,-0.149914,0.025109	0.896343,-0.210952,0.057722	1.306004,0.214989,0.067280	1.097821,0.282852,0.037169	0.863721,0.330044,0.065251	12
