joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.941413,0.078628,-0.056942	1.921174,0.077249,-0.153993	0.000000,0.000000,0.000000	1.910883,0.072886,-0.221039	1.880156,0.059859,-0.421238	1.796604,0.053874,-0.548811	1.963137,-0.047408,-0.179259	1.945671,-0.191254,-0.006270	1.917438,-0.112658,0.246443	1.881600,0.202430,-0.180491	1.756271,0.258543,-0.001422	1.812519,0.139728,0.230005	12
1.941375,0.078578,-0.056932	1.921177,0.077258,-0.153993	0.000000,0.000000,0.000000	1.910889,0.072895,-0.221039	1.880167,0.059867,-0.421238	1.796677,0.053926,-0.548800	1.963022,-0.047500,-0.179311	1.945695,-0.191396,-0.006351	1.917475,-0.112353,0.245909	1.881616,0.202473,-0.180680	1.756319,0.258502,-0.001563	1.812996,0.138795,0.228950	12
1.941332,0.078551,-0.056921	1.921180,0.077277,-0.153991	0.000000,0.000000,0.000000	1.910895,0.072913,-0.221038	1.880183,0.059882,-0.421239	1.796780,0.053986,-0.548833	1.962831,-0.047607,-0.179364	1.945732,-0.191556,-0.006425	1.917557,-0.112374,0.244717	1.881634,0.202529,-0.180876	1.756391,0.258453,-0.001688	1.813575,0.137583,0.226902	12
1.941289,0.078537,-0.056909	1.921181,0.077301,-0.153990	0.000000,0.000000,0.000000	1.910900,0.072936,-0.221037	1.880199,0.059899,-0.421239	1.796879,0.054047,-0.548888	1.962645,-0.047706,-0.179436	1.945767,-0.191704,-0.006517	1.917655,-0.112489,0.243375	1.881657,0.202580,-0.181133	1.756493,0.258393,-0.001855	1.813591,0.137251,0.225245	12
1.941240,0.078530,-0.056899	1.921182,0.077329,-0.153990	0.000000,0.000000,0.000000	1.910904,0.072962,-0.221038	1.880213,0.059922,-0.421242	1.796971,0.054112,-0.548960	1.962637,-0.047745,-0.179511	1.945786,-0.191881,-0.006705	1.917739,-0.112537,0.242065	1.881680,0.202637,-0.181396	1.756611,0.258323,-0.002013	1.813517,0.137329,0.224019	12
1.941184,0.078525,-0.056888	1.921182,0.077357,-0.153991	0.000000,0.000000,0.000000	1.910907,0.072991,-0.221039	1.880225,0.059954,-0.421245	1.797030,0.054174,-0.549021	1.962678,-0.047770,-0.179588	1.945801,-0.192263,-0.007083	1.917798,-0.112444,0.240738	1.881699,0.202697,-0.181645	1.756733,0.258241,-0.002145	1.813461,0.137515,0.223194	12
1.941128,0.078520,-0.056877	1.921182,0.077386,-0.153992	0.000000,0.000000,0.000000	1.910909,0.073023,-0.221040	1.880234,0.059998,-0.421247	1.797057,0.054236,-0.549065	1.962773,-0.047774,-0.179687	1.945840,-0.192742,-0.007585	1.917818,-0.112218,0.239434	1.881718,0.202755,-0.181919	1.756863,0.258154,-0.002298	1.813323,0.137574,0.222560	12
1.941089,0.078514,-0.056868	1.921182,0.077415,-0.153992	0.000000,0.000000,0.000000	1.910911,0.073058,-0.221041	1.880241,0.060048,-0.421250	1.797070,0.054293,-0.549097	1.962890,-0.047769,-0.179797	1.945858,-0.193581,-0.008422	1.917793,-0.111802,0.237793	1.881762,0.202825,-0.182183	1.756984,0.258060,-0.002458	1.813184,0.137491,0.222048	12
1.941059,0.078507,-0.056862	1.921182,0.077446,-0.153992	0.000000,0.000000,0.000000	1.910912,0.073147,-0.221046	1.880246,0.060312,-0.421266	1.797069,0.054579,-0.549130	1.963000,-0.047761,-0.179932	1.945894,-0.194463,-0.009325	1.917741,-0.111335,0.236182	1.881816,0.202889,-0.182503	1.757133,0.257943,-0.002657	1.813045,0.137323,0.221626	12
