joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.520128,0.162832,0.392850	1.516908,0.165650,0.298177	0.000000,0.000000,0.000000	1.526780,0.162940,0.235889	1.556052,0.154908,0.051272	1.516949,0.150595,-0.105014	1.535857,0.028130,0.202552	1.405425,-0.140148,0.157648	1.239791,-0.286672,0.226667	1.506596,0.304953,0.203836	1.344401,0.446366,0.171997	1.132726,0.511827,0.240264	12
1.520543,0.162920,0.389264	1.517001,0.165649,0.293538	0.000000,0.000000,0.000000	1.526703,0.162959,0.230709	1.555323,0.155026,0.045431	1.516980,0.150642,-0.112827	1.536042,0.027238,0.199167	1.402016,-0.138414,0.145776	1.233076,-0.290061,0.198255	1.506433,0.306776,0.201942	1.339376,0.443032,0.160715	1.123243,0.505887,0.222228	12
1.521033,0.162978,0.385492	1.517099,0.165649,0.288048	0.000000,0.000000,0.000000	1.526491,0.162976,0.224541	1.554164,0.155102,0.037446	1.516457,0.150659,-0.122343	1.536137,0.026534,0.195199	1.398586,-0.138784,0.135163	1.228382,-0.296668,0.170919	1.506269,0.308634,0.199937	1.333797,0.441124,0.150210	1.113025,0.502524,0.203058	12
1.521632,0.162977,0.381717	1.517201,0.165649,0.282366	0.000000,0.000000,0.000000	1.526095,0.162986,0.218059	1.552344,0.155127,0.028235	1.514790,0.150641,-0.132499	1.536216,0.025571,0.191954	1.394466,-0.139767,0.125604	1.224440,-0.304020,0.146593	1.506146,0.310175,0.197855	1.328559,0.440498,0.140688	1.103128,0.500071,0.185526	12
1.522348,0.162914,0.378456	1.517307,0.165649,0.277621	0.000000,0.000000,0.000000	1.525425,0.162973,0.212402	1.549427,0.155063,0.019532	1.511107,0.150571,-0.141549	1.536324,0.024417,0.190351	1.392142,-0.141008,0.114263	1.219094,-0.307352,0.122833	1.506090,0.311007,0.195929	1.324424,0.440082,0.130435	1.094916,0.499677,0.168296	12
1.523151,0.162816,0.375406	1.517416,0.165648,0.273829	0.000000,0.000000,0.000000	1.524404,0.162951,0.207606	1.545071,0.154976,0.011722	1.505457,0.150497,-0.149327	1.536411,0.023449,0.189573	1.390909,-0.141859,0.102356	1.211010,-0.307445,0.098848	1.506122,0.310864,0.193368	1.322028,0.440575,0.119648	1.087015,0.500095,0.151044	12
1.523944,0.162729,0.372919	1.517526,0.165646,0.271226	0.000000,0.000000,0.000000	1.523253,0.162923,0.203985	1.540170,0.154883,0.005427	1.498973,0.150428,-0.155360	1.536477,0.022810,0.189297	1.389800,-0.142852,0.093249	1.203498,-0.307091,0.079026	1.506254,0.309558,0.189753	1.319958,0.442122,0.112678	1.079346,0.499468,0.138194	12
1.524657,0.162682,0.370921	1.517636,0.165640,0.269380	0.000000,0.000000,0.000000	1.522126,0.162908,0.201236	1.535371,0.154853,0.000262	1.492825,0.150406,-0.160246	1.536519,0.022356,0.189146	1.388676,-0.143884,0.086539	1.198150,-0.308146,0.063114	1.506434,0.307688,0.185640	1.318357,0.443665,0.107152	1.072605,0.497963,0.127513	12
1.525282,0.162665,0.369238	1.517744,0.165618,0.267833	0.000000,0.000000,0.000000	1.521430,0.162881,0.198957	1.532289,0.154818,-0.003940	1.488832,0.150384,-0.164254	1.536546,0.021980,0.188980	1.387664,-0.144702,0.081135	1.193981,-0.309603,0.051893	1.506595,0.306481,0.182810	1.317185,0.444585,0.101501	1.066945,0.495498,0.117699	12
