joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.352073,0.078376,0.281714	1.365005,0.085466,0.188786	0.000000,0.000000,0.000000	1.372507,0.079573,0.126787	1.392822,0.063615,-0.041088	1.354171,0.063135,-0.185468	1.372666,-0.053099,0.117983	1.282218,-0.235119,0.163339	1.173976,-0.280470,0.380289	1.360069,0.222007,0.113926	1.303444,0.392939,0.218547	1.199851,0.392802,0.442396	12
1.352072,0.078376,0.281716	1.364993,0.085466,0.188787	0.000000,0.000000,0.000000	1.372497,0.079575,0.126787	1.392816,0.063624,-0.041094	1.354078,0.063135,-0.185477	1.372658,-0.053100,0.117982	1.282165,-0.235099,0.163335	1.174040,-0.280489,0.380516	1.360069,0.222009,0.113925	1.303992,0.392924,0.218867	1.199976,0.392244,0.442695	12
1.352072,0.078376,0.281717	1.364980,0.085466,0.188787	0.000000,0.000000,0.000000	1.372486,0.079578,0.126788	1.392812,0.063631,-0.041115	1.353983,0.063135,-0.185498	1.372648,-0.053101,0.117981	1.282103,-0.235075,0.163329	1.174143,-0.280515,0.380795	1.360069,0.222011,0.113924	1.304657,0.392926,0.219218	1.199952,0.391825,0.442929	12
1.352072,0.078376,0.281718	1.364966,0.085466,0.188788	0.000000,0.000000,0.000000	1.372474,0.079580,0.126788	1.392809,0.063638,-0.041147	1.353886,0.063135,-0.185530	1.372635,-0.053102,0.117979	1.282032,-0.235049,0.163324	1.174269,-0.280541,0.381129	1.360069,0.222012,0.113923	1.305315,0.392912,0.219584	1.199870,0.391177,0.443191	12
1.352072,0.078376,0.281718	1.364954,0.085465,0.188788	0.000000,0.000000,0.000000	1.372463,0.079582,0.126789	1.392807,0.063642,-0.041189	1.353787,0.063135,-0.185570	1.372620,-0.053104,0.117979	1.281965,-0.235025,0.163319	1.174301,-0.280608,0.381390	1.360069,0.222014,0.113922	1.305631,0.392814,0.219910	1.199835,0.390443,0.443574	12
1.352072,0.078376,0.281719	1.364939,0.085465,0.188788	0.000000,0.000000,0.000000	1.372450,0.079585,0.126789	1.392807,0.063649,-0.041239	1.353688,0.063134,-0.185617	1.372607,-0.053105,0.117978	1.281962,-0.235031,0.163321	1.174290,-0.280676,0.381583	1.360069,0.222015,0.113921	1.305784,0.392685,0.220197	1.199911,0.389685,0.444020	12
1.352072,0.078376,0.281720	1.364924,0.085465,0.188789	0.000000,0.000000,0.000000	1.372437,0.079588,0.126790	1.392807,0.063656,-0.041297	1.353585,0.063134,-0.185670	1.372591,-0.053106,0.117978	1.281962,-0.235038,0.163325	1.174263,-0.280744,0.381729	1.360069,0.222016,0.113921	1.305849,0.392526,0.220486	1.200096,0.388917,0.444521	12
1.352072,0.078376,0.281721	1.364909,0.085465,0.188790	0.000000,0.000000,0.000000	1.372425,0.079592,0.126790	1.392808,0.063664,-0.041361	1.353478,0.063134,-0.185729	1.372574,-0.053107,0.117978	1.281959,-0.235045,0.163330	1.174236,-0.280822,0.381841	1.360069,0.222017,0.113920	1.305849,0.392424,0.220650	1.200241,0.388478,0.444878	12
1.352072,0.078376,0.281722	1.364890,0.085465,0.188790	0.000000,0.000000,0.000000	1.372409,0.079596,0.126791	1.392809,0.063672,-0.041430	1.353371,0.063133,-0.185791	1.372555,-0.053107,0.117977	1.281958,-0.235052,0.163338	1.174226,-0.280847,0.381941	1.360069,0.222018,0.113920	1.305912,0.392147,0.221122	1.200372,0.388779,0.445490	12
1.352072,0.078376,0.281724	1.364870,0.085465,0.188792	0.000000,0.000000,0.000000	1.372392,0.079600,0.126793	1.392811,0.063680,-0.041501	1.353264,0.063133,-0.185856	1.372537,-0.053108,0.117977	1.281957,-0.235059,0.163346	1.174233,-0.280847,0.382028	1.360069,0.222018,0.113920	1.306022,0.391752,0.221800	1.200539,0.389040,0.446274	12
1.352071,0.078375,0.281725	1.364849,0.085464,0.188794	0.000000,0.000000,0.000000	1.372375,0.079604,0.126795	1.392813,0.063688,-0.041576	1.353156,0.063133,-0.185923	1.372519,-0.053108,0.117977	1.281955,-0.235063,0.163357	1.174240,-0.280828,0.382114	1.360069,0.222019,0.113920	1.306148,0.391330,0.222525	1.200783,0.389215,0.447124	12
1.352071,0.078375,0.281727	1.364828,0.085464,0.188796	0.000000,0.000000,0.000000	1.372358,0.079608,0.126797	1.392816,0.063695,-0.041653	1.353049,0.063132,-0.185993	1.372498,-0.053107,0.117977	1.281952,-0.235068,0.163372	1.174247,-0.280672,0.382234	1.360069,0.222019,0.113920	1.306275,0.390928,0.223213	1.201112,0.389324,0.447976	12
1.352071,0.078375,0.281730	1.364805,0.085464,0.188800	0.000000,0.000000,0.000000	1.372339,0.079612,0.126801	1.392819,0.063703,-0.041732	1.352944,0.063132,-0.186065	1.372468,-0.053107,0.117977	1.281948,-0.235077,0.163390	1.174263,-0.280589,0.382359	1.360069,0.222019,0.113920	1.306319,0.390788,0.223452	1.201773,0.389272,0.448579	12
1.352071,0.078375,0.281732	1.364789,0.085464,0.188803	0.000000,0.000000,0.000000	1.372325,0.079617,0.126804	1.392822,0.063713,-0.041813	1.352832,0.063132,-0.186137	1.372437,-0.053107,0.117977	1.281944,-0.235085,0.163409	1.174251,-0.280566,0.382452	1.360069,0.222019,0.113920	1.306336,0.390734,0.223544	1.202501,0.389244,0.449069	12
1.352071,0.078375,0.281732	1.364776,0.085464,0.188806	0.000000,0.000000,0.000000	1.372314,0.079621,0.126807	1.392824,0.063723,-0.041892	1.352712,0.063131,-0.186205	1.372404,-0.053108,0.117977	1.281940,-0.235095,0.163428	1.174228,-0.280560,0.382520	1.360069,0.222019,0.113920	1.306342,0.390714,0.223576	1.203214,0.389219,0.449480	12
1.352071,0.078375,0.281732	1.364765,0.085464,0.188808	0.000000,0.000000,0.000000	1.372303,0.079626,0.126809	1.392825,0.063733,-0.041966	1.352595,0.063131,-0.186270	1.372366,-0.053109,0.117976	1.281935,-0.235107,0.163450	1.174204,-0.280560,0.382575	1.360069,0.222019,0.113920	1.306339,0.390722,0.223562	1.203920,0.389195,0.449827	12
1.352071,0.078375,0.281731	1.364754,0.085464,0.188810	0.000000,0.000000,0.000000	1.372293,0.079631,0.126810	1.392825,0.063745,-0.042033	1.352474,0.063131,-0.186328	1.372326,-0.053110,0.117975	1.281928,-0.235118,0.163472	1.174187,-0.280593,0.382616	1.360069,0.222019,0.113920	1.306336,0.390732,0.223546	1.204619,0.389185,0.450154	12
1.352071,0.078375,0.281731	1.364743,0.085464,0.188812	0.000000,0.000000,0.000000	1.372283,0.079635,0.126812	1.392824,0.063756,-0.042093	1.352352,0.063130,-0.186381	1.372287,-0.053111,0.117973	1.281920,-0.235129,0.163494	1.174173,-0.280604,0.382651	1.360069,0.222020,0.113920	1.306335,0.390741,0.223531	1.205295,0.389185,0.450459	12
1.352071,0.078375,0.281731	1.364732,0.085464,0.188814	0.000000,0.000000,0.000000	1.372272,0.079640,0.126813	1.392823,0.063769,-0.042152	1.352230,0.063130,-0.186433	1.372244,-0.053113,0.117972	1.281911,-0.235141,0.163515	1.174161,-0.280599,0.382683	1.360069,0.222020,0.113920	1.306335,0.390747,0.223521	1.205507,0.389196,0.450551	12
1.352071,0.078375,0.281731	1.364720,0.085463,0.188816	0.000000,0.000000,0.000000	1.372261,0.079645,0.126815	1.392822,0.063781,-0.042215	1.352108,0.063129,-0.186489	1.372196,-0.053114,0.117971	1.281901,-0.235155,0.163541	1.174150,-0.280585,0.382715	1.360069,0.222020,0.113920	1.306337,0.390751,0.223515	1.205580,0.389200,0.450578	12
1.352071,0.078375,0.281732	1.364707,0.085463,0.188819	0.000000,0.000000,0.000000	1.372250,0.079649,0.126818	1.392821,0.063794,-0.042282	1.351985,0.063129,-0.186549	1.372147,-0.053116,0.117970	1.281891,-0.235169,0.163570	1.174165,-0.280569,0.382753	1.360069,0.222019,0.113920	1.306339,0.390753,0.223512	1.205585,0.389203,0.450567	12
1.352071,0.078375,0.281733	1.364695,0.085462,0.188821	0.000000,0.000000,0.000000	1.372238,0.079654,0.126820	1.392821,0.063807,-0.042353	1.351860,0.063128,-0.186612	1.372097,-0.053118,0.117970	1.281881,-0.235180,0.163607	1.174218,-0.280553,0.382805	1.360069,0.222019,0.113920	1.306340,0.390756,0.223508	1.205572,0.389206,0.450535	12
1.352071,0.078375,0.281734	1.364681,0.085461,0.188823	0.000000,0.000000,0.000000	1.372226,0.079659,0.126822	1.392819,0.063821,-0.042427	1.351730,0.063128,-0.186676	1.372046,-0.053121,0.117969	1.281868,-0.235191,0.163647	1.174240,-0.280528,0.382838	1.360069,0.222019,0.113921	1.306339,0.390758,0.223503	1.205559,0.389215,0.450495	12
1.352071,0.078375,0.281735	1.364668,0.085461,0.188826	0.000000,0.000000,0.000000	1.372212,0.079664,0.126824	1.392815,0.063833,-0.042502	1.351597,0.063127,-0.186742	1.371995,-0.053123,0.117968	1.281857,-0.235202,0.163691	1.174249,-0.280496,0.382864	1.360069,0.222019,0.113921	1.306337,0.390761,0.223497	1.205550,0.389225,0.450450	12
1.352071,0.078375,0.281736	1.364655,0.085460,0.188828	0.000000,0.000000,0.000000	1.372199,0.079668,0.126826	1.392809,0.063845,-0.042580	1.351464,0.063127,-0.186811	1.371944,-0.053125,0.117967	1.281847,-0.235213,0.163734	1.174249,-0.280459,0.382882	1.360069,0.222018,0.113921	1.306335,0.390763,0.223492	1.205542,0.389226,0.450403	12
1.352071,0.078375,0.281736	1.364642,0.085459,0.188831	0.000000,0.000000,0.000000	1.372184,0.079673,0.126827	1.392802,0.063855,-0.042660	1.351336,0.063126,-0.186883	1.371894,-0.053127,0.117966	1.281834,-0.235219,0.163787	1.174241,-0.280421,0.382898	1.360069,0.222018,0.113921	1.306330,0.390769,0.223479	1.205535,0.389221,0.450344	12
1.352071,0.078375,0.281737	1.364628,0.085459,0.188833	0.000000,0.000000,0.000000	1.372170,0.079681,0.126829	1.392795,0.063879,-0.042743	1.351205,0.063125,-0.186957	1.371840,-0.053130,0.117965	1.281815,-0.235225,0.163841	1.174230,-0.280387,0.382912	1.360069,0.222018,0.113921	1.306324,0.390776,0.223466	1.205526,0.389212,0.450277	12
1.352071,0.078375,0.281738	1.364614,0.085458,0.188835	0.000000,0.000000,0.000000	1.372154,0.079692,0.126830	1.392785,0.063913,-0.042827	1.351061,0.063124,-0.187030	1.371783,-0.053132,0.117964	1.281794,-0.235230,0.163902	1.174218,-0.280359,0.382923	1.360069,0.222018,0.113921	1.306312,0.390788,0.223440	1.205530,0.389197,0.450201	12
